"Team","WR Targets","WR %","RB Targets","RB %","TE Targets","TE %","Total Targets"
"Arizona Cardinals","277","51.3","84","15.6","179","33.1","540"
"Atlanta Falcons","209","41.2","124","24.5","174","34.3","507"
"Baltimore Ravens","287","60.3","79","16.6","110","23.1","476"
"Buffalo Bills","329","60.4","86","15.8","130","23.9","545"
"Carolina Panthers","344","64.4","92","17.2","98","18.4","534"
"Chicago Bears","259","54.3","106","22.2","112","23.5","477"
"Cincinnati Bengals","387","65.5","89","15.1","115","19.5","591"
"Cleveland Browns","335","56.1","96","16.1","166","27.8","597"
"Dallas Cowboys","379","62.6","100","16.5","126","20.8","605"
"Denver Broncos","262","54.9","153","32.1","62","13.0","477"
"Detroit Lions","333","58.3","102","17.9","136","23.8","571"
"Green Bay Packers","367","65.4","94","16.8","100","17.8","561"
"Houston Texans","366","64.8","71","12.6","128","22.7","565"
"Indianapolis Colts","344","63.0","83","15.2","119","21.8","546"
"Jacksonville Jaguars","349","57.5","91","15.0","167","27.5","607"
"Kansas City Chiefs","319","53.3","108","18.1","171","28.6","598"
"Las Vegas Raiders","359","67.6","99","18.6","73","13.7","531"
"Los Angeles Chargers","386","63.0","94","15.3","133","21.7","613"
"Los Angeles Rams","398","71.7","69","12.4","88","15.9","555"
"Miami Dolphins","372","67.8","125","22.8","52","9.5","549"
"Minnesota Vikings","337","55.6","90","14.9","179","29.5","606"
"New England Patriots","289","53.4","131","24.2","121","22.4","541"
"New Orleans Saints","320","55.3","128","22.1","131","22.6","579"
"New York Giants","284","58.7","98","20.2","102","21.1","484"
"New York Jets","288","51.2","149","26.5","125","22.2","562"
"Philadelphia Eagles","336","64.0","93","17.7","96","18.3","525"
"Pittsburgh Steelers","277","57.2","114","23.6","93","19.2","484"
"San Francisco 49ers","264","56.1","112","23.8","95","20.2","471"
"Seattle Seahawks","361","66.1","86","15.8","99","18.1","546"
"Tampa Bay Buccaneers","375","68.2","94","17.1","81","14.7","550"
"Tennessee Titans","272","57.1","106","22.3","98","20.6","476"
"Washington Commanders","371","61.8","108","18.0","121","20.2","600"
""
""
