Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111900-85671,WR,Justin,Justin Jefferson,Jefferson,16.52823594037224,17,15500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-103020,WR,Puka,Puka Nacua,Nacua,16.55454600941051,11,15000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-104433,RB,Kyren,Kyren Williams,Williams,16.693750381469727,16,14500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-63589,QB,Sam,Sam Darnold,Darnold,19.350587732651654,17,14000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-6654,QB,Matthew,Matthew Stafford,Stafford,14.286250114440918,16,12500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,13.064706241383272,17,12000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-79970,WR,Cooper,Cooper Kupp,Kupp,12.541666666666666,12,11000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-129210,WR,Jordan,Jordan Addison,Addison,12.466666666666667,15,10000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-71706,TE,T.J.,T.J. Hockenson,Hockenson,6.9,10,9500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-12540,D,Minnesota,Minnesota Vikings,Vikings,9.529411764705882,17,9500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-102703,K,Will,Will Reichard,Reichard,10.076923076923077,13,9000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-133172,K,Joshua,Joshua Karty,Karty,7.9411764705882355,17,9000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-12538,D,Los Angeles,Los Angeles Rams,Rams,6.9411764705882355,17,8500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-47870,TE,Tyler,Tyler Higbee,Higbee,7.533333460489909,3,8500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-92859,WR,Jalen,Jalen Nailor,Nailor,5.933333333333334,15,8000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-38264,WR,Demarcus,Demarcus Robinson,Robinson,6.352941176470588,17,8000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-89230,RB,Cam,Cam Akers,Akers,5.387499809265137,16,7500,MIN@LAR,MIN,LAR,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
111900-92976,WR,Tutu,Tutu Atwell,Atwell,5.193333435058594,15,7500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-63907,TE,Josh,Josh Oliver,Oliver,4.215384556696965,13,7000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-91971,RB,Ronnie,Ronnie Rivers,Rivers,2.257142884390695,7,7000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-40371,TE,Johnny,Johnny Mundt,Mundt,2.7461539048414965,13,6500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-89588,TE,Colby,Colby Parkinson,Parkinson,3.3600001017252605,15,6500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-103195,WR,Jordan,Jordan Whittington,Whittington,2.9642857142857144,14,6000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-87371,RB,Ty,Ty Chandler,Chandler,1.8142856870378767,14,6000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-68712,WR,Tyler,Tyler Johnson,Johnson,4.372727134011009,11,6000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-93075,TE,Hunter,Hunter Long,Long,1.1875,8,5500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-55970,RB,Royce,Royce Freeman,Freeman,5.077777862548828,9,5500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-102831,TE,Davis,Davis Allen,Allen,1.150000015894572,6,5500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-166095,RB,Cody,Cody Schrader,Schrader,0.699999988079071,2,5500,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-52345,WR,Brandon,Brandon Powell,Powell,0.7066666920979817,15,5500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-56059,WR,Trent,Trent Sherfield Sr.,Sherfield Sr.,2.033333248562283,9,5500,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-92677,WR,Zavier,Zavier Scott,Scott,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-23435,TE,Andrew,Andrew DePaola,DePaola,0,1,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-69516,TE,Miller,Miller Forristall,Forristall,,0,5000,MIN@LAR,LAR,MIN,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
111900-86671,WR,Drake,Drake Stoops,Stoops,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-71957,WR,Quintez,Quintez Cephus,Cephus,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-93853,WR,Thayer,Thayer Thomas,Thomas,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-63519,QB,Daniel,Daniel Jones,Jones,14.230000305175782,10,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-89127,WR,Justin,Justin Hall,Hall,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-104102,TE,Leroy,Leroy Watson IV,Watson IV,0,1,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-185640,QB,Dresser,Dresser Winn,Winn,0,1,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-201257,WR,Devron,Devron Harper,Harper,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-72493,WR,Trishton,Trishton Jackson,Jackson,1.3000000317891438,3,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-88630,QB,Matt,Matt Corral,Corral,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-91583,QB,Stetson,Stetson Bennett,Bennett,0,1,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-59455,TE,Sammis,Sammis Reyes,Reyes,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-86601,RB,SaRodorick,SaRodorick Thompson Jr.,Thompson Jr.,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-165962,TE,Nikola,Nikola Kalinic,Kalinic,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-113096,WR,Xavier,Xavier Smith,Smith,0.3714285578046526,14,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.930000305175781,2,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-95180,WR,Sam,Sam Wiglusz,Wiglusz,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-102735,TE,Trey,Trey Knox,Knox,,0,5000,MIN@LAR,MIN,LAR,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
111900-136663,RB,DeWayne,DeWayne McBride,McBride,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-63967,WR,Lucky,Lucky Jackson,Jackson,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-201313,WR,JJ,JJ Laap,Laap,,0,5000,MIN@LAR,LAR,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
111900-88290,WR,Jeshaun,Jeshaun Jones,Jones,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-70501,RB,C.J.,C.J. Ham,Ham,2.2,5,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-61157,QB,Brett,Brett Rypien,Rypien,0,1,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-137967,RB,Blake,Blake Corum,Corum,2.142857142857143,14,5000,MIN@LAR,LAR,MIN,IR,Forearm,,,,MVP - 1.5X Points/AnyFLEX
111900-85881,RB,Mohamed,Mohamed Ibrahim,Ibrahim,0,1,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-115581,WR,Ty,Ty James,James,,0,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
111900-152575,QB,J.J.,J.J. McCarthy,McCarthy,,0,5000,MIN@LAR,MIN,LAR,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
111900-96254,TE,Nick,Nick Muse,Muse,0,2,5000,MIN@LAR,MIN,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
