Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111869-91419,WR,Nico,Nico Collins,Collins,15.716667175292969,12,15000,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-69189,QB,Justin,Justin Herbert,Herbert,17.317646699793197,17,14500,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-52442,RB,Joe,Joe Mixon,Mixon,17.392857142857142,14,14000,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-129471,QB,C.J.,C.J. Stroud,Stroud,14.022353228400736,17,13500,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-133472,WR,Ladd,Ladd McConkey,McConkey,13.056249618530273,16,13000,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-87787,RB,J.K.,J.K. Dobbins,Dobbins,13.984615619365986,13,12500,LAC@HOU,LAC,HOU,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111869-120639,WR,Quentin,Quentin Johnston,Johnston,10.213333129882812,15,11000,LAC@HOU,LAC,HOU,Q,Thigh,,,,MVP - 1.5X Points/AnyFLEX
111869-87418,WR,Joshua,Joshua Palmer,Palmer,5.8600001017252605,15,10000,LAC@HOU,LAC,HOU,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
111869-55042,TE,Dalton,Dalton Schultz,Schultz,5.3941174675436585,17,9500,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-92496,K,Cameron,Cameron Dicker,Dicker,10.529411764705882,17,9000,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,10.75,16,9000,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-12548,D,Los Angeles,Los Angeles Chargers,Chargers,7.529411764705882,17,8500,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-12556,D,Houston,Houston Texans,Texans,8.294117647058824,17,8500,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-56708,TE,Will,Will Dissly,Dissly,5.673333231608073,15,8000,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-66008,WR,Diontae,Diontae Johnson,Johnson,6.872727134011009,11,8000,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-102696,WR,John,John Metchie III,Metchie III,4.340000152587891,10,7500,LAC@HOU,HOU,LAC,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
111869-29685,WR,Robert,Robert Woods,Woods,2.0214285169328963,14,7500,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-40167,RB,Gus,Gus Edwards,Edwards,5.690908952192827,11,7000,LAC@HOU,LAC,HOU,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111869-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,1.1800000508626303,15,7000,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-94621,WR,Derius,Derius Davis,Davis,2.3999998910086497,14,6500,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-86055,RB,Dameon,Dameon Pierce,Pierce,4.55,10,6500,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,2.90625,16,6000,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
111869-103966,TE,Stone,Stone Smartt,Smartt,3.828571319580078,7,6000,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-91361,RB,Hassan,Hassan Haskins,Haskins,2.8454544760964136,11,6000,LAC@HOU,LAC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111869-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.7222222222222223,9,5500,LAC@HOU,HOU,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
