Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111870-63115,QB,Lamar,Lamar Jackson,Jackson,26.0811767578125,17,17000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-39280,RB,Derrick,Derrick Henry,Henry,20.817646699793197,17,16500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-22015,QB,Russell,Russell Wilson,Wilson,16.43454534357244,11,13000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-110246,WR,George,George Pickens,Pickens,10.064285278320312,14,12500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-90575,RB,Najee,Najee Harris,Harris,11.505882711971507,17,12000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-52436,TE,Mark,Mark Andrews,Andrews,9.488235473632812,17,11000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-112295,WR,Zay,Zay Flowers,Flowers,11.029411764705882,17,10500,PIT@BAL,BAL,PIT,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
111870-85845,WR,Rashod,Rashod Bateman,Bateman,9.693750381469727,16,10000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-112057,RB,Jaylen,Jaylen Warren,Warren,7.006666564941407,15,9500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-32058,K,Chris,Chris Boswell,Boswell,11.235294117647058,17,9500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-23045,K,Justin,Justin Tucker,Tucker,8.411764705882353,17,9000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-12555,D,Baltimore,Baltimore Ravens,Ravens,7.0588235294117645,17,9000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,8.588235294117647,17,8500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-87260,TE,Isaiah,Isaiah Likely,Likely,6.606249809265137,16,8500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-71521,RB,Justice,Justice Hill,Hill,7.073333231608073,15,8000,PIT@BAL,BAL,PIT,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
111870-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.9882354736328125,17,8000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-64581,WR,Van,Van Jefferson,Jefferson,3.4399998982747397,15,7500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-90870,WR,Calvin,Calvin Austin III,Austin III,5.929411944221048,17,7500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-39829,WR,Mike,Mike Williams,Williams,3.307142802647182,14,7000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-29683,WR,Nelson,Nelson Agholor,Agholor,3.238461421086238,13,7000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,2.423076923076923,13,6500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-133477,TE,Darnell,Darnell Washington,Washington,2.730769230769231,13,6500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-134023,RB,Keaton,Keaton Mitchell,Mitchell,1.5750000476837158,4,6000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-137488,RB,Rasheen,Rasheen Ali,Ali,0.6199999809265136,5,6000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-87515,WR,Tylan,Tylan Wallace,Wallace,3.3799999237060545,10,6000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.8571428571428572,7,5500,PIT@BAL,PIT,BAL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
111870-80299,RB,Patrick,Patrick Ricard,Ricard,2.616666634877523,6,5500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-41936,WR,Anthony,Anthony Miller,Miller,2.0999999046325684,1,5500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-92882,TE,Connor,Connor Heyward,Heyward,1.8571428571428572,7,5500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-61273,WR,Scotty,Scotty Miller,Miller,1.8799999237060547,5,5500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111870-156527,WR,Devontez,Devontez Walker,Walker,4.300000190734863,2,5500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-110721,WR,Dayton,Dayton Wade,Wade,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-85635,TE,Charlie,Charlie Kolar,Kolar,3.3999998910086497,7,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111870-115971,WR,Shaquan,Shaquan Davis,Davis,,0,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
