Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111899-102785,QB,Jayden,Jayden Daniels,Daniels,21.812941607306986,17,15500,WAS@TB,WAS,TB,Q,Leg,,,,MVP - 1.5X Points/AnyFLEX
111899-41535,QB,Baker,Baker Mayfield,Mayfield,23.517646340762866,17,15000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-32384,WR,Mike,Mike Evans,Evans,14.957142421177455,14,14000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-56250,WR,Terry,Terry McLaurin,McLaurin,14.22352959127987,17,13500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-152664,RB,Bucky,Bucky Irving,Irving,13.523529052734375,17,13000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,11.342857360839844,14,11500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-120042,WR,Jalen,Jalen McMillan,McMillan,8.992307809682993,13,11000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-29780,TE,Zach,Zach Ertz,Ertz,8.494117288028493,17,10000,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-86811,TE,Cade,Cade Otton,Otton,8.14999989100865,14,9500,WAS@TB,TB,WAS,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
111899-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,5.28823538387523,17,9500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-60479,K,Chase,Chase McLaughlin,McLaughlin,9.647058823529411,17,9000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-39369,K,Zane,Zane Gonzalez,Gonzalez,6.333333333333333,6,9000,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,6.117647058823529,17,8500,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-12552,D,Washington,Washington Commanders,Commanders,5.352941176470588,17,8500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-80001,RB,Austin,Austin Ekeler,Ekeler,9.566666920979818,12,8000,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-137902,RB,Rachaad,Rachaad White,White,11.606667073567708,15,8000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-24755,WR,Jamison,Jamison Crowder,Crowder,4.340000152587891,5,7500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-93391,TE,Payne,Payne Durham,Durham,5.8,5,7500,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-27477,WR,Sterling,Sterling Shepard,Shepard,4.9461540809044475,13,7000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,5.166666666666667,6,7000,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-56648,RB,Jeremy,Jeremy McNichols,McNichols,4.23571423121861,14,6500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-93538,WR,Dyami,Dyami Brown,Brown,3.493333435058594,15,6500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-137059,RB,Sean,Sean Tucker,Tucker,4.7999997820172995,14,6000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-102902,WR,Trey,Trey Palmer,Palmer,2.085714340209961,14,6000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-86778,TE,Devin,Devin Culp,Culp,3.7666667302449546,3,6000,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-72705,TE,John,John Bates,Bates,1.0399999618530273,10,5500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-95370,TE,Ryan,Ryan Miller,Miller,3.8499999046325684,8,5500,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-137265,TE,Ben,Ben Sinnott,Sinnott,2.2600000381469725,5,5500,WAS@TB,WAS,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111899-201535,WR,Kameron,Kameron Johnson,Johnson,0.36666667461395264,3,5500,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-136031,WR,Rakim,Rakim Jarrett,Jarrett,2.112499952316284,8,5500,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111899-68714,TE,Ko,Ko Kieft,Kieft,0,1,5500,WAS@TB,TB,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
