MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-90562:Brian Robinson Jr.,111899-60479:Chase McLaughlin,111899-80001:Austin Ekeler
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-32384:Mike Evans,111899-80001:Austin Ekeler,111899-93391:Payne Durham
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-56250:Terry McLaurin,111899-80001:Austin Ekeler,111899-93391:Payne Durham
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-32384:Mike Evans,111899-80001:Austin Ekeler,111899-27477:Sterling Shepard
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-90562:Brian Robinson Jr.,111899-29780:Zach Ertz,111899-80001:Austin Ekeler
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-152664:Bucky Irving,111899-12551:Tampa Bay Buccaneers,111899-80001:Austin Ekeler
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-90562:Brian Robinson Jr.,111899-86811:Cade Otton,111899-80001:Austin Ekeler
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-152664:Bucky Irving,111899-60479:Chase McLaughlin,111899-93391:Payne Durham
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-152664:Bucky Irving,111899-80001:Austin Ekeler,111899-93391:Payne Durham
111899-41535:Baker Mayfield,111899-102785:Jayden Daniels,111899-32384:Mike Evans,111899-80001:Austin Ekeler,111899-24755:Jamison Crowder
