Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112103-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.907499313354492,16,15000,HOU@KC,KC,HOU,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
112103-91419,WR,Nico,Nico Collins,Collins,16.40769254244291,13,14500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-52442,RB,Joe,Joe Mixon,Mixon,17.526666259765626,15,14000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-33076,TE,Travis,Travis Kelce,Kelce,9.368749618530273,16,13000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-129471,QB,C.J.,C.J. Stroud,Stroud,14.269999186197916,18,12500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-158974,WR,Xavier,Xavier Worthy,Worthy,9.856249809265137,16,11500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-45229,RB,Kareem,Kareem Hunt,Hunt,11.530768761268028,13,11000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-86687,WR,Hollywood,Hollywood Brown,Brown,6.800000190734863,2,10500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-92575,RB,Isiah,Isiah Pacheco,Pacheco,7.271428789411273,7,10000,HOU@KC,KC,HOU,Q,Ribs,,,,MVP - 1.5X Points/AnyFLEX
112103-55042,TE,Dalton,Dalton Schultz,Schultz,5.277777777777778,18,9500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7.4375,16,9500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-41642,K,Harrison,Harrison Butker,Butker,7.6923076923076925,13,9000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.235294117647059,17,9000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-12556,D,Houston,Houston Texans,Texans,9.166666666666666,18,8500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,10.882352941176471,17,8500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-102696,WR,John,John Metchie III,Metchie III,4.200000069358132,11,8000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-93143,TE,Noah,Noah Gray,Gray,5.831250190734863,16,8000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.281818043101918,11,7500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-29685,WR,Robert,Robert Woods,Woods,2.1,15,7500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-66008,WR,Diontae,Diontae Johnson,Johnson,6.441666920979817,12,7000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-52451,RB,Samaje,Samaje Perine,Perine,3.964705972110524,17,7000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-83083,WR,Justin,Justin Watson,Watson,3.4600001017252606,15,6500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-86055,RB,Dameon,Dameon Pierce,Pierce,4.2727272727272725,11,6500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-111637,TE,Cade,Cade Stover,Stover,2.257142884390695,14,6000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,1.350000023841858,16,6000,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.7222222222222223,9,5500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,2.764705882352941,17,5500,HOU@KC,HOU,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112103-156523,RB,Carson,Carson Steele,Steele,1.6999999682108562,12,5500,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,5000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-89220,WR,Tyquan,Tyquan Thornton,Thornton,1.6749999523162842,4,5000,HOU@KC,KC,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
112103-129291,WR,Tank,Tank Dell,Dell,8.392857142857142,14,5000,HOU@KC,HOU,KC,IR,Knee - acl + mcl,,,,MVP - 1.5X Points/AnyFLEX
112103-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,5000,HOU@KC,KC,HOU,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
