MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
112103-57439:Patrick Mahomes,112103-91419:Nico Collins,112103-158974:Xavier Worthy,112103-45229:Kareem Hunt,112103-66008:Diontae Johnson
112103-57439:Patrick Mahomes,112103-91419:Nico Collins,112103-129471:C.J. Stroud,112103-92575:Isiah Pacheco,112103-102696:John Metchie III
112103-57439:Patrick Mahomes,112103-91419:Nico Collins,112103-45229:Kareem Hunt,112103-16606:DeAndre Hopkins,112103-66008:Diontae Johnson
112103-57439:Patrick Mahomes,112103-91419:Nico Collins,112103-45229:Kareem Hunt,112103-92575:Isiah Pacheco,112103-12536:Kansas City Chiefs
112103-57439:Patrick Mahomes,112103-52442:Joe Mixon,112103-129471:C.J. Stroud,112103-12536:Kansas City Chiefs,112103-12556:Houston Texans
112103-57439:Patrick Mahomes,112103-52442:Joe Mixon,112103-129471:C.J. Stroud,112103-16606:DeAndre Hopkins,112103-41642:Harrison Butker
112103-57439:Patrick Mahomes,112103-52442:Joe Mixon,112103-158974:Xavier Worthy,112103-45229:Kareem Hunt,112103-66008:Diontae Johnson
112103-57439:Patrick Mahomes,112103-33076:Travis Kelce,112103-129471:C.J. Stroud,112103-45229:Kareem Hunt,112103-66008:Diontae Johnson
112103-52442:Joe Mixon,112103-91419:Nico Collins,112103-129471:C.J. Stroud,112103-45229:Kareem Hunt,112103-66008:Diontae Johnson
112103-91419:Nico Collins,112103-33076:Travis Kelce,112103-129471:C.J. Stroud,112103-45229:Kareem Hunt,112103-29932:Ka'imi Fairbairn
