Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112094-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,20.69999964096967,17,15500,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-102785,QB,Jayden,Jayden Daniels,Daniels,21.841111924913193,18,15000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,15.922352510340074,17,14000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-38435,QB,Jared,Jared Goff,Goff,20.821175967945774,17,13000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-56250,WR,Terry,Terry McLaurin,McLaurin,14.455556233723959,18,12500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,10.973333740234375,15,11500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-111631,WR,Jameson,Jameson Williams,Williams,12.813333129882812,15,11000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-105646,TE,Sam,Sam LaPorta,LaPorta,9.225000381469727,16,10500,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-29780,TE,Zach,Zach Ertz,Ertz,8.205555386013454,18,10000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-80001,RB,Austin,Austin Ekeler,Ekeler,9.353846036470854,13,9500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,5.183333502875434,18,9500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-140176,K,Jake,Jake Bates,Bates,9.470588235294118,17,9000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-12532,D,Detroit,Detroit Lions,Lions,7.235294117647059,17,9000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-12552,D,Washington,Washington Commanders,Commanders,5.277777777777778,18,8500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-39369,K,Zane,Zane Gonzalez,Gonzalez,7.285714285714286,7,8500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-57091,WR,Tim,Tim Patrick,Patrick,5.060000101725261,15,8000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-93538,WR,Dyami,Dyami Brown,Brown,4.362500190734863,16,8000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-24755,WR,Jamison,Jamison Crowder,Crowder,3.616666793823242,6,7500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-104424,RB,Craig,Craig Reynolds,Reynolds,2.7714285169328963,7,7500,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-70422,WR,Kalif,Kalif Raymond,Raymond,4,12,7000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-103547,WR,Luke,Luke McCaffrey,McCaffrey,1.8428570883614677,14,7000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-91046,TE,Brock,Brock Wright,Wright,2.85,10,6500,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-56648,RB,Jeremy,Jeremy McNichols,McNichols,3.9600001017252606,15,6500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-168076,RB,Sione,Sione Vaki,Vaki,1.3199999809265137,5,6000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,5.166666666666667,6,6000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-72705,TE,John,John Bates,Bates,0.9454545107754794,11,5500,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-28643,WR,Allen,Allen Robinson II,Robinson II,0.6428571428571429,7,5500,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-58499,TE,Parker,Parker Hesse,Hesse,,0,5000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-94345,TE,Cole,Cole Turner,Turner,2.1875,8,5000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-83086,WR,Daurice,Daurice Fountain,Fountain,,0,5000,WAS@DET,DET,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112094-86800,TE,Colson,Colson Yankoff,Yankoff,,0,5000,WAS@DET,WAS,DET,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
112094-128912,WR,Mitchell,Mitchell Tinsley,Tinsley,0,1,5000,WAS@DET,WAS,DET,,,,,,MVP - 1.5X Points/AnyFLEX
112094-91923,WR,Kazmeir,Kazmeir Allen,Allen,,0,5000,WAS@DET,WAS,DET,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
