MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
112094-38435:Jared Goff,112094-102785:Jayden Daniels,112094-129368:Jahmyr Gibbs,112094-39369:Zane Gonzalez,112094-57091:Tim Patrick
112094-102785:Jayden Daniels,112094-129368:Jahmyr Gibbs,112094-56250:Terry McLaurin,112094-140176:Jake Bates,112094-57091:Tim Patrick
112094-129368:Jahmyr Gibbs,112094-102785:Jayden Daniels,112094-111631:Jameson Williams,112094-80001:Austin Ekeler,112094-57091:Tim Patrick
112094-129368:Jahmyr Gibbs,112094-102785:Jayden Daniels,112094-111631:Jameson Williams,112094-12532:Detroit Lions,112094-12552:Washington Commanders
112094-38435:Jared Goff,112094-86997:Amon-Ra St. Brown,112094-129368:Jahmyr Gibbs,112094-80001:Austin Ekeler,112094-57091:Tim Patrick
112094-38435:Jared Goff,112094-86997:Amon-Ra St. Brown,112094-129368:Jahmyr Gibbs,112094-80001:Austin Ekeler,112094-93538:Dyami Brown
112094-38435:Jared Goff,112094-129368:Jahmyr Gibbs,112094-111631:Jameson Williams,112094-105646:Sam LaPorta,112094-80001:Austin Ekeler
112094-129368:Jahmyr Gibbs,112094-38435:Jared Goff,112094-90562:Brian Robinson Jr.,112094-111631:Jameson Williams,112094-12532:Detroit Lions
112094-102785:Jayden Daniels,112094-86997:Amon-Ra St. Brown,112094-90562:Brian Robinson Jr.,112094-80001:Austin Ekeler,112094-140176:Jake Bates
112094-102785:Jayden Daniels,112094-86997:Amon-Ra St. Brown,112094-90562:Brian Robinson Jr.,112094-64496:Olamide Zaccheaus,112094-140176:Jake Bates
