Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112146-39280,RB,Derrick,Derrick Henry,Henry,21.52777777777778,18,16000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-62239,QB,Josh,Josh Allen,Allen,24.677646412568933,17,15500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-63115,QB,Lamar,Lamar Jackson,Jackson,25.91555616590712,18,15000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-91626,RB,James,James Cook,Cook,16.688236012178308,17,13000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-112295,WR,Zay,Zay Flowers,Flowers,11.029411764705882,17,12000,BAL@BUF,BAL,BUF,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
112146-86518,WR,Khalil,Khalil Shakir,Shakir,9.975000381469727,16,11000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-52436,TE,Mark,Mark Andrews,Andrews,9.194444444444445,18,10500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.071428571428571,14,10000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-31001,WR,Amari,Amari Cooper,Cooper,7.321428571428571,14,9500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-85845,WR,Rashod,Rashod Bateman,Bateman,9.676470588235293,17,9500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-23045,K,Justin,Justin Tucker,Tucker,8.166666666666666,18,9000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-65128,K,Tyler,Tyler Bass,Bass,8.722222222222221,18,9000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-12555,D,Baltimore,Baltimore Ravens,Ravens,6.944444444444445,18,8500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-12526,D,Buffalo,Buffalo Bills,Bills,7.777777777777778,18,8500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-157467,WR,Keon,Keon Coleman,Coleman,7.357142857142857,14,8000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-71521,RB,Justice,Justice Hill,Hill,7.287499904632568,16,8000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-63050,RB,Ty,Ty Johnson,Johnson,5.538888719346788,18,7500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-87260,TE,Isaiah,Isaiah Likely,Likely,6.617647058823529,17,7500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-52613,WR,Curtis,Curtis Samuel,Samuel,4.166666666666667,15,7000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-29683,WR,Nelson,Nelson Agholor,Agholor,3.221428462437221,14,7000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-103694,RB,Ray,Ray Davis,Davis,5.994444529215495,18,6500,BAL@BUF,BUF,BAL,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
112146-25267,WR,Mack,Mack Hollins,Hollins,5.04117629107307,17,6500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-64585,TE,Dawson,Dawson Knox,Knox,3.526666768391927,15,6000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-87515,WR,Tylan,Tylan Wallace,Wallace,3.3090910478071733,11,6000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-134023,RB,Keaton,Keaton Mitchell,Mitchell,1.5750000476837158,4,5500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-90123,TE,Quintin,Quintin Morris,Morris,2.4200000762939453,5,5500,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-137488,RB,Rasheen,Rasheen Ali,Ali,0.6199999809265136,5,5500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-80299,RB,Patrick,Patrick Ricard,Ricard,2.616666634877523,6,5500,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-110721,WR,Dayton,Dayton Wade,Wade,,0,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-85635,TE,Charlie,Charlie Kolar,Kolar,3.3999998910086497,7,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-201345,TE,Mike,Mike Rigerman,Rigerman,,0,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-201344,WR,DeAngelo,DeAngelo Hardy,Hardy,,0,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-96269,RB,Owen,Owen Wright,Wright,0,1,5000,BAL@BUF,BAL,BUF,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
112146-62994,WR,Steven,Steven Sims,Sims,-0.045454545454545456,11,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-73111,WR,Chase,Chase Claypool,Claypool,2.2125000953674316,8,5000,BAL@BUF,BUF,BAL,Q,Toe,,,,MVP - 1.5X Points/AnyFLEX
112146-139284,RB,Frank,Frank Gore Jr.,Gore Jr.,,0,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-70426,RB,Reggie,Reggie Gilliam,Gilliam,0.3499999940395355,2,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-45997,WR,Keith,Keith Kirkwood,Kirkwood,1.524999976158142,8,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-92465,WR,Sean,Sean Ryan,Ryan,,0,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-86192,WR,KJ,KJ Hamler,Hamler,,0,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-93878,QB,Devin,Devin Leary,Leary,,0,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-87233,WR,Bryan,Bryan Thompson,Thompson,,0,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-69833,QB,Shane,Shane Buechele,Buechele,,0,5000,BAL@BUF,BUF,BAL,IR,Neck,,,,MVP - 1.5X Points/AnyFLEX
112146-173518,WR,Qadir,Qadir Ismail,Ismail,,0,5000,BAL@BUF,BAL,BUF,O,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
112146-149708,TE,Zach,Zach Davidson,Davidson,0.5,2,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-41936,WR,Anthony,Anthony Miller,Miller,2.4000000953674316,2,5000,BAL@BUF,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112146-30678,WR,Damiere,Damiere Byrd,Byrd,0,1,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-40534,QB,Mike,Mike White,White,1.1200000047683716,1,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
112146-90583,WR,Tyrell,Tyrell Shavers,Shavers,13.399999618530273,1,5000,BAL@BUF,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
