Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112145-64401,RB,Saquon,Saquon Barkley,Barkley,22.829412123736212,17,16000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-103020,WR,Puka,Puka Nacua,Nacua,15.808333079020182,12,14500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-69531,QB,Jalen,Jalen Hurts,Hurts,21.247499465942383,16,14000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-72846,WR,A.J.,A.J. Brown,Brown,14.278570992606026,14,13000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-104433,RB,Kyren,Kyren Williams,Williams,16.694116928998163,17,12500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-6654,QB,Matthew,Matthew Stafford,Stafford,14.402352725758272,17,11500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-90576,WR,DeVonta,DeVonta Smith,Smith,11.926666259765625,15,11000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-79970,WR,Cooper,Cooper Kupp,Kupp,11.838461068960337,13,10500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-83074,TE,Dallas,Dallas Goedert,Goedert,8.936363913796164,11,10000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-47870,TE,Tyler,Tyler Higbee,Higbee,7.724999904632568,4,9500,LAR@PHI,LAR,PHI,Q,Chest,,,,MVP - 1.5X Points/AnyFLEX
112145-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.38888888888889,18,9000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-41235,K,Jake,Jake Elliott,Elliott,8.38888888888889,18,9000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-133172,K,Joshua,Joshua Karty,Karty,8.055555555555555,18,8500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-12538,D,Los Angeles,Los Angeles Rams,Rams,7.833333333333333,18,8500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,3.111111111111111,18,8000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-38264,WR,Demarcus,Demarcus Robinson,Robinson,6.155555725097656,18,8000,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-91971,RB,Ronnie,Ronnie Rivers,Rivers,2.075000047683716,8,7500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-86229,WR,Jahan,Jahan Dotson,Dotson,2.6666666666666665,15,7500,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-119722,WR,Johnny,Johnny Wilson,Wilson,1.3666666878594294,9,7000,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-92976,WR,Tutu,Tutu Atwell,Atwell,5.193333435058594,15,7000,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-86682,TE,Grant,Grant Calcaterra,Calcaterra,3.2466667175292967,15,6500,LAR@PHI,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
112145-89588,TE,Colby,Colby Parkinson,Parkinson,3.293750047683716,16,6500,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-103195,WR,Jordan,Jordan Whittington,Whittington,2.9642857142857144,14,6000,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112145-102831,TE,Davis,Davis Allen,Allen,2.0999999727521623,7,6000,LAR@PHI,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
