MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
112145-64401:Saquon Barkley,112145-103020:Puka Nacua,112145-104433:Kyren Williams,112145-12538:Los Angeles Rams,112145-133172:Joshua Karty
112145-64401:Saquon Barkley,112145-103020:Puka Nacua,112145-6654:Matthew Stafford,112145-12545:Philadelphia Eagles,112145-41235:Jake Elliott
112145-64401:Saquon Barkley,112145-103020:Puka Nacua,112145-69531:Jalen Hurts,112145-38264:Demarcus Robinson,112145-86229:Jahan Dotson
112145-64401:Saquon Barkley,112145-103020:Puka Nacua,112145-72846:A.J. Brown,112145-133172:Joshua Karty,112145-38264:Demarcus Robinson
112145-64401:Saquon Barkley,112145-69531:Jalen Hurts,112145-104433:Kyren Williams,112145-12545:Philadelphia Eagles,112145-133172:Joshua Karty
112145-104433:Kyren Williams,112145-69531:Jalen Hurts,112145-64401:Saquon Barkley,112145-41235:Jake Elliott,112145-133172:Joshua Karty
112145-64401:Saquon Barkley,112145-69531:Jalen Hurts,112145-104433:Kyren Williams,112145-12545:Philadelphia Eagles,112145-12538:Los Angeles Rams
112145-64401:Saquon Barkley,112145-72846:A.J. Brown,112145-104433:Kyren Williams,112145-79970:Cooper Kupp,112145-38264:Demarcus Robinson
112145-69531:Jalen Hurts,112145-103020:Puka Nacua,112145-104433:Kyren Williams,112145-79970:Cooper Kupp,112145-133172:Joshua Karty
112145-69531:Jalen Hurts,112145-103020:Puka Nacua,112145-104433:Kyren Williams,112145-79970:Cooper Kupp,112145-12538:Los Angeles Rams
