Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112411-62239,QB,Josh,Josh Allen,Allen,24.36666700575087,18,17000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.529411764705884,17,15000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-91626,RB,James,James Cook,Cook,16.299999660915798,18,13500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-33076,TE,Travis,Travis Kelce,Kelce,10.241176829618567,17,13000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-86518,WR,Khalil,Khalil Shakir,Shakir,9.95882370892693,17,12000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-45229,RB,Kareem,Kareem Hunt,Hunt,11.5,14,11500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-158974,WR,Xavier,Xavier Worthy,Worthy,9.641176111557904,17,11000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-86687,WR,Hollywood,Hollywood Brown,Brown,4.533333460489909,3,10000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-145558,TE,Dalton,Dalton Kincaid,Kincaid,5.773333231608073,15,9500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7,17,9500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-41642,K,Harrison,Harrison Butker,Butker,7.928571428571429,14,9000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-65128,K,Tyler,Tyler Bass,Bass,8.842105263157896,19,9000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-12526,D,Buffalo,Buffalo Bills,Bills,7.7894736842105265,19,8500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.666666666666667,18,8500,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-31001,WR,Amari,Amari Cooper,Cooper,6.833333333333333,15,8000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.587500095367432,8,8000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-157467,WR,Keon,Keon Coleman,Coleman,6.933333333333334,15,7500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-63050,RB,Ty,Ty Johnson,Johnson,5.478947288111637,19,7500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-103694,RB,Ray,Ray Davis,Davis,6.147368581671464,19,7000,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-93143,TE,Noah,Noah Gray,Gray,5.652941086713006,17,7000,BUF@KC,KC,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
112411-52613,WR,Curtis,Curtis Samuel,Samuel,4.025000095367432,16,6500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112411-25267,WR,Mack,Mack Hollins,Hollins,4.855555640326606,18,6500,BUF@KC,BUF,KC,,,,,,MVP - 1.5X Points/AnyFLEX
