Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112419-64401,RB,Saquon,Saquon Barkley,Barkley,23.794443766276043,18,17000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-102785,QB,Jayden,Jayden Daniels,Daniels,22.0105269582648,19,15000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-69531,QB,Jalen,Jalen Hurts,Hurts,21.063528621897976,17,13500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-72846,WR,A.J.,A.J. Brown,Brown,13.486666870117187,15,13000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-56250,WR,Terry,Terry McLaurin,McLaurin,14.57368388928865,19,12500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,11.518750190734863,16,11500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-90576,WR,DeVonta,DeVonta Smith,Smith,11.4375,16,11000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-83074,TE,Dallas,Dallas Goedert,Goedert,8.825000127156576,12,10000,WAS@PHI,PHI,WAS,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
112419-29780,TE,Zach,Zach Ertz,Ertz,8.368421052631579,19,9500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.473684210526315,19,9000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-41235,K,Jake,Jake Elliott,Elliott,8.526315789473685,19,9000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-12552,D,Washington,Washington Commanders,Commanders,5.894736842105263,19,8500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-39369,K,Zane,Zane Gonzalez,Gonzalez,7.625,8,8500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-80001,RB,Austin,Austin Ekeler,Ekeler,9.457142421177455,14,8000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-93538,WR,Dyami,Dyami Brown,Brown,4.858823439654182,17,8000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112419-86229,WR,Jahan,Jahan Dotson,Dotson,2.6666666666666665,15,7500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.910526476408306,19,7500,WAS@PHI,WAS,PHI,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
112419-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,3.0789473684210527,19,7000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
112419-24755,WR,Jamison,Jamison Crowder,Crowder,3.6000001089913503,7,7000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
