Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
112626-64401,RB,Saquon,Saquon Barkley,Barkley,24.31578947368421,19,16500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112626-57439,QB,Patrick,Patrick Mahomes,Mahomes,19.172222561306423,18,14000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-69531,QB,Jalen,Jalen Hurts,Hurts,21.751110500759548,18,13500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112626-72846,WR,A.J.,A.J. Brown,Brown,13.806249618530273,16,12500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112626-33076,TE,Travis,Travis Kelce,Kelce,9.833333333333334,18,12000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-158974,WR,Xavier,Xavier Worthy,Worthy,10.166666666666666,18,11500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-90576,WR,DeVonta,DeVonta Smith,Smith,11.147058823529411,17,11000,KC@PHI,PHI,KC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
112626-45229,RB,Kareem,Kareem Hunt,Hunt,11.633333333333333,15,10500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-83074,TE,Dallas,Dallas Goedert,Goedert,9.169230534480167,13,10000,KC@PHI,PHI,KC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
112626-86687,WR,Hollywood,Hollywood Brown,Brown,4.650000095367432,4,9500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-41235,K,Jake,Jake Elliott,Elliott,8.45,20,9000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112626-41642,K,Harrison,Harrison Butker,Butker,7.8,15,9000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.233333163791233,9,8500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.6999999152289496,18,8500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.6,20,8000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
112626-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.368421052631579,19,8000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
112626-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,3.095000076293945,20,7500,KC@PHI,PHI,KC,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
112626-93143,TE,Noah,Noah Gray,Gray,5.652941086713006,17,7500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
