entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3494476003,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-64401:Saquon Barkley,112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-12545:Philadelphia Eagles,112626-12536:Kansas City Chiefs,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3494476005,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-64401:Saquon Barkley,112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-12545:Philadelphia Eagles,112626-86229:Jahan Dotson,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3494476007,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-64401:Saquon Barkley,112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-41642:Harrison Butker,112626-86229:Jahan Dotson,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3494476009,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-64401:Saquon Barkley,112626-57439:Patrick Mahomes,112626-45229:Kareem Hunt,112626-83074:Dallas Goedert,112626-41642:Harrison Butker,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3494476010,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-57439:Patrick Mahomes,112626-64401:Saquon Barkley,112626-158974:Xavier Worthy,112626-45229:Kareem Hunt,112626-86229:Jahan Dotson,,,,,,,,,,,,,,,,,,,
3494476011,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-57439:Patrick Mahomes,112626-64401:Saquon Barkley,112626-33076:Travis Kelce,112626-45229:Kareem Hunt,112626-86229:Jahan Dotson,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3494476012,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-64401:Saquon Barkley,112626-57439:Patrick Mahomes,112626-72846:A.J. Brown,112626-86687:Hollywood Brown,112626-86229:Jahan Dotson,,112626-64401:Saquon Barkley,112626-64401,RB,Saquon,Saquon Barkley,Barkley,24.31578947,19,16500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3494476013,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-69531:Jalen Hurts,112626-64401:Saquon Barkley,112626-90576:DeVonta Smith,112626-45229:Kareem Hunt,112626-16606:DeAndre Hopkins,,112626-57439:Patrick Mahomes,112626-57439,QB,Patrick,Patrick Mahomes,Mahomes,19.17222256,18,14000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3494476015,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-69531:Jalen Hurts,112626-64401:Saquon Barkley,112626-45229:Kareem Hunt,112626-83074:Dallas Goedert,112626-41235:Jake Elliott,,112626-69531:Jalen Hurts,112626-69531,QB,Jalen,Jalen Hurts,Hurts,21.7511105,18,13500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3494476016,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-64401:Saquon Barkley,112626-69531:Jalen Hurts,112626-90576:DeVonta Smith,112626-45229:Kareem Hunt,112626-12536:Kansas City Chiefs,,112626-72846:A.J. Brown,112626-72846,WR,A.J.,A.J. Brown,Brown,13.80624962,16,12500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3494476018,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-72846:A.J. Brown,112626-45229:Kareem Hunt,112626-12545:Philadelphia Eagles,,112626-33076:Travis Kelce,112626-33076,TE,Travis,Travis Kelce,Kelce,9.833333333,18,12000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3494476019,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-72846:A.J. Brown,112626-45229:Kareem Hunt,112626-41642:Harrison Butker,,112626-158974:Xavier Worthy,112626-158974,WR,Xavier,Xavier Worthy,Worthy,10.16666667,18,11500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3494476021,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-158974:Xavier Worthy,112626-45229:Kareem Hunt,112626-83074:Dallas Goedert,,112626-90576:DeVonta Smith,112626-90576,WR,DeVonta,DeVonta Smith,Smith,11.14705882,17,11000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3494476024,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-57439:Patrick Mahomes,112626-69531:Jalen Hurts,112626-33076:Travis Kelce,112626-45229:Kareem Hunt,112626-83074:Dallas Goedert,,112626-45229:Kareem Hunt,112626-45229,RB,Kareem,Kareem Hunt,Hunt,11.63333333,15,10500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
3494476028,112626-274278714,$50K Sun NFL LIX Snap (20 Entries Max),112626-45229:Kareem Hunt,112626-69531:Jalen Hurts,112626-72846:A.J. Brown,112626-57439:Patrick Mahomes,112626-86687:Hollywood Brown,,112626-83074:Dallas Goedert,112626-83074,TE,Dallas,Dallas Goedert,Goedert,9.169230534,13,10000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-41235:Jake Elliott,112626-41235,K,Jake,Jake Elliott,Elliott,8.45,20,9000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-41642:Harrison Butker,112626-41642,K,Harrison,Harrison Butker,Butker,7.8,15,9000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-92575:Isiah Pacheco,112626-92575,RB,Isiah,Isiah Pacheco,Pacheco,6.233333164,9,8500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-16606:DeAndre Hopkins,112626-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,6.699999915,18,8500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-12545:Philadelphia Eagles,112626-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.6,20,8000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-12536:Kansas City Chiefs,112626-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.368421053,19,8000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-90912:Kenneth Gainwell,112626-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,3.095000076,20,7500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-93143:Noah Gray,112626-93143,TE,Noah,Noah Gray,Gray,5.652941087,17,7500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-55987:JuJu Smith-Schuster,112626-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.161538344,13,7000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-86229:Jahan Dotson,112626-86229,WR,Jahan,Jahan Dotson,Dotson,2.666666667,15,7000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-152520:Will Shipley,112626-152520,RB,Will,Will Shipley,Shipley,2.490909056,11,6500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-52451:Samaje Perine,112626-52451,RB,Samaje,Samaje Perine,Perine,3.663157814,19,6500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-83083:Justin Watson,112626-83083,WR,Justin,Justin Watson,Watson,3.368750095,16,6000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-119722:Johnny Wilson,112626-119722,WR,Johnny,Johnny Wilson,Wilson,1.366666688,9,6000,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-86682:Grant Calcaterra,112626-86682,TE,Grant,Grant Calcaterra,Calcaterra,3.246666718,15,5500,KC@PHI,PHI,KC,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-156523:Carson Steele,112626-156523,RB,Carson,Carson Steele,Steele,1.699999968,12,5500,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-92545:Keaontay Ingram,112626-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.714285714,7,5000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,112626-89220:Tyquan Thornton,112626-89220,WR,Tyquan,Tyquan Thornton,Thornton,1.674999952,4,5000,KC@PHI,KC,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
