Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
105779-102831,TE,Davis,Davis Allen,Allen,4.049999873,6,12000,DAL@LAR,LAR,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
105779-92976,WR,Tutu,Tutu Atwell,Atwell,6.879999797,15,12000,DAL@LAR,LAR,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
105779-189471,K,Brandon,Brandon Aubrey,Aubrey,10.27777778,18,12000,DAL@LAR,DAL,LAR,,,1,,,MVP - 1.5X Points/AnyFLEX
105779-91583,QB,Stetson,Stetson Bennett,Bennett,,0,12000,DAL@LAR,LAR,DAL,,,1,,,MVP - 1.5X Points/AnyFLEX
105779-60705,WR,Tyron,Tyron Billy-Johnson,Billy-Johnson,0.649999976,2,12000,DAL@LAR,DAL,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
105779-138277,WR,Jalen,Jalen Brooks,Brooks,2.349999905,4,12000,DAL@LAR,DAL,LAR,,,1,,,MVP - 1.5X Points/AnyFLEX
105779-136517,K,Tanner,Tanner Brown,Brown,,0,12000,DAL@LAR,LAR,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
105779-65706,WR,Deontay,Deontay Burnett,Burnett,,0,12000,DAL@LAR,DAL,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
105779-102729,RB,Snoop,Snoop Conner,Conner,2.039999962,5,12000,DAL@LAR,DAL,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
105779-29501,WR,Brandin,Brandin Cooks,Cooks,9.088235294,17,12000,DAL@LAR,DAL,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
105779-137967,RB,Blake,Blake Corum,Corum,,0,12000,DAL@LAR,LAR,DAL,,,1,,,MVP - 1.5X Points/AnyFLEX
105779-12530,D,Dallas,Dallas Cowboys,Cowboys,9.666666667,18,12000,DAL@LAR,DAL,LAR,,,1,,,MVP - 1.5X Points/AnyFLEX
105779-104304,WR,Corey,Corey Crooms Jr.,Crooms Jr.,,0,12000,DAL@LAR,DAL,LAR,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
105779-109008,WR,Jalen,Jalen Cropper,Cropper,,0,12000,DAL@LAR,DAL,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
105779-86047,RB,Malik,Malik Davis,Davis,5.23333327,6,12000,DAL@LAR,DAL,LAR,,,1,,,MVP - 1.5X Points/AnyFLEX
