Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
105618-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,,0,6000,CAR@NE,CAR,NE,,,,,,TE/FLEX
105618-111876,WR,DeMario,DeMario Douglas,Douglas,5.907142639160156,14,6000,CAR@NE,NE,CAR,Q,Hand,,,,WR/FLEX
105618-91912,WR,Chase,Chase Cota,Cota,,0,6000,DET@NYG,NYG,DET,IR,Collarbone,,,,WR/FLEX
105618-12553,D,Carolina,Carolina Panthers,Panthers,4.176470588235294,17,6000,CAR@NE,CAR,NE,,,,,,DEF
105618-111631,WR,Jameson,Jameson Williams,Williams,6.3600001017252605,15,6000,DET@NYG,DET,NYG,,,,,,WR/FLEX
105618-94481,WR,Deven,Deven Thompkins,Thompkins,1.572222179836697,18,6000,CAR@NE,CAR,NE,,,,,,WR/FLEX
105618-102928,RB,Eric,Eric Gray,Gray,1,10,6000,DET@NYG,NYG,DET,,,,,,RB/FLEX
105618-69655,WR,Stephen,Stephen Sullivan,Sullivan,1.6818181818181819,11,6000,CAR@NE,CAR,NE,IR,Quadriceps,,,,WR/FLEX
105618-114198,WR,Xavier,Xavier Legette,Legette,,0,6000,CAR@NE,CAR,NE,Q,Foot,,,,WR/FLEX
105618-70422,WR,Kalif,Kalif Raymond,Raymond,4.700000089757583,17,6000,DET@NYG,DET,NYG,,,,,,WR/FLEX
105618-30231,QB,Jacoby,Jacoby Brissett,Brissett,7.6200002034505205,3,6000,CAR@NE,NE,CAR,,,,,,QB
105618-138782,RB,Dillon,Dillon Johnson,Johnson,,0,6000,CAR@NE,CAR,NE,,,,,,RB/FLEX
105618-94748,QB,Tommy,Tommy DeVito,DeVito,10.726666768391928,9,6000,DET@NYG,NYG,DET,,,,,,QB
105618-63519,QB,Daniel,Daniel Jones,Jones,10.493333180745443,6,6000,DET@NYG,NYG,DET,,,,,,QB
105618-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,1.375,16,6000,DET@NYG,DET,NYG,,,,,,WR/FLEX
105618-38435,QB,Jared,Jared Goff,Goff,17.544000244140626,20,6000,DET@NYG,DET,NYG,,,,,,QB
105618-39716,WR,Adam,Adam Thielen,Thielen,10.558823529411764,17,6000,CAR@NE,CAR,NE,,,,,,WR/FLEX
105618-128810,TE,Theo,Theo Johnson,Johnson,,0,6000,DET@NYG,NYG,DET,,,,,,TE/FLEX
105618-64051,QB,Drew,Drew Lock,Lock,5.353333155314128,6,6000,DET@NYG,NYG,DET,,,,,,QB
105618-90933,RB,Antonio,Antonio Gibson,Gibson,6.462500095367432,16,6000,CAR@NE,NE,CAR,,,,,,RB/FLEX
105618-119606,QB,Bryce,Bryce Young,Young,10.398750305175781,16,6000,CAR@NE,CAR,NE,,,,,,QB
105618-73273,RB,David,David Montgomery,Montgomery,13.166666666666666,18,6000,DET@NYG,DET,NYG,,,,,,RB/FLEX
105618-64827,WR,Miles,Miles Boykin,Boykin,0.6400000095367432,5,6000,DET@NYG,NYG,DET,,,,,,WR/FLEX
105618-173631,RB,Dante,Dante Miller,Miller,,0,6000,DET@NYG,NYG,DET,,,,,,RB/FLEX
105618-112192,WR,Jonathan,Jonathan Mingo,Mingo,4.21999994913737,15,6000,CAR@NE,CAR,NE,,,,,,WR/FLEX
105618-72515,TE,Ian,Ian Thomas,Thomas,1.1571429116385323,7,6000,CAR@NE,CAR,NE,Q,Calf,,,,TE/FLEX
105618-87367,TE,Jacob,Jacob Warren,Warren,,0,6000,CAR@NE,NE,CAR,,,,,,TE/FLEX
105618-201547,WR,Jalen,Jalen Coker,Coker,,0,6000,CAR@NE,CAR,NE,,,,,,WR/FLEX
105618-149832,TE,Shane,Shane Zylstra,Zylstra,4.4375,8,6000,DET@NYG,DET,NYG,,,,,,TE/FLEX
105618-69451,TE,Jack,Jack Stoll,Stoll,1.0500000317891438,6,6000,DET@NYG,NYG,DET,Q,Concussion,,,,TE/FLEX
