Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
105916-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-58499,TE,Parker,Parker Hesse,Hesse,1.4888888465033636,9,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-70023,WR,Cornell,Cornell Powell,Powell,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-199819,RB,Louis,Louis Rees-Zammit,Rees-Zammit,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-83083,WR,Justin,Justin Watson,Watson,4.605263157894737,19,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-27403,TE,Blake,Blake Bell,Bell,1.3000000544956751,7,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,12000,DET@KC,KC,DET,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
105916-111631,WR,Jameson,Jameson Williams,Williams,6.3600001017252605,15,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-83086,WR,Daurice,Daurice Fountain,Fountain,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-140176,K,Jake,Jake Bates,Bates,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.7222222222222223,9,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-70422,WR,Kalif,Kalif Raymond,Raymond,4.700000089757583,17,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-103192,TE,Jared,Jared Wiley,Wiley,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-27801,QB,Nate,Nate Sudfeld,Sudfeld,-0.20000000298023224,2,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-92575,RB,Isiah,Isiah Pacheco,Pacheco,13.955555386013454,18,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-86687,WR,Hollywood,Hollywood Brown,Brown,8.3999997652494,13,12000,DET@KC,KC,DET,D,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
105916-73118,QB,Ian,Ian Book,Book,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-91426,WR,Donovan,Donovan Peoples-Jones,Peoples-Jones,1.375,16,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-38435,QB,Jared,Jared Goff,Goff,17.544000244140626,20,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-86052,WR,Kadarius,Kadarius Toney,Toney,3.0384615384615383,13,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-201508,WR,Jaaron,Jaaron Hayek,Hayek,,0,12000,DET@KC,KC,DET,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
105916-91046,TE,Brock,Brock Wright,Wright,2.5,10,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-112041,WR,Isaiah,Isaiah Williams,Williams,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-41642,K,Harrison,Harrison Butker,Butker,9.523809523809524,21,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-201263,WR,Kyle,Kyle Sheets,Sheets,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-105646,TE,Sam,Sam LaPorta,LaPorta,11.519999694824218,20,12000,DET@KC,DET,KC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
105916-33076,TE,Travis,Travis Kelce,Kelce,12.784210205078125,19,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-70324,QB,Carson,Carson Wentz,Wentz,27.1200008392334,1,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-73398,QB,Chris,Chris Oladokun,Oladokun,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-73273,RB,David,David Montgomery,Montgomery,13.166666666666666,18,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-71352,WR,Mecole,Mecole Hardman,Hardman,3.0399999618530273,10,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-112062,WR,Skyy,Skyy Moore,Moore,3.323076981764573,13,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-104388,WR,Tom,Tom Kennedy,Kennedy,3.0166667302449546,6,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-149832,TE,Shane,Shane Zylstra,Zylstra,4.4375,8,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-111311,WR,Rashee,Rashee Rice,Rice,10.93499984741211,20,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-54608,RB,Jerick,Jerick McKinnon,McKinnon,5.72000004695012,13,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.63157894736842,19,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-103252,RB,Zonovan,Zonovan Knight,Knight,1.2999999523162842,2,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-93143,TE,Noah,Noah Gray,Gray,3.3599998474121096,20,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-89814,TE,Gerrit,Gerrit Prince,Prince,,0,12000,DET@KC,KC,DET,Q,Lower leg,,,,MVP - 1.5X Points/AnyFLEX
105916-91481,WR,Nikko,Nikko Remigio,Remigio,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,14.522221883138021,18,12000,DET@KC,DET,KC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
105916-93531,WR,Antoine,Antoine Green,Green,0.23333332935969034,3,12000,DET@KC,DET,KC,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
105916-65627,WR,Maurice,Maurice Alexander,Alexander,0.40000001589457196,3,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-133599,RB,Emani,Emani Bailey,Bailey,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-42077,TE,James,James Winchester,Winchester,0,2,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-103135,TE,Baylor,Baylor Cupp,Cupp,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-93023,RB,Jermar,Jermar Jefferson,Jefferson,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-85983,QB,Hendon,Hendon Hooker,Hooker,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.667999267578125,20,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-170208,WR,Kaden,Kaden Davis,Davis,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-91235,TE,Geor'Quarius,Geor'Quarius Spivey,Spivey,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-85986,TE,James,James Mitchell,Mitchell,1.2666666507720947,3,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-110950,WR,Jalon,Jalon Calhoun,Calhoun,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-156523,RB,Carson,Carson Steele,Steele,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-104424,RB,Craig,Craig Reynolds,Reynolds,2.7666667302449546,12,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-55145,K,Michael,Michael Badgley,Badgley,6.857142857142857,7,12000,DET@KC,DET,KC,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
105916-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,-0.10000000149011612,2,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,3.3799999237060545,20,12000,DET@KC,KC,DET,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
105916-89964,WR,Justyn,Justyn Ross,Ross,1.1857143129621233,7,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-94831,RB,Deneric,Deneric Prince,Prince,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-95854,WR,Montrell,Montrell Washington,Washington,0,4,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-14194,QB,Blaine,Blaine Gabbert,Gabbert,2.2249999046325684,4,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-70133,RB,Jake,Jake Funk,Funk,2.700000047683716,1,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-12532,D,Detroit,Detroit Lions,Lions,6.1,20,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-91639,QB,Jake,Jake Fromm,Fromm,,0,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7.761904761904762,21,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-92283,WR,Phillip,Phillip Brooks,Brooks,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-53498,WR,Richie,Richie James Jr.,James Jr.,1.1923076923076923,13,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-68730,TE,Sean,Sean McKeon,McKeon,0,4,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105916-158974,WR,Xavier,Xavier Worthy,Worthy,,0,12000,DET@KC,KC,DET,,,,,,MVP - 1.5X Points/AnyFLEX
105916-57342,WR,Tre'Quan,Tre'Quan Smith,Smith,0,1,12000,DET@KC,DET,KC,,,,,,MVP - 1.5X Points/AnyFLEX
