Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
105829-69531,QB,Jalen,Jalen Hurts,Hurts,21.462222629123264,18,17000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-72846,WR,A.J.,A.J. Brown,Brown,13.91764741785386,17,14500,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-64401,RB,Saquon,Saquon Barkley,Barkley,14.478571210588727,14,14500,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-90576,WR,DeVonta,DeVonta Smith,Smith,12.111764346852022,17,13000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-92020,QB,Kenny,Kenny Pickett,Pickett,9.516666412353516,12,13000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-139985,QB,Bailey,Bailey Zappe,Zappe,7.10727275501598,11,12500,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-111876,WR,DeMario,DeMario Douglas,Douglas,5.907142639160156,14,12000,PHI@NE,NE,PHI,Q,Hand,,,,MVP - 1.5X Points/AnyFLEX
105829-83074,TE,Dallas,Dallas Goedert,Goedert,7.793333435058594,15,10000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-41235,K,Jake,Jake Elliott,Elliott,8.88888888888889,18,9500,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-12541,D,New England,New England Patriots,Patriots,6.470588235294118,17,9500,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-12545,D,Philadelphia,Philadelphia Eagles,Eagles,5.833333333333333,18,9000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-56378,K,Joey,Joey Slye,Slye,6,17,9000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-86750,K,Chad,Chad Ryland,Ryland,5.0625,16,9000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-102762,RB,Kevin,Kevin Harris,Harris,4.949999809265137,4,8500,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-40845,TE,Hunter,Hunter Henry,Henry,7.607692425067608,13,8000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-90933,RB,Antonio,Antonio Gibson,Gibson,6.462500095367432,16,8000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,4.981176488539752,17,7500,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-14190,WR,Julio,Julio Jones,Jones,3.459999847412109,10,7500,PHI@NE,PHI,NE,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
105829-63855,WR,K.J.,K.J. Osborn,Osborn,6,16,7500,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-89220,WR,Tyquan,Tyquan Thornton,Thornton,2.0700000762939452,10,7000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-94625,WR,Jalen,Jalen Reagor,Reagor,2.5,10,6500,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-40126,TE,Austin,Austin Hooper,Hooper,2.2437500953674316,16,6500,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-41475,WR,John,John Ross III,Ross III,,0,6000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-56262,WR,Parris,Parris Campbell,Campbell,2.0399999618530273,10,6000,PHI@NE,PHI,NE,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
105829-115971,WR,Shaquan,Shaquan Davis,Davis,,0,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-90628,TE,Griffin,Griffin Hebert,Hebert,,0,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-89607,QB,Tanner,Tanner McKee,McKee,0,1,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-61200,WR,Jaylinn,Jaylinn Hawkins,Hawkins,0,2,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-64147,WR,Britain,Britain Covey,Covey,0.38749998807907104,16,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-30231,QB,Jacoby,Jacoby Brissett,Brissett,7.6200002034505205,3,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-86682,TE,Grant,Grant Calcaterra,Calcaterra,1.9666666984558105,3,5000,PHI@NE,PHI,NE,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
105829-72863,TE,Armani,Armani Rogers,Rogers,2.3,5,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-65182,TE,Mitchell,Mitchell Wilcox,Wilcox,0.9181818528608843,11,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-80289,WR,Kendrick,Kendrick Bourne,Bourne,10.1875,8,5000,PHI@NE,NE,PHI,NA,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
105829-119722,WR,Johnny,Johnny Wilson,Wilson,,0,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-91443,TE,McCallan,McCallan Castles,Castles,,0,5000,PHI@NE,PHI,NE,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
105829-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.2272727272727275,11,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,10.558333079020182,12,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-102836,WR,Joseph,Joseph Ngata,Ngata,,0,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-151737,TE,E.J.,E.J. Jenkins,Jenkins,,0,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-138169,TE,Jaheim,Jaheim Bell,Bell,,0,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-114109,WR,Ainias,Ainias Smith,Smith,,0,5000,PHI@NE,PHI,NE,,,,,,MVP - 1.5X Points/AnyFLEX
105829-91709,RB,Deshaun,Deshaun Fenwick,Fenwick,,0,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-65724,RB,JaMycal,JaMycal Hasty,Hasty,0,1,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
105829-87367,TE,Jacob,Jacob Warren,Warren,,0,5000,PHI@NE,NE,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
