Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106035-92677,RB,Zavier,Zavier Scott,Scott,,0,6000,IND@CIN,IND,CIN,,,,,,RB/FLEX
106035-70661,WR,Velus,Velus Jones Jr.,Jones Jr.,0.7000000293438251,13,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-27403,TE,Blake,Blake Bell,Bell,1.3000000544956751,7,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-6672,TE,Marcedes,Marcedes Lewis,Lewis,1.3624999523162842,8,6000,CHI@KC,CHI,KC,,,,,,TE/FLEX
106035-103187,RB,Roschon,Roschon Johnson,Johnson,5.673333231608073,15,6000,CHI@KC,CHI,KC,,,,,,RB/FLEX
106035-102933,QB,Kedon,Kedon Slovis,Slovis,,0,6000,IND@CIN,IND,CIN,,,,,,QB
106035-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.7222222222222223,9,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-71444,RB,Travis,Travis Homer,Homer,0,4,6000,CHI@KC,CHI,KC,,,,,,RB/FLEX
106035-129305,WR,Josh,Josh Downs,Downs,7.241176380830653,17,6000,IND@CIN,IND,CIN,Q,Ankle,,,,WR/FLEX
106035-103192,TE,Jared,Jared Wiley,Wiley,,0,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-129315,QB,Anthony,Anthony Richardson,Richardson,18.420000076293945,4,6000,IND@CIN,IND,CIN,,,,,,QB
106035-86052,WR,Kadarius,Kadarius Toney,Toney,3.0384615384615383,13,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-201508,WR,Jaaron,Jaaron Hayek,Hayek,,0,6000,CHI@KC,KC,CHI,Q,Shoulder,,,,WR/FLEX
106035-86312,WR,Alec,Alec Pierce,Pierce,4.670588325051701,17,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-201263,WR,Kyle,Kyle Sheets,Sheets,,0,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-102957,WR,John,John Jackson III,Jackson III,,0,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-14895,TE,Patrick,Patrick Scales,Scales,0,3,6000,CHI@KC,CHI,KC,Q,Back,,,,TE/FLEX
106035-202544,WR,Derek,Derek Slywka,Slywka,,0,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-152113,QB,Caleb,Caleb Williams,Williams,,0,6000,CHI@KC,CHI,KC,,,,,,QB
106035-33076,TE,Travis,Travis Kelce,Kelce,12.784210205078125,19,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-201526,RB,Ian,Ian Wheeler,Wheeler,,0,6000,CHI@KC,CHI,KC,,,,,,RB/FLEX
106035-6714,QB,Joe,Joe Flacco,Flacco,20.736666361490887,6,6000,IND@CIN,IND,CIN,,,,,,QB
106035-63043,WR,DJ,DJ Moore,Moore,14.029411764705882,17,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-29253,WR,Keenan,Keenan Allen,Allen,17.296923123873196,13,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-104008,TE,Stephen,Stephen Carlson,Carlson,0,1,6000,CHI@KC,CHI,KC,,,,,,TE/FLEX
106035-89675,RB,Jonathan,Jonathan Taylor,Taylor,14.689999389648438,10,6000,IND@CIN,IND,CIN,,,,,,RB/FLEX
106035-87117,TE,Brenden,Brenden Bates,Bates,,0,6000,CHI@KC,CHI,KC,,,,,,TE/FLEX
106035-104012,WR,Ashton,Ashton Dulin,Dulin,5,7,6000,IND@CIN,IND,CIN,Q,Hamstring,,,,WR/FLEX
106035-56142,WR,Juwann,Juwann Winfree,Winfree,0,3,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-41806,WR,Laquon,Laquon Treadwell,Treadwell,2.0999999046325684,1,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-54608,RB,Jerick,Jerick McKinnon,McKinnon,5.72000004695012,13,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-91481,WR,Nikko,Nikko Remigio,Remigio,,0,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-201561,WR,Cole,Cole Burgess,Burgess,,0,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.231249809265137,16,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-42077,TE,James,James Winchester,Winchester,0,2,6000,CHI@KC,KC,CHI,Q,Shoulder,,,,TE/FLEX
106035-201564,TE,Cam,Cam Grandy,Grandy,,0,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.667999267578125,20,6000,CHI@KC,KC,CHI,,,,,,QB
106035-91235,TE,Geor'Quarius,Geor'Quarius Spivey,Spivey,,0,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-63336,QB,Joe,Joe Burrow,Burrow,15.316000366210938,10,6000,IND@CIN,CIN,IND,,,,,,QB
106035-156523,RB,Carson,Carson Steele,Steele,,0,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-147049,TE,Drew,Drew Ogletree,Ogletree,2.8363637057217685,11,6000,IND@CIN,IND,CIN,,,,,,TE/FLEX
106035-89964,WR,Justyn,Justyn Ross,Ross,1.1857143129621233,7,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-139884,TE,Jordan,Jordan Murray,Murray,,0,6000,IND@CIN,IND,CIN,,,,,,TE/FLEX
106035-133484,WR,Jermaine,Jermaine Burton,Burton,,0,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-94831,RB,Deneric,Deneric Prince,Prince,,0,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-95854,WR,Montrell,Montrell Washington,Washington,0,4,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-14194,QB,Blaine,Blaine Gabbert,Gabbert,2.2249999046325684,4,6000,CHI@KC,KC,CHI,,,,,,QB
106035-87668,WR,Shedrick,Shedrick Jackson,Jackson,0,2,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-86646,RB,Trey,Trey Sermon,Sermon,1.8799999237060547,10,6000,IND@CIN,IND,CIN,Q,Hamstring,,,,RB/FLEX
106035-92283,WR,Phillip,Phillip Brooks,Brooks,,0,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-56698,WR,Dante,Dante Pettis,Pettis,3.7133333841959635,15,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-89981,WR,Tee,Tee Higgins,Higgins,8.969230651855469,13,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-169087,QB,Austin,Austin Reed,Reed,,0,6000,CHI@KC,CHI,KC,,,,,,QB
106035-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-110978,RB,Evan,Evan Hull,Hull,1.2000000476837158,1,6000,IND@CIN,IND,CIN,,,,,,RB/FLEX
106035-70023,WR,Cornell,Cornell Powell,Powell,,0,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-56711,TE,Drew,Drew Sample,Sample,2.807142802647182,14,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-199819,RB,Louis,Louis Rees-Zammit,Rees-Zammit,,0,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-64905,WR,Trenton,Trenton Irwin,Irwin,4.174999872843425,12,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-83083,WR,Justin,Justin Watson,Watson,4.605263157894737,19,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-70027,RB,Zack,Zack Moss,Moss,11.150000435965401,14,6000,IND@CIN,CIN,IND,,,,,,RB/FLEX
106035-70282,RB,Demetric,Demetric Felton,Felton,0.27999999523162844,5,6000,IND@CIN,IND,CIN,,,,,,RB/FLEX
106035-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,6000,CHI@KC,KC,CHI,Q,Hamstring,,,,TE/FLEX
106035-71821,WR,Joe,Joe Reed,Reed,,0,6000,CHI@KC,CHI,KC,Q,Undisclosed,,,,WR/FLEX
106035-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,2,6000,IND@CIN,IND,CIN,,,,,,QB
106035-89493,RB,Chase,Chase Brown,Brown,4.65,10,6000,IND@CIN,CIN,IND,,,,,,RB/FLEX
106035-56212,TE,Tommy,Tommy Sweeney,Sweeney,0,1,6000,CHI@KC,CHI,KC,,,,,,TE/FLEX
106035-92056,TE,Cal,Cal Adomitis,Adomitis,0,2,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-92575,RB,Isiah,Isiah Pacheco,Pacheco,13.955555386013454,18,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-86687,WR,Hollywood,Hollywood Brown,Brown,8.3999997652494,13,6000,CHI@KC,KC,CHI,D,Shoulder,,,,WR/FLEX
106035-73118,QB,Ian,Ian Book,Book,,0,6000,CHI@KC,KC,CHI,,,,,,QB
106035-103584,RB,Noah,Noah Cain,Cain,,0,6000,IND@CIN,CIN,IND,,,,,,RB/FLEX
106035-62628,WR,DeAndre,DeAndre Carter,Carter,0.4529411652508904,17,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-94116,TE,Will,Will Mallory,Mallory,2.4750000635782876,12,6000,IND@CIN,IND,CIN,,,,,,TE/FLEX
106035-91047,TE,Cole,Cole Kmet,Kmet,9.037500381469727,16,6000,CHI@KC,CHI,KC,,,,,,TE/FLEX
106035-93862,RB,Trent,Trent Pennix,Pennix,,0,6000,IND@CIN,IND,CIN,Q,Groin,,,,RB/FLEX
106035-60840,QB,Jake,Jake Browning,Browning,12.578333536783854,12,6000,IND@CIN,CIN,IND,Q,Ribs,,,,QB
106035-73130,RB,Chris,Chris Evans,Evans,0.4000000059604645,4,6000,IND@CIN,CIN,IND,IR,Leg,,,,RB/FLEX
106035-87469,TE,Jelani,Jelani Woods,Woods,5.141666730244954,12,6000,IND@CIN,IND,CIN,Q,Toe,,,,TE/FLEX
106035-83117,TE,Tanner,Tanner Hudson,Hudson,5.058333396911621,12,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-64175,WR,Hakeem,Hakeem Butler,Butler,,0,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-105648,RB,Tyler,Tyler Goodson,Goodson,2.5166667302449546,6,6000,IND@CIN,IND,CIN,,,,,,RB/FLEX
106035-88752,WR,Charlie,Charlie Jones,Jones,1.7200000762939454,10,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-185776,QB,Tyson,Tyson Bagent,Bagent,11.851999664306641,5,6000,CHI@KC,CHI,KC,,,,,,QB
106035-70324,QB,Carson,Carson Wentz,Wentz,27.1200008392334,1,6000,CHI@KC,KC,CHI,,,,,,QB
106035-69303,WR,Freddie,Freddie Swain,Swain,3.133333206176758,3,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-73398,QB,Chris,Chris Oladokun,Oladokun,,0,6000,CHI@KC,KC,CHI,,,,,,QB
106035-71352,WR,Mecole,Mecole Hardman,Hardman,3.0399999618530273,10,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-32957,TE,Eric,Eric Tomlinson,Tomlinson,3.049999952316284,8,6000,IND@CIN,IND,CIN,,,,,,TE/FLEX
106035-112062,WR,Skyy,Skyy Moore,Moore,3.323076981764573,13,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,13.295000076293945,16,6000,IND@CIN,CIN,IND,Q,Contract dispute,,,,WR/FLEX
106035-56265,TE,Mike,Mike Gesicki,Gesicki,3.3933334350585938,15,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-45259,QB,Logan,Logan Woodside,Woodside,0.3400000035762787,2,6000,IND@CIN,CIN,IND,,,,,,QB
106035-160463,TE,Tanner,Tanner McLachlan,McLachlan,,0,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-71372,WR,Tyrie,Tyrie Cleveland,Cleveland,1.2666666507720947,3,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-69836,WR,Collin,Collin Johnson,Johnson,1.600000023841858,1,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-111311,WR,Rashee,Rashee Rice,Rice,10.93499984741211,20,6000,CHI@KC,KC,CHI,,,,,,WR/FLEX
106035-91598,RB,D'Andre,D'Andre Swift,Swift,11.08235258214614,17,6000,CHI@KC,CHI,KC,,,,,,RB/FLEX
106035-103378,TE,Erick,Erick All Jr.,All Jr.,,0,6000,IND@CIN,CIN,IND,,,,,,TE/FLEX
106035-57299,TE,Gerald,Gerald Everett,Everett,5.349999904632568,16,6000,CHI@KC,CHI,KC,,,,,,TE/FLEX
106035-24533,TE,Mo,Mo Alie-Cox,Alie-Cox,3.0428570338657925,14,6000,IND@CIN,IND,CIN,,,,,,TE/FLEX
106035-93143,TE,Noah,Noah Gray,Gray,3.3599998474121096,20,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-89814,TE,Gerrit,Gerrit Prince,Prince,,0,6000,CHI@KC,KC,CHI,Q,Lower leg,,,,TE/FLEX
106035-129240,WR,Tyler,Tyler Scott,Scott,2.1076922783484826,13,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-103896,WR,Nsimba,Nsimba Webster,Webster,2.4000000953674316,1,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-92891,RB,Elijah,Elijah Collins,Collins,,0,6000,IND@CIN,CIN,IND,,,,,,RB/FLEX
106035-133599,RB,Emani,Emani Bailey,Bailey,,0,6000,CHI@KC,KC,CHI,,,,,,RB/FLEX
106035-72412,RB,Khalil,Khalil Herbert,Herbert,8.541666666666666,12,6000,CHI@KC,CHI,KC,,,,,,RB/FLEX
106035-103135,TE,Baylor,Baylor Cupp,Cupp,,0,6000,CHI@KC,KC,CHI,,,,,,TE/FLEX
106035-95455,WR,D.J.,D.J. Montgomery,Montgomery,6.550000190734863,2,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-103390,WR,Tre,Tre Mosley,Mosley,,0,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-120033,WR,Rome,Rome Odunze,Odunze,,0,6000,CHI@KC,CHI,KC,,,,,,WR/FLEX
106035-102882,WR,Anthony,Anthony Gould,Gould,,0,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-92133,QB,Jason,Jason Bean,Bean,,0,6000,IND@CIN,IND,CIN,,,,,,QB
106035-69860,RB,Trayveon,Trayveon Williams,Williams,0.7124999761581421,16,6000,IND@CIN,CIN,IND,,,,,,RB/FLEX
106035-61157,QB,Brett,Brett Rypien,Rypien,2.890000104904175,2,6000,CHI@KC,CHI,KC,,,,,,QB
106035-71143,TE,Kylen,Kylen Granson,Granson,3.8666666666666667,15,6000,IND@CIN,IND,CIN,,,,,,TE/FLEX
106035-92904,QB,Rocky,Rocky Lombardi,Lombardi,,0,6000,IND@CIN,CIN,IND,,,,,,QB
106035-56041,RB,Khari,Khari Blasingame,Blasingame,0.47777779897054035,9,6000,CHI@KC,CHI,KC,,,,,,RB/FLEX
106035-72427,WR,Kwamie,Kwamie Lassiter II,Lassiter II,0.699999988079071,1,6000,IND@CIN,CIN,IND,,,,,,WR/FLEX
106035-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,3.3799999237060545,20,6000,CHI@KC,KC,CHI,Q,Illness,,,,RB/FLEX
106035-151789,WR,Adonai,Adonai Mitchell,Mitchell,,0,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-12527,D,Chicago,Chicago Bears,Bears,7.0588235294117645,17,6000,CHI@KC,CHI,KC,,,,,,DEF
106035-12528,D,Cincinnati,Cincinnati Bengals,Bengals,6.9411764705882355,17,6000,IND@CIN,CIN,IND,,,,,,DEF
106035-40434,WR,Greg,Greg Ward,Ward,,0,6000,IND@CIN,IND,CIN,,,,,,WR/FLEX
106035-12535,D,Indianapolis,Indianapolis Colts,Colts,8.235294117647058,17,6000,IND@CIN,IND,CIN,,,,,,DEF
106035-91897,WR,Ethan,Ethan Fernea,Fernea,,0,6000,IND@CIN,IND,CIN,IR,Undisclosed,,,,WR/FLEX
