Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
105733-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.667999267578125,20,17500,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-63115,QB,Lamar,Lamar Jackson,Jackson,21.854444715711807,18,17000,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-39280,RB,Derrick,Derrick Henry,Henry,13.685882568359375,17,14500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-33076,TE,Travis,Travis Kelce,Kelce,12.784210205078125,19,14000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-92575,RB,Isiah,Isiah Pacheco,Pacheco,13.955555386013454,18,12500,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-112295,WR,Zay,Zay Flowers,Flowers,10.688888549804688,18,11500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-52436,TE,Mark,Mark Andrews,Andrews,10.490909229625355,11,11000,BAL@KC,BAL,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
105733-111311,WR,Rashee,Rashee Rice,Rice,10.93499984741211,20,10000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-86687,WR,Hollywood,Hollywood Brown,Brown,8.3999997652494,13,9500,BAL@KC,KC,BAL,D,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
105733-23045,K,Justin,Justin Tucker,Tucker,9.368421052631579,19,9000,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-41642,K,Harrison,Harrison Butker,Butker,9.523809523809524,21,9000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-12555,D,Baltimore,Baltimore Ravens,Ravens,9.736842105263158,19,8500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-158974,WR,Xavier,Xavier Worthy,Worthy,,0,8500,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-87260,TE,Isaiah,Isaiah Likely,Likely,6.193749904632568,16,8000,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-12536,D,Kansas City,Kansas City Chiefs,Chiefs,7.761904761904762,21,8000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-85845,WR,Rashod,Rashod Bateman,Bateman,3.9176469690659466,17,7500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-71521,RB,Justice,Justice Hill,Hill,6.094444274902344,18,7500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-83083,WR,Justin,Justin Watson,Watson,4.605263157894737,19,7000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,3.3799999237060545,20,7000,BAL@KC,KC,BAL,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
105733-71352,WR,Mecole,Mecole Hardman,Hardman,3.0399999618530273,10,6500,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-29683,WR,Nelson,Nelson Agholor,Agholor,5.122222052680121,18,6500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
105733-72725,TE,Irv,Irv Smith Jr.,Smith Jr.,2.7222222222222223,9,6000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-86052,WR,Kadarius,Kadarius Toney,Toney,3.0384615384615383,13,6000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
105733-112062,WR,Skyy,Skyy Moore,Moore,3.323076981764573,13,6000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
