entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3374734768,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-63115:Lamar Jackson,105733-23045:Justin Tucker,105733-12555:Baltimore Ravens,105733-57439:Patrick Mahomes,105733-12536:Kansas City Chiefs,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3374734771,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-57439:Patrick Mahomes,105733-92575:Isiah Pacheco,105733-41642:Harrison Butker,105733-52436:Mark Andrews,105733-23045:Justin Tucker,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3374734772,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-57439:Patrick Mahomes,105733-12555:Baltimore Ravens,105733-112295:Zay Flowers,105733-158974:Xavier Worthy,105733-41642:Harrison Butker,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3374734774,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-63115:Lamar Jackson,105733-23045:Justin Tucker,105733-52436:Mark Andrews,105733-33076:Travis Kelce,105733-41642:Harrison Butker,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3374734775,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-63115:Lamar Jackson,105733-39280:Derrick Henry,105733-52436:Mark Andrews,105733-41642:Harrison Butker,105733-158974:Xavier Worthy,,,,,,,,,,,,,,,,,,,
3374734777,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-57439:Patrick Mahomes,105733-111311:Rashee Rice,105733-39280:Derrick Henry,105733-23045:Justin Tucker,105733-83083:Justin Watson,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3374734778,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-57439:Patrick Mahomes,105733-92575:Isiah Pacheco,105733-111311:Rashee Rice,105733-23045:Justin Tucker,105733-52436:Mark Andrews,,105733-57439:Patrick Mahomes,105733-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.66799927,20,17500,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
3374734779,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-63115:Lamar Jackson,105733-57439:Patrick Mahomes,105733-112295:Zay Flowers,105733-29683:Nelson Agholor,105733-83083:Justin Watson,,105733-63115:Lamar Jackson,105733-63115,QB,Lamar,Lamar Jackson,Jackson,21.85444472,18,17000,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3374734780,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-63115:Lamar Jackson,105733-57439:Patrick Mahomes,105733-41642:Harrison Butker,105733-23045:Justin Tucker,105733-29683:Nelson Agholor,,105733-39280:Derrick Henry,105733-39280,RB,Derrick,Derrick Henry,Henry,13.68588257,17,14500,BAL@KC,BAL,KC,,,,,,MVP - 1.5X Points/AnyFLEX
3374734784,105733-270518595,$12K Thu NFL Pooch Punt (150 Entries Max),105733-57439:Patrick Mahomes,105733-33076:Travis Kelce,105733-92575:Isiah Pacheco,105733-23045:Justin Tucker,105733-29683:Nelson Agholor,,105733-33076:Travis Kelce,105733-33076,TE,Travis,Travis Kelce,Kelce,12.78421021,19,14000,BAL@KC,KC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
