Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
105738-12546,D,Arizona,Arizona Cardinals,Cardinals,3.823529412,17,3000,ARI@BUF,ARI,BUF,,,1,,,WR/FLEX
105738-63484,QB,Kyler,Kyler Murray,Murray,18.92000008,8,7900,ARI@BUF,ARI,BUF,,,1,,,WR/FLEX
105738-86278,QB,Desmond,Desmond Ridder,Ridder,11.78999996,16,6000,ARI@BUF,ARI,BUF,,,,,,QB
105738-90813,QB,Clayton,Clayton Tune,Tune,1.354285649,7,6000,ARI@BUF,ARI,BUF,,,,,,WR/FLEX
105738-40687,RB,James,James Conner,Conner,14.46153846,13,6100,ARI@BUF,ARI,BUF,,,1,,,WR/FLEX
105738-142042,RB,Trey,Trey Benson,Benson,,0,5000,ARI@BUF,ARI,BUF,,,,,,WR/FLEX
105738-93539,RB,Michael,Michael Carter,Carter,3.119999949,15,4800,ARI@BUF,ARI,BUF,,,,,,RB/FLEX
105738-94579,RB,Emari,Emari Demercado,Demercado,5.23333327,12,4400,ARI@BUF,ARI,BUF,,,,,,RB/FLEX
105738-57909,RB,Marlon,Marlon Mack,Mack,4.899999891,7,4000,ARI@BUF,ARI,BUF,Q,Achilles,,,,QB
105738-73121,RB,Tony,Tony Jones Jr.,Jones Jr.,4.78333346,6,4000,ARI@BUF,ARI,BUF,Q,Shoulder,,,,WR/FLEX
105738-94087,RB,DeeJay,DeeJay Dallas,Dallas,0.305882342,17,4000,ARI@BUF,ARI,BUF,,,,,,QB
105738-91750,TE,Trey,Trey McBride,McBride,8.294117647,17,6400,ARI@BUF,ARI,BUF,,,1,,,QB
105738-38523,TE,Geoff,Geoff Swaim,Swaim,1.599999958,9,4200,ARI@BUF,ARI,BUF,Q,Calf,,,,RB/FLEX
105738-149727,TE,Bernhard,Bernhard Seikovits,Seikovits,,0,4000,ARI@BUF,ARI,BUF,,,,,,TE/FLEX
105738-92573,TE,Travis,Travis Vokolek,Vokolek,,0,4000,ARI@BUF,ARI,BUF,,,,,,WR/FLEX
105738-139884,TE,Jordan,Jordan Murray,Murray,,0,4000,ARI@BUF,ARI,BUF,,,,,,QB
105738-137990,TE,Tip,Tip Reiman,Reiman,,0,4000,ARI@BUF,ARI,BUF,Q,Ankle,,,,QB
105738-41305,WR,Zay,Zay Jones,Jones,6.109999847,10,4600,ARI@BUF,ARI,BUF,IR,Suspension,,,,RB/FLEX
105738-102986,WR,Elijah,Elijah Higgins,Higgins,2.663636294,11,4200,ARI@BUF,ARI,BUF,,,,,,QB
105738-33047,WR,Chris,Chris Moore,Moore,3.819999949,15,4100,ARI@BUF,ARI,BUF,,,,,,RB/FLEX
105738-64350,WR,Jeff,Jeff Smith,Smith,2.485714231,7,4100,ARI@BUF,ARI,BUF,Q,Undisclosed,,,,RB/FLEX
105738-53390,WR,Zach,Zach Pascal,Pascal,0.433333344,9,4000,ARI@BUF,ARI,BUF,,,,,,QB
105738-156152,WR,Tejhaun,Tejhaun Palmer,Palmer,,0,4000,ARI@BUF,ARI,BUF,,,,,,WR/FLEX
105738-158520,WR,Daylen,Daylen Baldwin,Baldwin,3.5,1,4000,ARI@BUF,ARI,BUF,,,,,,QB
105738-64405,WR,Dan,Dan Chisena,Chisena,,0,4000,ARI@BUF,ARI,BUF,,,,,,QB
105738-60838,WR,Andre,Andre Baccellia,Baccellia,0,2,4000,ARI@BUF,ARI,BUF,,,,,,RB/FLEX
105738-114252,WR,Xavier,Xavier Weaver,Weaver,,0,4000,ARI@BUF,ARI,BUF,Q,Oblique,,,,RB/FLEX
105738-87882,WR,Daniel,Daniel Arias,Arias,,0,4000,ARI@BUF,ARI,BUF,,,,,,QB
105738-152651,WR1,Marvin,Marvin Harrison Jr.,Harrison Jr.,,0,6600,ARI@BUF,ARI,BUF,,,1,,,QB
105738-89612,WR2,Michael,Michael Wilson,Wilson,6.821428571,14,4500,ARI@BUF,ARI,BUF,,,1,,,RB/FLEX
105738-69558,WR3,Greg,Greg Dortch,Dortch,3.088235294,17,4600,ARI@BUF,ARI,BUF,,,1,,,WR/FLEX
105738-12525,D,Atlanta,Atlanta Falcons,Falcons,5.823529412,17,3600,PIT@ATL,ATL,PIT,,,1,,,QB
105738-22038,QB,Kirk,Kirk Cousins,Cousins,19.34250069,8,7500,PIT@ATL,ATL,PIT,,,1,,,RB/FLEX
105738-30761,QB,Nathan,Nathan Peterman,Peterman,-0.100000001,4,6000,PIT@ATL,ATL,PIT,,,,,,QB
105738-94718,QB,Nathan,Nathan Rourke,Rourke,,0,6000,PIT@ATL,ATL,PIT,,,,,,RB/FLEX
105738-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,,0,6000,PIT@ATL,ATL,PIT,,,,,,WR/FLEX
105738-89147,QB,John,John Paddock,Paddock,,0,6000,PIT@ATL,ATL,PIT,,,,,,QB
105738-136855,RB,Bijan,Bijan Robinson,Robinson,12.78235312,17,8800,PIT@ATL,ATL,PIT,,,1,,,WR/FLEX
105738-90428,RB,Tyler,Tyler Allgeier,Allgeier,7.564706241,17,5500,PIT@ATL,ATL,PIT,,,,,,QB
105738-119610,RB,Jase,Jase McClellan,McClellan,,0,4300,PIT@ATL,ATL,PIT,,,,,,QB
105738-174148,RB,Carlos,Carlos Washington Jr.,Washington Jr.,,0,4000,PIT@ATL,ATL,PIT,,,,,,RB/FLEX
105738-43973,RB,Keith,Keith Smith,Smith,0.685714313,7,4000,PIT@ATL,ATL,PIT,Q,Ankle,,,,WR/FLEX
105738-72772,RB,Avery,Avery Williams,Williams,1.617647059,17,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-89785,RB,Spencer,Spencer Brown,Brown,3.150000095,2,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-94099,RB,Robert,Robert Burns,Burns,,0,4000,PIT@ATL,ATL,PIT,NA,Undisclosed,,,,RB/FLEX
105738-86080,TE,Kyle,Kyle Pitts,Pitts,6.517647238,17,6300,PIT@ATL,ATL,PIT,Q,Hamstring,,,,WR/FLEX
105738-91618,TE,John,John FitzPatrick,FitzPatrick,0.850000024,2,4300,PIT@ATL,ATL,PIT,,,,,,QB
105738-83138,TE,Ross,Ross Dwelley,Dwelley,0.425000012,4,4200,PIT@ATL,ATL,PIT,,,,,,QB
105738-71351,TE,Charlie,Charlie Woerner,Woerner,0.939999962,5,4200,PIT@ATL,ATL,PIT,,,1,,,WR/FLEX
105738-170113,TE,Kehinde,Kehinde Oginni,Oginni,,0,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-103081,TE,Austin,Austin Stogner,Stogner,,0,4000,PIT@ATL,ATL,PIT,,,,,,TE/FLEX
105738-71386,TE,Jordan,Jordan Thomas,Thomas,0,1,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,2.323076982,13,4300,PIT@ATL,ATL,PIT,,,,,,WR/FLEX
105738-147168,WR,Chris,Chris Blair,Blair,,0,4200,PIT@ATL,ATL,PIT,,,,,,QB
105738-68685,WR,Austin,Austin Mack,Mack,,0,4100,PIT@ATL,ATL,PIT,,,,,,RB/FLEX
105738-90353,WR,Jesse,Jesse Matthews,Matthews,,0,4000,PIT@ATL,ATL,PIT,,,,,,WR/FLEX
105738-55748,WR,James,James Washington,Washington,0,1,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-86747,WR,Dylan,Dylan Drummond,Drummond,,0,4000,PIT@ATL,ATL,PIT,,,,,,WR/FLEX
105738-87112,WR,Josh,Josh Ali,Ali,0,1,4000,PIT@ATL,ATL,PIT,,,,,,RB/FLEX
105738-93408,WR,Rondale,Rondale Moore,Moore,5,17,4000,PIT@ATL,ATL,PIT,IR,Knee,,,,WR/FLEX
105738-167311,WR,OJ,OJ Hiliare,Hiliare,,0,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-112037,WR,Casey,Casey Washington,Washington,,0,4000,PIT@ATL,ATL,PIT,,,,,,QB
105738-32703,WR,Jakeem,Jakeem Grant Sr.,Grant Sr.,,0,4000,PIT@ATL,ATL,PIT,Q,Undisclosed,,,,RB/FLEX
105738-112745,WR1,Drake,Drake London,London,8.228235581,17,6700,PIT@ATL,ATL,PIT,,,1,,,WR/FLEX
105738-69777,WR2,Darnell,Darnell Mooney,Mooney,4.528571538,14,4800,PIT@ATL,ATL,PIT,,,1,,,RB/FLEX
105738-62055,WR3,Ray-Ray,Ray-Ray McCloud III,McCloud III,1.740000025,15,4300,PIT@ATL,ATL,PIT,,,1,,,QB
105738-12526,D,Buffalo,Buffalo Bills,Bills,8.894736842,19,4600,ARI@BUF,BUF,ARI,,,1,,,WR/FLEX
105738-62239,QB,Josh,Josh Allen,Allen,24.98947304,19,9200,ARI@BUF,BUF,ARI,,,1,,,QB
105738-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,ARI@BUF,BUF,ARI,IR,Neck,,,,QB
105738-40534,QB,Mike,Mike White,White,0.437142849,7,6000,ARI@BUF,BUF,ARI,,,,,,RB/FLEX
105738-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,7.668571472,7,6000,ARI@BUF,BUF,ARI,Q,Knee,,,,QB
105738-69597,QB,Anthony,Anthony Brown Jr.,Brown Jr.,3.789999962,2,6000,ARI@BUF,BUF,ARI,,,,,,WR/FLEX
105738-91626,RB,James,James Cook,Cook,12.17368437,19,7600,ARI@BUF,BUF,ARI,,,1,,,WR/FLEX
105738-103694,RB,Ray,Ray Davis,Davis,,0,4900,ARI@BUF,BUF,ARI,,,,,,WR/FLEX
105738-70426,RB,Reggie,Reggie Gilliam,Gilliam,0.266666671,3,4400,ARI@BUF,BUF,ARI,,,,,,RB/FLEX
105738-63050,RB,Ty,Ty Johnson,Johnson,3.400000139,11,4400,ARI@BUF,BUF,ARI,,,,,,TE/FLEX
