Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106557-69531,QB,Jalen,Jalen Hurts,Hurts,21.462222629123264,18,17000,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-69017,QB,Jordan,Jordan Love,Love,19.415789152446546,19,15500,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-72846,WR,A.J.,A.J. Brown,Brown,13.91764741785386,17,14000,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-64401,RB,Saquon,Saquon Barkley,Barkley,14.478571210588727,14,13500,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-72731,RB,Josh,Josh Jacobs,Jacobs,12.50769277719351,13,12500,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-90576,WR,DeVonta,DeVonta Smith,Smith,12.111764346852022,17,12000,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-169776,WR,Christian,Christian Watson,Watson,8.209091186523438,11,11000,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-89455,WR,Jayden,Jayden Reed,Reed,10.644444783528646,18,10000,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-83074,TE,Dallas,Dallas Goedert,Goedert,7.793333435058594,15,9500,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-94370,WR,Romeo,Romeo Doubs,Doubs,9.43684226588199,19,9000,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-113228,TE,Luke,Luke Musgrave,Musgrave,5.6769233116736775,13,9000,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-12545,D,Philadelphia,Philadelphia Eagles,Eagles,5.833333333333333,18,8500,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-12533,D,Green Bay,Green Bay Packers,Packers,7.052631578947368,19,8500,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-41235,K,Jake,Jake Elliott,Elliott,8.88888888888889,18,8000,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
106557-85622,K,Brayden,Brayden Narveson,Narveson,,0,8000,GB@PHI,GB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106557-185861,RB,Emanuel,Emanuel Wilson,Wilson,2.25,8,7500,GB@PHI,GB,PHI,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
106557-86229,WR,Jahan,Jahan Dotson,Dotson,5.900000179515166,17,7500,GB@PHI,PHI,GB,,,,,,MVP - 1.5X Points/AnyFLEX
