Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106609-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.63157894736842,19,16000,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-103020,WR,Puka,Puka Nacua,Nacua,15.244444105360243,18,15500,LAR@DET,LAR,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106609-38435,QB,Jared,Jared Goff,Goff,17.544000244140626,20,14000,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-6654,QB,Matthew,Matthew Stafford,Stafford,16.28117639878217,17,13500,LAR@DET,LAR,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106609-104433,RB,Kyren,Kyren Williams,Williams,18.96153846153846,13,12000,LAR@DET,LAR,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106609-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,14.522221883138021,18,11500,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-105646,TE,Sam,Sam LaPorta,LaPorta,11.519999694824218,20,10500,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-79970,WR,Cooper,Cooper Kupp,Kupp,10.776923546424278,13,10000,LAR@DET,LAR,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106609-111631,WR,Jameson,Jameson Williams,Williams,6.3600001017252605,15,9500,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-73273,RB,David,David Montgomery,Montgomery,13.166666666666666,18,9500,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-140176,K,Jake,Jake Bates,Bates,,0,9000,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
106609-133172,K,Joshua,Joshua Karty,Karty,,0,9000,LAR@DET,LAR,DET,,,,,,MVP - 1.5X Points/AnyFLEX
106609-12532,D,Detroit,Detroit Lions,Lions,6.1,20,8500,LAR@DET,DET,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
