Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106699-55050,RB,Christian,Christian McCaffrey,McCaffrey,23.01578883120888,19,17500,NYJ@SF,SF,NYJ,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
106699-103064,RB,Breece,Breece Hall,Hall,14.852941176470589,17,15000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-85607,QB,Brock,Brock Purdy,Purdy,18.734736392372533,19,14500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-6894,QB,Aaron,Aaron Rodgers,Rodgers,0,1,14000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-103564,WR,Garrett,Garrett Wilson,Wilson,9.747058644014245,17,12500,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,12.43684226588199,19,11500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-39793,TE,George,George Kittle,Kittle,10.099999678762336,19,11000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-85798,WR,Brandon,Brandon Aiyuk,Aiyuk,12.478947689658717,19,10000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-12549,D,San Francisco,San Francisco 49ers,49ers,7.75,20,9500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-12544,D,New York,New York Jets,Jets,9.235294117647058,17,9000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-39829,WR,Mike,Mike Williams,Williams,13.566666920979818,3,9000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-22109,K,Greg,Greg Zuerlein,Zuerlein,10.214285714285714,14,8500,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-91372,K,Jake,Jake Moody,Moody,8.2,20,8500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-61593,WR,Jauan,Jauan Jennings,Jennings,4.302499771118164,16,8000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-60451,TE,Tyler,Tyler Conklin,Conklin,5.447058733771829,17,8000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-112455,WR,Xavier,Xavier Gipson,Gipson,2.8352941625258503,17,7500,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-86875,RB,Jordan,Jordan Mason,Mason,3.6000000635782876,12,7500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-158412,RB,Braelon,Braelon Allen,Allen,,0,7000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-56809,WR,Allen,Allen Lazard,Lazard,3.738461421086238,13,7000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-91401,WR,Ronnie,Ronnie Bell,Bell,2.527272657914595,11,6500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-128913,WR,Malachi,Malachi Corley,Corley,,0,6500,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-39428,RB,Kyle,Kyle Juszczyk,Juszczyk,3.366666793823242,12,6000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-87815,TE,Jeremy,Jeremy Ruckert,Ruckert,2.3100000381469727,10,6000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-30403,WR,Chris,Chris Conley,Conley,4.299999872843425,3,6000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-64403,WR,Irvin,Irvin Charles,Charles,0,2,5500,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-89644,RB,Isaac,Isaac Guerendo,Guerendo,,0,5500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-160213,RB,Isaiah,Isaiah Davis,Davis,,0,5500,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-114530,WR,Jacob,Jacob Cowing,Cowing,,0,5500,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-94469,QB,Andrew,Andrew Peasley,Peasley,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-70663,WR,Frank,Frank Darby,Darby,,0,5000,NYJ@SF,SF,NYJ,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106699-136970,WR,Danny,Danny Gray,Gray,,0,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-92937,QB,Jordan,Jordan Travis,Travis,,0,5000,NYJ@SF,NYJ,SF,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
106699-102796,WR,Ricky,Ricky Pearsall,Pearsall,,0,5000,NYJ@SF,SF,NYJ,IR,Chest,,,,MVP - 1.5X Points/AnyFLEX
106699-138643,WR,Jason,Jason Brownlee,Brownlee,2.8200000762939452,5,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-28434,QB,Trevor,Trevor Siemian,Siemian,6.191999816894532,5,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-93845,WR,Tay,Tay Martin,Martin,,0,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-43416,WR,Trent,Trent Taylor,Taylor,-0.16923077289874738,13,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-92957,WR,Marcus,Marcus Riley,Riley,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-90268,QB,Colby,Colby Suits,Suits,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-80294,TE,Anthony,Anthony Firkser,Firkser,1.2999999523162842,1,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,2.924999952316284,8,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-14377,QB,Tyrod,Tyrod Taylor,Taylor,9.033999633789062,10,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-92970,WR,Tyler,Tyler Harrell,Harrell,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-111022,WR,Terique,Terique Owens,Owens,,0,5000,NYJ@SF,SF,NYJ,Q,Hand,,,,MVP - 1.5X Points/AnyFLEX
106699-55088,WR,Malik,Malik Turner,Turner,,0,5000,NYJ@SF,SF,NYJ,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106699-14257,WR,Randall,Randall Cobb,Cobb,1.4399999618530273,10,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-72627,RB,Patrick,Patrick Taylor Jr.,Taylor Jr.,2.281818216497248,11,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-85687,WR,Jontre,Jontre Kirklin,Kirklin,,0,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-53303,RB,Matt,Matt Breida,Breida,2.5600001017252603,15,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-129219,RB,Israel,Israel Abanikanda,Abanikanda,1.8285714558192663,7,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-31170,QB,Brandon,Brandon Allen,Allen,0,1,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-86341,RB,Xazavian,Xazavian Valladay,Valladay,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-193226,TE,Mason,Mason Pline,Pline,,0,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-91467,TE,Jake,Jake Tonges,Tonges,,0,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-167625,WR,Hamze,Hamze El-Zayat,El-Zayat,,0,5000,NYJ@SF,NYJ,SF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106699-87117,TE,Brenden,Brenden Bates,Bates,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-93134,RB,Deon,Deon Jackson,Jackson,0.75,2,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-117201,WR,Isaiah,Isaiah Winstead,Winstead,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-169937,WR,Lance,Lance McCutcheon,McCutcheon,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-86612,TE,Brayden,Brayden Willis,Willis,0,1,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-40407,QB,Joshua,Joshua Dobbs,Dobbs,16.204615666316105,13,5000,NYJ@SF,SF,NYJ,,,,,,MVP - 1.5X Points/AnyFLEX
106699-72665,TE,Kenny,Kenny Yeboah,Yeboah,1.899999976158142,2,5000,NYJ@SF,NYJ,SF,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
106699-86238,TE,Zack,Zack Kuntz,Kuntz,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-104289,WR,Malik,Malik Taylor,Taylor,1.149999976158142,2,5000,NYJ@SF,NYJ,SF,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
106699-155875,TE,Lincoln,Lincoln Sefcik,Sefcik,,0,5000,NYJ@SF,NYJ,SF,,,,,,MVP - 1.5X Points/AnyFLEX
106699-87011,RB,Markese,Markese Stepp,Stepp,,0,5000,NYJ@SF,NYJ,SF,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
