Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109087-63115,QB,Lamar,Lamar Jackson,Jackson,26.295555962456596,9,15500,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-39280,RB,Derrick,Derrick Henry,Henry,23.555555555555557,9,14500,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-63336,QB,Joe,Joe Burrow,Burrow,20.82888963487413,9,14000,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.47777811686198,9,13000,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-89493,RB,Chase,Chase Brown,Brown,12.133332994249132,9,12500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-112295,WR,Zay,Zay Flowers,Flowers,13.677777608235678,9,12000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-66008,WR,Diontae,Diontae Johnson,Johnson,10.32857186453683,7,11000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-89981,WR,Tee,Tee Higgins,Higgins,13.319999694824219,5,10500,CIN@BAL,CIN,BAL,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
109087-52436,TE,Mark,Mark Andrews,Andrews,7.211111280653212,9,10000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-56265,TE,Mike,Mike Gesicki,Gesicki,7.912499904632568,8,9500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-87260,TE,Isaiah,Isaiah Likely,Likely,6.677777608235677,9,9500,CIN@BAL,BAL,CIN,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109087-23045,K,Justin,Justin Tucker,Tucker,9.666666666666666,9,9000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-12555,D,Baltimore,Baltimore Ravens,Ravens,5.555555555555555,9,9000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-86092,K,Evan,Evan McPherson,McPherson,8.11111111111111,9,8500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-12528,D,Cincinnati,Cincinnati Bengals,Bengals,4.555555555555555,9,8500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-70027,RB,Zack,Zack Moss,Moss,8.800000190734863,8,8000,CIN@BAL,CIN,BAL,D,Neck,,,,MVP - 1.5X Points/AnyFLEX
109087-85845,WR,Rashod,Rashod Bateman,Bateman,8.688888549804688,9,8000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-71521,RB,Justice,Justice Hill,Hill,7.066666497124566,9,7500,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-185593,WR,Andrei,Andrei Iosivas,Iosivas,5.711111280653212,9,7500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-103378,TE,Erick,Erick All Jr.,All Jr.,3.2249999046325684,8,7000,CIN@BAL,CIN,BAL,O,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
109087-29683,WR,Nelson,Nelson Agholor,Agholor,3.5444444020589194,9,7000,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-85635,TE,Charlie,Charlie Kolar,Kolar,4.3599998474121096,5,6500,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-133484,WR,Jermaine,Jermaine Burton,Burton,4.900000095367432,2,6500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-56711,TE,Drew,Drew Sample,Sample,3.549999952316284,4,6000,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-87515,WR,Tylan,Tylan Wallace,Wallace,1.3666666348775227,3,6000,CIN@BAL,BAL,CIN,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
109087-134023,RB,Keaton,Keaton Mitchell,Mitchell,8.175000190734863,8,5500,CIN@BAL,BAL,CIN,NA,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
109087-64905,WR,Trenton,Trenton Irwin,Irwin,0.75,4,5500,CIN@BAL,CIN,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109087-80299,RB,Patrick,Patrick Ricard,Ricard,3.200000047683716,4,5500,CIN@BAL,BAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109087-88752,WR,Charlie,Charlie Jones,Jones,0.7142857142857143,7,5500,CIN@BAL,CIN,BAL,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
