MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
109087-63115:Lamar Jackson,109087-86092:Evan McPherson,109087-12555:Baltimore Ravens,109087-39280:Derrick Henry,109087-112295:Zay Flowers
109087-39280:Derrick Henry,109087-86092:Evan McPherson,109087-63115:Lamar Jackson,109087-12555:Baltimore Ravens,109087-112295:Zay Flowers
109087-63336:Joe Burrow,109087-86092:Evan McPherson,109087-63115:Lamar Jackson,109087-12528:Cincinnati Bengals,109087-85701:Ja'Marr Chase
109087-63115:Lamar Jackson,109087-23045:Justin Tucker,109087-39280:Derrick Henry,109087-56265:Mike Gesicki,109087-185593:Andrei Iosivas
109087-63336:Joe Burrow,109087-23045:Justin Tucker,109087-39280:Derrick Henry,109087-89493:Chase Brown,109087-56265:Mike Gesicki
109087-63336:Joe Burrow,109087-63115:Lamar Jackson,109087-85701:Ja'Marr Chase,109087-85845:Rashod Bateman,109087-185593:Andrei Iosivas
109087-63115:Lamar Jackson,109087-63336:Joe Burrow,109087-89493:Chase Brown,109087-52436:Mark Andrews,109087-85845:Rashod Bateman
109087-63115:Lamar Jackson,109087-39280:Derrick Henry,109087-89493:Chase Brown,109087-52436:Mark Andrews,109087-185593:Andrei Iosivas
109087-85701:Ja'Marr Chase,109087-63336:Joe Burrow,109087-63115:Lamar Jackson,109087-85845:Rashod Bateman,109087-185593:Andrei Iosivas
109087-85701:Ja'Marr Chase,109087-39280:Derrick Henry,109087-56265:Mike Gesicki,109087-63336:Joe Burrow,109087-85845:Rashod Bateman
109087-39280:Derrick Henry,109087-63115:Lamar Jackson,109087-56265:Mike Gesicki,109087-66008:Diontae Johnson,109087-185593:Andrei Iosivas
109087-112295:Zay Flowers,109087-63336:Joe Burrow,109087-56265:Mike Gesicki,109087-63115:Lamar Jackson,109087-85845:Rashod Bateman
109087-63336:Joe Burrow,109087-39280:Derrick Henry,109087-52436:Mark Andrews,109087-85701:Ja'Marr Chase,109087-133484:Jermaine Burton
109087-63336:Joe Burrow,109087-89493:Chase Brown,109087-52436:Mark Andrews,109087-85701:Ja'Marr Chase,109087-85845:Rashod Bateman
109087-89493:Chase Brown,109087-39280:Derrick Henry,109087-56265:Mike Gesicki,109087-52436:Mark Andrews,109087-85701:Ja'Marr Chase
