Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109259-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,14.585000038146973,8,15000,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-52442,RB,Joe,Joe Mixon,Mixon,22.73333231608073,6,14500,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-38435,QB,Jared,Jared Goff,Goff,17.549999237060547,8,13500,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-129471,QB,C.J.,C.J. Stroud,Stroud,15.540000067816841,9,13000,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-91419,WR,Nico,Nico Collins,Collins,19.939999389648438,5,12500,DET@HOU,HOU,DET,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109259-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,18.262500762939453,8,12000,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-73273,RB,David,David Montgomery,Montgomery,15.0649995803833,8,11000,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-129291,WR,Tank,Tank Dell,Dell,8.5625,8,10500,DET@HOU,HOU,DET,Q,Back,,,,MVP - 1.5X Points/AnyFLEX
109259-111631,WR,Jameson,Jameson Williams,Williams,11.466667175292969,6,10000,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-55042,TE,Dalton,Dalton Schultz,Schultz,4.155555725097656,9,9500,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-105646,TE,Sam,Sam LaPorta,LaPorta,6.625,8,9500,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-12556,D,Houston,Houston Texans,Texans,6.777777777777778,9,9000,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,11.555555555555555,9,9000,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-140176,K,Jake,Jake Bates,Bates,8.875,8,8500,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-12532,D,Detroit,Detroit Lions,Lions,9.5,8,8500,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-70422,WR,Kalif,Kalif Raymond,Raymond,5.300000190734863,8,8000,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,1.1124999523162842,8,8000,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-102696,WR,John,John Metchie III,Metchie III,1.8666666348775227,3,7500,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-29685,WR,Robert,Robert Woods,Woods,2.0833333333333335,6,7500,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-57091,WR,Tim,Tim Patrick,Patrick,3.3857143947056363,7,7000,DET@HOU,DET,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109259-86055,RB,Dameon,Dameon Pierce,Pierce,4.099999904632568,4,7000,DET@HOU,HOU,DET,O,Groin,,,,MVP - 1.5X Points/AnyFLEX
109259-111637,TE,Cade,Cade Stover,Stover,1.7142857142857142,7,6500,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,3.855555640326606,9,6500,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
109259-72370,RB,J.J.,J.J. Taylor,Taylor,1.8000000317891438,3,6000,DET@HOU,HOU,DET,,,,,,MVP - 1.5X Points/AnyFLEX
