MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
109259-38435:Jared Goff,109259-29932:Ka'imi Fairbairn,109259-12532:Detroit Lions,109259-73273:David Montgomery,109259-86997:Amon-Ra St. Brown
109259-52442:Joe Mixon,109259-129471:C.J. Stroud,109259-140176:Jake Bates,109259-105646:Sam LaPorta,109259-91419:Nico Collins
109259-129471:C.J. Stroud,109259-140176:Jake Bates,109259-52442:Joe Mixon,109259-105646:Sam LaPorta,109259-91419:Nico Collins
109259-38435:Jared Goff,109259-140176:Jake Bates,109259-73273:David Montgomery,109259-86997:Amon-Ra St. Brown,109259-129291:Tank Dell
109259-38435:Jared Goff,109259-29932:Ka'imi Fairbairn,109259-73273:David Montgomery,109259-55042:Dalton Schultz,109259-86997:Amon-Ra St. Brown
109259-129471:C.J. Stroud,109259-38435:Jared Goff,109259-29932:Ka'imi Fairbairn,109259-55042:Dalton Schultz,109259-86997:Amon-Ra St. Brown
109259-38435:Jared Goff,109259-129471:C.J. Stroud,109259-73273:David Montgomery,109259-91419:Nico Collins,109259-111631:Jameson Williams
109259-52442:Joe Mixon,109259-129471:C.J. Stroud,109259-73273:David Montgomery,109259-111631:Jameson Williams,109259-129291:Tank Dell
109259-129471:C.J. Stroud,109259-52442:Joe Mixon,109259-129368:Jahmyr Gibbs,109259-111631:Jameson Williams,109259-129291:Tank Dell
109259-38435:Jared Goff,109259-129471:C.J. Stroud,109259-73273:David Montgomery,109259-105646:Sam LaPorta,109259-91419:Nico Collins
109259-38435:Jared Goff,109259-52442:Joe Mixon,109259-73273:David Montgomery,109259-55042:Dalton Schultz,109259-111631:Jameson Williams
109259-52442:Joe Mixon,109259-129471:C.J. Stroud,109259-38435:Jared Goff,109259-105646:Sam LaPorta,109259-55042:Dalton Schultz
109259-129471:C.J. Stroud,109259-38435:Jared Goff,109259-52442:Joe Mixon,109259-105646:Sam LaPorta,109259-55042:Dalton Schultz
109259-73273:David Montgomery,109259-52442:Joe Mixon,109259-38435:Jared Goff,109259-55042:Dalton Schultz,109259-70422:Kalif Raymond
109259-129368:Jahmyr Gibbs,109259-38435:Jared Goff,109259-55042:Dalton Schultz,109259-111631:Jameson Williams,109259-129291:Tank Dell
109259-86997:Amon-Ra St. Brown,109259-129368:Jahmyr Gibbs,109259-55042:Dalton Schultz,109259-38435:Jared Goff,109259-119788:Xavier Hutchinson
109259-38435:Jared Goff,109259-73273:David Montgomery,109259-55042:Dalton Schultz,109259-86997:Amon-Ra St. Brown,109259-119788:Xavier Hutchinson
