Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109359-104433,RB,Kyren,Kyren Williams,Williams,17.850000381469727,8,15500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-79970,WR,Cooper,Cooper Kupp,Kupp,16.549999237060547,4,15000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-53681,WR,Tyreek,Tyreek Hill,Hill,9.274999618530273,8,14000,MIA@LAR,MIA,LAR,Q,Wrist,,,,MVP - 1.5X Points/AnyFLEX
109359-103020,WR,Puka,Puka Nacua,Nacua,8.466666539510092,3,13500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-6654,QB,Matthew,Matthew Stafford,Stafford,13.382499694824219,8,12500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,15.579999923706055,4,12000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-138820,RB,De'Von,De'Von Achane,Achane,15.087499618530273,8,11000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-28744,RB,Raheem,Raheem Mostert,Mostert,8,5,10000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-90573,WR,Jaylen,Jaylen Waddle,Waddle,6.837500095367432,8,9500,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-133172,K,Joshua,Joshua Karty,Karty,6.5,8,9000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-12538,D,Los Angeles,Los Angeles Rams,Rams,8,8,9000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-52767,K,Jason,Jason Sanders,Sanders,7.75,8,8500,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-12539,D,Miami,Miami Dolphins,Dolphins,3.25,8,8500,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-48116,TE,Jonnu,Jonnu Smith,Smith,6.387499809265137,8,8000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-38264,WR,Demarcus,Demarcus Robinson,Robinson,9.149999618530273,8,8000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,1,3,7500,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-89588,TE,Colby,Colby Parkinson,Parkinson,4.7000002179827005,7,7500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-152103,RB,Jaylen,Jaylen Wright,Wright,2.971428462437221,7,7000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-92976,WR,Tutu,Tutu Atwell,Atwell,7.114285605294364,7,7000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-68712,WR,Tyler,Tyler Johnson,Johnson,4.428571428571429,7,6500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-137967,RB,Blake,Blake Corum,Corum,1.9799999237060546,5,6500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-91971,RB,Ronnie,Ronnie Rivers,Rivers,1.399999976158142,4,6000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-110974,WR,Malik,Malik Washington,Washington,1.024999976158142,4,6000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,2.066666603088379,3,5500,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-103195,WR,Jordan,Jordan Whittington,Whittington,5.820000076293946,5,5500,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-42046,TE,Durham,Durham Smythe,Smythe,0.6,5,5500,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-131328,RB,Zach,Zach Evans,Evans,0.3799999952316284,5,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-26251,WR,Robbie,Robbie Chosen,Chosen,1,1,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-69516,TE,Miller,Miller Forristall,Forristall,,0,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-41997,WR,River,River Cracraft,Cracraft,3.8428570883614674,7,5000,MIA@LAR,MIA,LAR,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
109359-86671,WR,Drake,Drake Stoops,Stoops,,0,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-86543,WR,Erik,Erik Ezukanma,Ezukanma,0,1,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-52495,WR,Braxton,Braxton Berrios,Berrios,0,6,5000,MIA@LAR,MIA,LAR,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
109359-93075,TE,Hunter,Hunter Long,Long,1.7000000476837158,4,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-71957,WR,Quintez,Quintez Cephus,Cephus,,0,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-160280,WR,Jadon,Jadon Janke,Janke,,0,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-114079,TE,Hayden,Hayden Rucci,Rucci,,0,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-44449,WR,Willie,Willie Snead IV,Snead IV,0.6000000238418579,4,5000,MIA@LAR,MIA,LAR,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
109359-70051,QB,Tyler,Tyler Huntley,Huntley,9.59333356221517,3,5000,MIA@LAR,MIA,LAR,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
109359-40482,QB,Tim,Tim Boyle,Boyle,3.559999942779541,2,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-91428,WR,Tarik,Tarik Black,Black,,0,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-94118,WR,Mike,Mike Harley Jr.,Harley Jr.,,0,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-185640,QB,Dresser,Dresser Winn,Winn,0,1,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-102831,TE,Davis,Davis Allen,Allen,0.3333333333333333,3,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
109359-69294,QB,Skylar,Skylar Thompson,Thompson,3.940000057220459,2,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-157875,WR,Grant,Grant DuBose,DuBose,1.7999999523162842,1,5000,MIA@LAR,MIA,LAR,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
109359-85944,WR,Kyric,Kyric McGowan,McGowan,,0,5000,MIA@LAR,MIA,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109359-91583,QB,Stetson,Stetson Bennett,Bennett,,0,5000,MIA@LAR,LAR,MIA,,,,,,MVP - 1.5X Points/AnyFLEX
