Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109589-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,20.11999969482422,10,16500,CIN@LAC,CIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109589-63336,QB,Joe,Joe Burrow,Burrow,22.417999267578125,10,15000,CIN@LAC,CIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109589-69189,QB,Justin,Justin Herbert,Herbert,15.251110500759548,9,14000,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109589-87787,RB,J.K.,J.K. Dobbins,Dobbins,14.688888549804688,9,13000,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109589-89981,WR,Tee,Tee Higgins,Higgins,13.319999694824219,5,12000,CIN@LAC,CIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109589-89493,RB,Chase,Chase Brown,Brown,12.70999984741211,10,11500,CIN@LAC,CIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109589-133472,WR,Ladd,Ladd McConkey,McConkey,10.522221883138021,9,11000,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109589-120639,WR,Quentin,Quentin Johnston,Johnston,10.599999564034599,7,10000,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109589-185593,WR,Andrei,Andrei Iosivas,Iosivas,5.529999923706055,10,9500,CIN@LAC,CIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109589-87418,WR,Joshua,Joshua Palmer,Palmer,6.150000095367432,8,9500,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109589-86092,K,Evan,Evan McPherson,McPherson,7.7,10,9000,CIN@LAC,CIN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109589-92496,K,Cameron,Cameron Dicker,Dicker,9.555555555555555,9,9000,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
109589-12548,D,Los Angeles,Los Angeles Chargers,Chargers,9.555555555555555,9,8500,CIN@LAC,LAC,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
