Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109667-52442,RB,Joe,Joe Mixon,Mixon,21.771427699497767,7,16500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-91419,WR,Nico,Nico Collins,Collins,19.939999389648438,5,15000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.455556233723959,9,13500,HOU@DAL,DAL,HOU,Q,Back,,,,MVP - 1.5X Points/AnyFLEX
109667-129471,QB,C.J.,C.J. Stroud,Stroud,15.163999938964844,10,13000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-44715,QB,Cooper,Cooper Rush,Rush,2.036000061035156,5,12000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-72297,RB,Rico,Rico Dowdle,Dowdle,10.5,8,11500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-129291,WR,Tank,Tank Dell,Dell,8.255555894639757,9,10500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-89680,TE,Jake,Jake Ferguson,Ferguson,6.849999904632568,8,10000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-12556,D,Houston,Houston Texans,Texans,7.1,10,9500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-88548,WR,Jalen,Jalen Tolbert,Tolbert,7.91111077202691,9,9500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-189471,K,Brandon,Brandon Aubrey,Aubrey,11.555555555555555,9,9000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,11.7,10,9000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-55042,TE,Dalton,Dalton Schultz,Schultz,4.55,10,8500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-12530,D,Dallas,Dallas Cowboys,Cowboys,4.333333333333333,9,8500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,4.324999809265137,8,8000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-60957,WR,KaVontae,KaVontae Turpin,Turpin,4.75,8,8000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-149696,QB,Trey,Trey Lance,Lance,1.5399999618530273,1,8000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-86055,RB,Dameon,Dameon Pierce,Pierce,4.099999904632568,4,7500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-119788,WR,Xavier,Xavier Hutchinson,Hutchinson,1.1666666666666667,9,7500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-102696,WR,John,John Metchie III,Metchie III,5.375,4,7000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-29685,WR,Robert,Robert Woods,Woods,1.8714286259242467,7,7000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-138277,WR,Jalen,Jalen Brooks,Brooks,1.837499976158142,8,6500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-112192,WR,Jonathan,Jonathan Mingo,Mingo,2.075000047683716,8,6500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-111637,TE,Cade,Cade Stover,Stover,1.587499976158142,8,6000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,3.5799999237060547,10,6000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-54140,RB,Dalvin,Dalvin Cook,Cook,1.75,2,6000,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-185863,RB,Hunter,Hunter Luepke,Luepke,2.2714285169328963,7,5500,HOU@DAL,DAL,HOU,D,Calf,,,,MVP - 1.5X Points/AnyFLEX
109667-201233,WR,Ryan,Ryan Flournoy,Flournoy,0.75,2,5500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,2.4000000953674316,4,5500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-137254,RB,Deuce,Deuce Vaughn,Vaughn,1.4666666984558105,3,5500,HOU@DAL,DAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
109667-72370,RB,J.J.,J.J. Taylor,Taylor,1.8000000317891438,3,5500,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-185862,WR,David,David Durden,Durden,,0,5000,HOU@DAL,DAL,HOU,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
109667-94600,WR,John,John Stephens Jr.,Stephens Jr.,,0,5000,HOU@DAL,DAL,HOU,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
109667-103308,RB,Jawhar,Jawhar Jordan,Jordan,,0,5000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-88463,WR,Johnny,Johnny Johnson III,Johnson III,,0,5000,HOU@DAL,HOU,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
109667-94094,TE,Brevin,Brevin Jordan,Jordan,0.8500000238418579,2,5000,HOU@DAL,HOU,DAL,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
