Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109392-64401,RB,Saquon,Saquon Barkley,Barkley,21.155554877387154,9,15500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-69531,QB,Jalen,Jalen Hurts,Hurts,23.871110704210068,9,15000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-102785,QB,Jayden,Jayden Daniels,Daniels,19.527999877929688,10,14500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-72846,WR,A.J.,A.J. Brown,Brown,16.0500005086263,6,13000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-56250,WR,Terry,Terry McLaurin,McLaurin,14.080000305175782,10,12500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-90576,WR,DeVonta,DeVonta Smith,Smith,11.399999618530273,8,11500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,14.357142857142858,7,11000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-80001,RB,Austin,Austin Ekeler,Ekeler,10.399999830457899,9,10000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-83074,TE,Dallas,Dallas Goedert,Goedert,9.09999974568685,6,9500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-56248,WR,Noah,Noah Brown,Brown,6.699999809265137,8,9500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.333333333333334,9,9000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-41235,K,Jake,Jake Elliott,Elliott,7.111111111111111,9,9000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-12552,D,Washington,Washington Commanders,Commanders,5.7,10,8500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-60914,K,Austin,Austin Seibert,Seibert,13.25,8,8500,WAS@PHI,WAS,PHI,O,Hip,,,,MVP - 1.5X Points/AnyFLEX
109392-102901,K,Cade,Cade York,York,2,1,8500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-56648,RB,Jeremy,Jeremy McNichols,McNichols,5.512499809265137,8,8000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-29780,TE,Zach,Zach Ertz,Ertz,6.459999847412109,10,8000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-86229,WR,Jahan,Jahan Dotson,Dotson,1.8875000476837158,8,7500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,3.220000076293945,10,7500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-56262,WR,Parris,Parris Campbell,Campbell,4,3,7000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-93538,WR,Dyami,Dyami Brown,Brown,3,9,7000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,2.5222223069932728,9,6500,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,2.799999952316284,2,6500,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109392-86682,TE,Grant,Grant Calcaterra,Calcaterra,3.762500047683716,8,6000,WAS@PHI,PHI,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
109392-103547,WR,Luke,Luke McCaffrey,McCaffrey,2.8428570883614674,7,6000,WAS@PHI,WAS,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
