Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109995-39280,RB,Derrick,Derrick Henry,Henry,21.46363691850142,11,16000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-63115,QB,Lamar,Lamar Jackson,Jackson,25.949091131036933,11,15500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-69189,QB,Justin,Justin Herbert,Herbert,16.163999938964842,10,14000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-87787,RB,J.K.,J.K. Dobbins,Dobbins,15.060000610351562,10,13500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-112295,WR,Zay,Zay Flowers,Flowers,12.672726717862217,11,12500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-133472,WR,Ladd,Ladd McConkey,McConkey,11.3,10,11500,BAL@LAC,LAC,BAL,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
109995-120639,WR,Quentin,Quentin Johnston,Johnston,10.75,8,10500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-66008,WR,Diontae,Diontae Johnson,Johnson,8.155555725097656,9,10000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-52436,TE,Mark,Mark Andrews,Andrews,7.627272865988991,11,9500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-23045,K,Justin,Justin Tucker,Tucker,8.727272727272727,11,9000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-12555,D,Baltimore,Baltimore Ravens,Ravens,5.545454545454546,11,9000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-12548,D,Los Angeles,Los Angeles Chargers,Chargers,8.9,10,8500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-92496,K,Cameron,Cameron Dicker,Dicker,9.8,10,8500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-85845,WR,Rashod,Rashod Bateman,Bateman,8.781818043101918,11,8000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-87418,WR,Joshua,Joshua Palmer,Palmer,5.833333333333333,9,8000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-87260,TE,Isaiah,Isaiah Likely,Likely,6.759999847412109,10,7500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-40167,RB,Gus,Gus Edwards,Edwards,3.366666793823242,6,7500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-56708,TE,Will,Will Dissly,Dissly,5.970000076293945,10,7000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-71521,RB,Justice,Justice Hill,Hill,6.409090909090909,11,7000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-87515,WR,Tylan,Tylan Wallace,Wallace,5.479999923706055,5,6500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-29683,WR,Nelson,Nelson Agholor,Agholor,3.5454545454545454,11,6500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-85635,TE,Charlie,Charlie Kolar,Kolar,3.7833334604899087,6,6000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-64031,TE,Hayden,Hayden Hurst,Hurst,1.6666666666666667,6,6000,BAL@LAC,LAC,BAL,O,Hip,,,,MVP - 1.5X Points/AnyFLEX
109995-91361,RB,Hassan,Hassan Haskins,Haskins,1.3833333651224773,6,6000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-134023,RB,Keaton,Keaton Mitchell,Mitchell,0,2,5500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-94621,WR,Derius,Derius Davis,Davis,1.3857142584664481,7,5500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-94625,WR,Jalen,Jalen Reagor,Reagor,1.4600000381469727,5,5500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-80299,RB,Patrick,Patrick Ricard,Ricard,2.7600000381469725,5,5500,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-128633,RB,Kimani,Kimani Vidal,Vidal,4.199999809265137,4,5500,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-110721,WR,Dayton,Dayton Wade,Wade,,0,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-96269,RB,Owen,Owen Wright,Wright,0,1,5000,BAL@LAC,BAL,LAC,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
109995-89613,WR,Simi,Simi Fehoko,Fehoko,2.720000076293945,5,5000,BAL@LAC,LAC,BAL,IR,Elbow,,,,MVP - 1.5X Points/AnyFLEX
109995-103824,QB,Easton,Easton Stick,Stick,9.794285365513392,7,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-137488,RB,Rasheen,Rasheen Ali,Ali,,0,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-103966,TE,Stone,Stone Smartt,Smartt,2.549999952316284,2,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-71723,WR,Dez,Dez Fitzpatrick,Fitzpatrick,,0,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-91565,WR,Jaylen,Jaylen Johnson,Johnson,,0,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-45997,WR,Keith,Keith Kirkwood,Kirkwood,1.524999976158142,8,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-52917,WR,DJ,DJ Chark,Chark,6.533333333333333,15,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-93878,QB,Devin,Devin Leary,Leary,,0,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-32957,TE,Eric,Eric Tomlinson,Tomlinson,0.4749999940395355,4,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-41936,WR,Anthony,Anthony Miller,Miller,,0,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-53331,QB,Taylor,Taylor Heinicke,Heinicke,0.9599999785423279,1,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-8023,QB,Josh,Josh Johnson,Johnson,0.11999999731779099,2,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-153957,TE,Zaire,Zaire Mitchell-Paden,Mitchell-Paden,,0,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-156527,WR,Devontez,Devontez Walker,Walker,,0,5000,BAL@LAC,BAL,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
109995-135916,WR,Brenden,Brenden Rice,Rice,,0,5000,BAL@LAC,LAC,BAL,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
109995-104176,WR,Deonte,Deonte Harty,Harty,0,5,5000,BAL@LAC,BAL,LAC,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
109995-89586,TE,Tucker,Tucker Fisk,Fisk,1.100000023841858,1,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
109995-88699,RB,Jaret,Jaret Patterson,Patterson,,0,5000,BAL@LAC,LAC,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
