Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109885-64401,RB,Saquon,Saquon Barkley,Barkley,22.61999969482422,10,16000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-69531,QB,Jalen,Jalen Hurts,Hurts,23.358000183105467,10,14500,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-79970,WR,Cooper,Cooper Kupp,Kupp,17.71666717529297,6,13500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-103020,WR,Puka,Puka Nacua,Nacua,12.9,5,13000,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-72846,WR,A.J.,A.J. Brown,Brown,15.042857578822545,7,12500,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-6654,QB,Matthew,Matthew Stafford,Stafford,14.558000183105468,10,12000,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-104433,RB,Kyren,Kyren Williams,Williams,16.01000061035156,10,11000,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-90576,WR,DeVonta,DeVonta Smith,Smith,10.677777608235678,9,10500,PHI@LAR,PHI,LAR,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
109885-83074,TE,Dallas,Dallas Goedert,Goedert,9.02857153756278,7,10000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-38264,WR,Demarcus,Demarcus Robinson,Robinson,7.8900001525878904,10,9500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-12545,D,Philadelphia,Philadelphia Eagles,Eagles,8.1,10,9000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-41235,K,Jake,Jake Elliott,Elliott,7.2,10,9000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-133172,K,Joshua,Joshua Karty,Karty,7.5,10,8500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-12538,D,Los Angeles,Los Angeles Rams,Rams,8.2,10,8500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,2.8100000381469727,10,8000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-89588,TE,Colby,Colby Parkinson,Parkinson,5.162499904632568,8,8000,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-86229,WR,Jahan,Jahan Dotson,Dotson,1.822222179836697,9,7500,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-137967,RB,Blake,Blake Corum,Corum,2.171428544180734,7,7500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-119722,WR,Johnny,Johnny Wilson,Wilson,1.6799999237060548,5,7000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-92976,WR,Tutu,Tutu Atwell,Atwell,5.944444444444445,9,7000,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-68712,WR,Tyler,Tyler Johnson,Johnson,4.375,8,6500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-102831,TE,Davis,Davis Allen,Allen,1.725000023841858,4,6500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-64147,WR,Britain,Britain Covey,Covey,3.450000047683716,2,6000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-103195,WR,Jordan,Jordan Whittington,Whittington,4.157142911638532,7,6000,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-91971,RB,Ronnie,Ronnie Rivers,Rivers,1.399999976158142,4,5500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-152520,RB,Will,Will Shipley,Shipley,0.6571428435189384,7,5500,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-93075,TE,Hunter,Hunter Long,Long,1.7000000476837158,4,5500,PHI@LAR,LAR,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
109885-86682,TE,Grant,Grant Calcaterra,Calcaterra,3.3444444868299694,9,5500,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
109885-89607,QB,Tanner,Tanner McKee,McKee,0,1,5000,PHI@LAR,PHI,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
