Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
109710-22015,QB,Russell,Russell Wilson,Wilson,16.270000457763672,4,15500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-24849,QB,Jameis,Jameis Winston,Winston,11.254285539899554,7,15000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
109710-110246,WR,George,George Pickens,Pickens,11.219999694824219,10,13500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-55335,TE,David,David Njoku,Njoku,9.585714067731585,7,12500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
109710-90575,RB,Najee,Najee Harris,Harris,12.65,10,12000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-53562,RB,Nick,Nick Chubb,Chubb,5.974999904632568,4,11500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
109710-90561,WR,Jerry,Jerry Jeudy,Jeudy,9.25,10,11000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
109710-87432,WR,Cedric,Cedric Tillman,Tillman,8.012499809265137,8,10500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
109710-32058,K,Chris,Chris Boswell,Boswell,13,10,10000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,9.7,10,9500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-39829,WR,Mike,Mike Williams,Williams,4.037499904632568,8,9500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-112057,RB,Jaylen,Jaylen Warren,Warren,5.637499809265137,8,9000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
109710-88575,WR,Elijah,Elijah Moore,Moore,5.7,10,9000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
