entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3439376303,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-55335:David Njoku,109710-90575:Najee Harris,109710-32058:Chris Boswell,109710-12547:Pittsburgh Steelers,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3439376305,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-110246:George Pickens,109710-90575:Najee Harris,109710-32058:Chris Boswell,109710-90533:Jerome Ford,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3439376307,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-90575:Najee Harris,109710-90561:Jerry Jeudy,109710-87432:Cedric Tillman,109710-32058:Chris Boswell,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3439376309,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-24849:Jameis Winston,109710-90575:Najee Harris,109710-32058:Chris Boswell,109710-90870:Calvin Austin III,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3439376311,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-24849:Jameis Winston,109710-32058:Chris Boswell,109710-12547:Pittsburgh Steelers,109710-90533:Jerome Ford,,,,,,,,,,,,,,,,,,,
3439376313,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-90575:Najee Harris,109710-110246:George Pickens,109710-22015:Russell Wilson,109710-90561:Jerry Jeudy,109710-90533:Jerome Ford,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3439376315,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-55335:David Njoku,109710-90575:Najee Harris,109710-90561:Jerry Jeudy,109710-86244:Pat Freiermuth,,109710-22015:Russell Wilson,109710-22015,QB,Russell,Russell Wilson,Wilson,16.27000046,4,15500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376316,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-90575:Najee Harris,109710-55335:David Njoku,109710-22015:Russell Wilson,109710-90561:Jerry Jeudy,109710-86244:Pat Freiermuth,,109710-24849:Jameis Winston,109710-24849,QB,Jameis,Jameis Winston,Winston,11.25428554,7,15000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376319,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-110246:George Pickens,109710-55335:David Njoku,109710-90575:Najee Harris,109710-64581:Van Jefferson,,109710-110246:George Pickens,109710-110246,WR,George,George Pickens,Pickens,11.21999969,10,13500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376321,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-90575:Najee Harris,109710-110246:George Pickens,109710-55335:David Njoku,109710-22015:Russell Wilson,109710-64581:Van Jefferson,,109710-55335:David Njoku,109710-55335,TE,David,David Njoku,Njoku,9.585714068,7,12500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376323,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-90575:Najee Harris,109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-90561:Jerry Jeudy,109710-64581:Van Jefferson,,109710-90575:Najee Harris,109710-90575,RB,Najee,Najee Harris,Harris,12.65,10,12000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376325,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-24849:Jameis Winston,109710-55335:David Njoku,109710-88575:Elijah Moore,109710-86244:Pat Freiermuth,,109710-53562:Nick Chubb,109710-53562,RB,Nick,Nick Chubb,Chubb,5.974999905,4,11500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376327,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-55335:David Njoku,109710-88575:Elijah Moore,109710-86244:Pat Freiermuth,,109710-90561:Jerry Jeudy,109710-90561,WR,Jerry,Jerry Jeudy,Jeudy,9.25,10,11000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376329,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-22015:Russell Wilson,109710-24849:Jameis Winston,109710-55335:David Njoku,109710-87432:Cedric Tillman,109710-64581:Van Jefferson,,109710-87432:Cedric Tillman,109710-87432,WR,Cedric,Cedric Tillman,Tillman,8.012499809,8,10500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376332,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-55335:David Njoku,109710-87432:Cedric Tillman,109710-64581:Van Jefferson,,109710-32058:Chris Boswell,109710-32058,K,Chris,Chris Boswell,Boswell,13,10,10000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376334,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-53562:Nick Chubb,109710-55335:David Njoku,109710-22015:Russell Wilson,109710-90561:Jerry Jeudy,109710-86244:Pat Freiermuth,,109710-12547:Pittsburgh Steelers,109710-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,9.7,10,9500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376336,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-53562:Nick Chubb,109710-87432:Cedric Tillman,109710-90870:Calvin Austin III,,109710-39829:Mike Williams,109710-39829,WR,Mike,Mike Williams,Williams,4.037499905,8,9500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376338,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-53562:Nick Chubb,109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-87432:Cedric Tillman,109710-90870:Calvin Austin III,,109710-112057:Jaylen Warren,109710-112057,RB,Jaylen,Jaylen Warren,Warren,5.637499809,8,9000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376340,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-110246:George Pickens,109710-22015:Russell Wilson,109710-55335:David Njoku,109710-53562:Nick Chubb,109710-64581:Van Jefferson,,109710-88575:Elijah Moore,109710-88575,WR,Elijah,Elijah Moore,Moore,5.7,10,9000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376342,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-53562:Nick Chubb,109710-90561:Jerry Jeudy,109710-64581:Van Jefferson,,109710-24912:Dustin Hopkins,109710-24912,K,Dustin,Dustin Hopkins,Hopkins,6.4,10,8500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376346,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-90561:Jerry Jeudy,109710-24849:Jameis Winston,109710-53562:Nick Chubb,109710-22015:Russell Wilson,109710-64581:Van Jefferson,,109710-12529:Cleveland Browns,109710-12529,D,Cleveland,Cleveland Browns,Browns,6,10,8500,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376351,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-53562:Nick Chubb,109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-24912:Dustin Hopkins,109710-86244:Pat Freiermuth,,109710-90533:Jerome Ford,109710-90533,RB,Jerome,Jerome Ford,Ford,7.275000095,8,8000,PIT@CLE,CLE,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
3439376353,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-53562:Nick Chubb,109710-24849:Jameis Winston,109710-22015:Russell Wilson,109710-88575:Elijah Moore,109710-86244:Pat Freiermuth,,109710-86244:Pat Freiermuth,109710-86244,TE,Pat,Pat Freiermuth,Freiermuth,6.1,10,8000,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
3439376355,109710-272663317,$7K Thu NFL Pooch Punt (150 Entries Max),109710-24849:Jameis Winston,109710-55335:David Njoku,109710-90575:Najee Harris,109710-90561:Jerry Jeudy,109710-90533:Jerome Ford,,109710-90870:Calvin Austin III,109710-90870,WR,Calvin,Calvin Austin III,Austin III,5.409999847,10,7500,PIT@CLE,PIT,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
