Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110093-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.21090975674716,11,16000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-92575,RB,Isiah,Isiah Pacheco,Pacheco,14.199999809265137,2,14500,LV@KC,KC,LV,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
110093-45229,RB,Kareem,Kareem Hunt,Hunt,14.462499618530273,8,14000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-151794,TE,Brock,Brock Bowers,Bowers,12.118182095614346,11,13000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-86278,QB,Desmond,Desmond Ridder,Ridder,3.009999990463257,2,12000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-33076,TE,Travis,Travis Kelce,Kelce,9.454545454545455,11,11500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7.572727550159801,11,11000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-63634,WR,Jakobi,Jakobi Meyers,Meyers,11.855555216471354,9,10500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-158974,WR,Xavier,Xavier Worthy,Worthy,8.19999972256747,11,10000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-72776,RB,Alexander,Alexander Mattison,Mattison,8.636363636363637,11,9500,LV@KC,LV,KC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
110093-27229,RB,Ameer,Ameer Abdullah,Abdullah,5.477777693006727,9,9500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-114255,K,Spencer,Spencer Shrader,Shrader,6.5,4,9000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-12536,D,Kansas City,Kansas City Chiefs,Chiefs,5.363636363636363,11,9000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-103619,WR,Tre,Tre Tucker,Tucker,6.345454822887074,11,8500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-93143,TE,Noah,Noah Gray,Gray,6.9,10,8500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-40856,K,Daniel,Daniel Carlson,Carlson,8.636363636363637,11,8000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-12537,D,Las Vegas,Las Vegas Raiders,Raiders,2.6363636363636362,11,8000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,6.1200000762939455,5,7500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-91578,RB,Zamir,Zamir White,White,2.922222137451172,9,7500,LV@KC,LV,KC,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
110093-83083,WR,Justin,Justin Watson,Watson,3.0799999237060547,10,7000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-71662,WR,DJ,DJ Turner,Turner,3.2818180431019175,11,7000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-201230,RB,Dylan,Dylan Laube,Laube,-1,2,6500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-52451,RB,Samaje,Samaje Perine,Perine,4.254545385187322,11,6500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-71352,WR,Mecole,Mecole Hardman,Hardman,2.472727342085405,11,6000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-138998,TE,Michael,Michael Mayer,Mayer,1.4399999618530273,5,6000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-102922,WR,Ramel,Ramel Keyton,Keyton,0.40000001589457196,3,5500,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-156523,RB,Carson,Carson Steele,Steele,1.5181818875399502,11,5500,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-89220,WR,Tyquan,Tyquan Thornton,Thornton,1.6749999523162842,4,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-70023,WR,Cornell,Cornell Powell,Powell,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,5000,LV@KC,KC,LV,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
110093-103192,TE,Jared,Jared Wiley,Wiley,1.2000000476837158,1,5000,LV@KC,KC,LV,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
110093-70043,TE,Cole,Cole Fotheringham,Fotheringham,1.100000023841858,1,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-87711,TE,John Samuel,John Samuel Shenker,Shenker,1.2000000476837158,1,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-86687,WR,Hollywood,Hollywood Brown,Brown,8.3999997652494,13,5000,LV@KC,KC,LV,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
110093-73118,QB,Ian,Ian Book,Book,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-104357,WR,Jeff,Jeff Foreman,Foreman,,0,5000,LV@KC,LV,KC,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
110093-201508,WR,Jaaron,Jaaron Hayek,Hayek,,0,5000,LV@KC,KC,LV,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
110093-80294,TE,Anthony,Anthony Firkser,Firkser,1.2999999523162842,1,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,2.924999952316284,8,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-41642,K,Harrison,Harrison Butker,Butker,9.11111111111111,9,5000,LV@KC,KC,LV,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
110093-201263,WR,Kyle,Kyle Sheets,Sheets,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-96942,WR,Keelan,Keelan Doss,Doss,3.1500000953674316,2,5000,LV@KC,LV,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
110093-70705,TE,Trevon,Trevon Wesco,Wesco,0.5199999809265137,5,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-60849,WR,Blake,Blake Lynch,Lynch,,0,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-70324,QB,Carson,Carson Wentz,Wentz,0,1,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-73398,QB,Chris,Chris Oladokun,Oladokun,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-86203,WR,Justin,Justin Shorter,Shorter,0,1,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-112062,WR,Skyy,Skyy Moore,Moore,0,3,5000,LV@KC,KC,LV,IR,Abdomen,,,,MVP - 1.5X Points/AnyFLEX
110093-93382,QB,Aidan,Aidan O'Connell,O'Connell,6.050000190734863,4,5000,LV@KC,LV,KC,IR,Thumb,,,,MVP - 1.5X Points/AnyFLEX
110093-70601,TE,Harrison,Harrison Bryant,Bryant,2.183333396911621,6,5000,LV@KC,LV,KC,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
110093-64843,WR,Jalen,Jalen Guyton,Guyton,2.8428570883614674,7,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-111311,WR,Rashee,Rashee Rice,Rice,19.633333841959637,3,5000,LV@KC,KC,LV,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
110093-89814,TE,Gerrit,Gerrit Prince,Prince,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-91481,WR,Nikko,Nikko Remigio,Remigio,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-133599,RB,Emani,Emani Bailey,Bailey,,0,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-64221,TE,Zach,Zach Gentry,Gentry,,0,5000,LV@KC,LV,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110093-42077,TE,James,James Winchester,Winchester,0,1,5000,LV@KC,KC,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110093-103135,TE,Baylor,Baylor Cupp,Cupp,,0,5000,LV@KC,KC,LV,O,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
