MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
110093-57439:Patrick Mahomes,110093-45229:Kareem Hunt,110093-151794:Brock Bowers,110093-63634:Jakobi Meyers,110093-93382:Aidan O'Connell
110093-45229:Kareem Hunt,110093-57439:Patrick Mahomes,110093-63634:Jakobi Meyers,110093-158974:Xavier Worthy,110093-72776:Alexander Mattison
110093-57439:Patrick Mahomes,110093-92575:Isiah Pacheco,110093-16606:DeAndre Hopkins,110093-63634:Jakobi Meyers,110093-40856:Daniel Carlson
110093-57439:Patrick Mahomes,110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-33076:Travis Kelce,110093-93382:Aidan O'Connell
110093-45229:Kareem Hunt,110093-57439:Patrick Mahomes,110093-33076:Travis Kelce,110093-63634:Jakobi Meyers,110093-93382:Aidan O'Connell
110093-57439:Patrick Mahomes,110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-40856:Daniel Carlson,110093-55987:JuJu Smith-Schuster
110093-57439:Patrick Mahomes,110093-45229:Kareem Hunt,110093-63634:Jakobi Meyers,110093-72776:Alexander Mattison,110093-55987:JuJu Smith-Schuster
110093-57439:Patrick Mahomes,110093-92575:Isiah Pacheco,110093-63634:Jakobi Meyers,110093-72776:Alexander Mattison,110093-93382:Aidan O'Connell
110093-57439:Patrick Mahomes,110093-92575:Isiah Pacheco,110093-63634:Jakobi Meyers,110093-158974:Xavier Worthy,110093-103619:Tre Tucker
110093-16606:DeAndre Hopkins,110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-57439:Patrick Mahomes,110093-93382:Aidan O'Connell
110093-57439:Patrick Mahomes,110093-45229:Kareem Hunt,110093-33076:Travis Kelce,110093-72776:Alexander Mattison,110093-12536:Kansas City Chiefs
110093-57439:Patrick Mahomes,110093-92575:Isiah Pacheco,110093-63634:Jakobi Meyers,110093-27229:Ameer Abdullah,110093-93382:Aidan O'Connell
110093-57439:Patrick Mahomes,110093-45229:Kareem Hunt,110093-16606:DeAndre Hopkins,110093-72776:Alexander Mattison,110093-12536:Kansas City Chiefs
110093-92575:Isiah Pacheco,110093-57439:Patrick Mahomes,110093-72776:Alexander Mattison,110093-103619:Tre Tucker,110093-93382:Aidan O'Connell
110093-16606:DeAndre Hopkins,110093-33076:Travis Kelce,110093-57439:Patrick Mahomes,110093-63634:Jakobi Meyers,110093-93382:Aidan O'Connell
110093-92575:Isiah Pacheco,110093-57439:Patrick Mahomes,110093-72776:Alexander Mattison,110093-71662:DJ Turner,110093-93382:Aidan O'Connell
110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-63634:Jakobi Meyers,110093-72776:Alexander Mattison,110093-93382:Aidan O'Connell
110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-63634:Jakobi Meyers,110093-114255:Spencer Shrader,110093-93382:Aidan O'Connell
110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-33076:Travis Kelce,110093-158974:Xavier Worthy,110093-93382:Aidan O'Connell
110093-92575:Isiah Pacheco,110093-151794:Brock Bowers,110093-16606:DeAndre Hopkins,110093-158974:Xavier Worthy,110093-93382:Aidan O'Connell
