Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110247-62239,QB,Josh,Josh Allen,Allen,21.029091574928977,11,16000,SF@BUF,BUF,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-55050,RB,Christian,Christian McCaffrey,McCaffrey,10.866666158040365,3,15500,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-85607,QB,Brock,Brock Purdy,Purdy,18.292727383700285,11,13500,SF@BUF,SF,BUF,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
110247-91626,RB,James,James Cook,Cook,15.930000305175781,10,13000,SF@BUF,BUF,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-39793,TE,George,George Kittle,Kittle,15.522221883138021,9,12000,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,10.444444444444445,9,11500,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-86518,WR,Khalil,Khalil Shakir,Shakir,10.330000305175782,10,11000,SF@BUF,BUF,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-61593,WR,Jauan,Jauan Jennings,Jennings,12.588889227973091,9,10500,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-31001,WR,Amari,Amari Cooper,Cooper,7.877777947319879,9,10000,SF@BUF,BUF,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.459999847412109,10,9500,SF@BUF,BUF,SF,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
110247-157467,WR,Keon,Keon Coleman,Coleman,8.411110772026909,9,9500,SF@BUF,BUF,SF,Q,Wrist,,,,MVP - 1.5X Points/AnyFLEX
110247-12549,D,San Francisco,San Francisco 49ers,49ers,7,11,9000,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-12526,D,Buffalo,Buffalo Bills,Bills,8.636363636363637,11,9000,SF@BUF,BUF,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-65128,K,Tyler,Tyler Bass,Bass,9,11,8500,SF@BUF,BUF,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-91372,K,Jake,Jake Moody,Moody,10,8,8500,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
110247-102796,WR,Ricky,Ricky Pearsall,Pearsall,5.720000076293945,5,8000,SF@BUF,SF,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
