Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110656-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,20.150000254313152,12,15500,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-63336,QB,Joe,Joe Burrow,Burrow,23.290000915527344,12,14500,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-86631,WR,CeeDee,CeeDee Lamb,Lamb,13.449999491373697,12,14000,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-89981,WR,Tee,Tee Higgins,Higgins,15.757143293108259,7,13000,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-89493,RB,Chase,Chase Brown,Brown,13.449999491373697,12,12500,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-44715,QB,Cooper,Cooper Rush,Rush,7.539999961853027,8,11500,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-72297,RB,Rico,Rico Dowdle,Dowdle,10.954545454545455,11,11000,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-29501,WR,Brandin,Brandin Cooks,Cooks,5.779999923706055,5,10500,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-89680,TE,Jake,Jake Ferguson,Ferguson,5.6400001525878904,10,10000,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-185593,WR,Andrei,Andrei Iosivas,Iosivas,6.033333460489909,12,9500,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-12528,D,Cincinnati,Cincinnati Bengals,Bengals,4,12,9000,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-102901,K,Cade,Cade York,York,2,1,9000,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-189471,K,Brandon,Brandon Aubrey,Aubrey,10.916666666666666,12,8500,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-56265,TE,Mike,Mike Gesicki,Gesicki,6.918181679465554,11,8500,CIN@DAL,CIN,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
110656-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,5.285714285714286,7,8000,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-12530,D,Dallas,Dallas Cowboys,Cowboys,6.666666666666667,12,8000,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
110656-60957,WR,KaVontae,KaVontae Turpin,Turpin,6.263636502352628,11,7500,CIN@DAL,DAL,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
