Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110352-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,17.458333333333332,12,15000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,15.573333740234375,12,14500,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-69017,QB,Jordan,Jordan Love,Love,18.752000427246095,10,13500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-38435,QB,Jared,Jared Goff,Goff,18.206666310628254,12,13000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-72731,RB,Josh,Josh Jacobs,Jacobs,16.599999745686848,12,12500,GB@DET,GB,DET,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
110352-73273,RB,David,David Montgomery,Montgomery,15.360000610351562,12,12000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-89455,WR,Jayden,Jayden Reed,Reed,12.925000508626303,12,11000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-111631,WR,Jameson,Jameson Williams,Williams,11.55999984741211,10,10500,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-169776,WR,Christian,Christian Watson,Watson,7.3,10,10000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-160303,TE,Tucker,Tucker Kraft,Kraft,8.533333460489908,12,9500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-105646,TE,Sam,Sam LaPorta,LaPorta,7.690908952192827,11,9500,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-26247,K,Brandon,Brandon McManus,McManus,8.333333333333334,6,9000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-140176,K,Jake,Jake Bates,Bates,9.583333333333334,12,9000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-12532,D,Detroit,Detroit Lions,Lions,8.916666666666666,12,8500,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-12533,D,Green Bay,Green Bay Packers,Packers,8.833333333333334,12,8500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-57091,WR,Tim,Tim Patrick,Patrick,4.1099998474121096,10,8000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-94370,WR,Romeo,Romeo Doubs,Doubs,7.730000305175781,10,8000,GB@DET,GB,DET,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
110352-185861,RB,Emanuel,Emanuel Wilson,Wilson,4.524999936421712,12,7500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.933333396911621,12,7500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-91046,TE,Brock,Brock Wright,Wright,3.1666666666666665,9,7000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-92606,WR,Bo,Bo Melton,Melton,1.5222222010294597,9,7000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-138786,WR,Malik,Malik Heath,Heath,4.366666793823242,3,6500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-104424,RB,Craig,Craig Reynolds,Reynolds,1.274999976158142,4,6500,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-91488,RB,Chris,Chris Brooks,Brooks,2.7857142857142856,7,6000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-28643,WR,Allen,Allen Robinson II,Robinson II,0.3799999952316284,5,6000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-149832,TE,Shane,Shane Zylstra,Zylstra,1.350000023841858,2,5500,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-89185,TE,Ben,Ben Sims,Sims,1.375,4,5500,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-128515,RB,Ellis,Ellis Merriweather,Merriweather,,0,5000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-58499,TE,Parker,Parker Hesse,Hesse,,0,5000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-90501,WR,Julian,Julian Hicks,Hicks,,0,5000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-87691,QB,Malik,Malik Willis,Willis,9.38000030517578,5,5000,GB@DET,GB,DET,,,,,,MVP - 1.5X Points/AnyFLEX
110352-191887,WR,Rory,Rory Starkey,Starkey,,0,5000,GB@DET,GB,DET,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
110352-168076,RB,Sione,Sione Vaki,Vaki,0.8999999761581421,4,5000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110352-83086,WR,Daurice,Daurice Fountain,Fountain,,0,5000,GB@DET,DET,GB,,,,,,MVP - 1.5X Points/AnyFLEX
