Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110543-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.330000559488933,12,16000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-69189,QB,Justin,Justin Herbert,Herbert,15.603333791097006,12,15000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-133472,WR,Ladd,Ladd McConkey,McConkey,11.958333333333334,12,13500,LAC@KC,LAC,KC,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
110543-33076,TE,Travis,Travis Kelce,Kelce,9.52500025431315,12,13000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-92575,RB,Isiah,Isiah Pacheco,Pacheco,11.266666412353516,3,12000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-45229,RB,Kareem,Kareem Hunt,Hunt,13.133332994249132,9,11500,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-40167,RB,Gus,Gus Edwards,Edwards,3.887500047683716,8,11000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7.858333587646484,12,10000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-120639,WR,Quentin,Quentin Johnston,Johnston,8.819999694824219,10,9500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-158974,WR,Xavier,Xavier Worthy,Worthy,8.174999872843424,12,9500,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-114255,K,Spencer,Spencer Shrader,Shrader,6.5,4,9000,LAC@KC,KC,LAC,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
110543-57330,K,Matthew,Matthew Wright,Wright,13.5,2,9000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-12536,D,Kansas City,Kansas City Chiefs,Chiefs,5.416666666666667,12,9000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-12548,D,Los Angeles,Los Angeles Chargers,Chargers,9,12,8500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-92496,K,Cameron,Cameron Dicker,Dicker,10.5,12,8500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-93143,TE,Noah,Noah Gray,Gray,6.98181845925071,11,8000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-87418,WR,Joshua,Joshua Palmer,Palmer,5.581818320534446,11,8000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-83083,WR,Justin,Justin Watson,Watson,3.4454546841708096,11,7500,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-128633,RB,Kimani,Kimani Vidal,Vidal,3.7599998474121095,5,7500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-56708,TE,Will,Will Dissly,Dissly,5.533333460489909,12,7000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,5.349999745686849,6,7000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-91361,RB,Hassan,Hassan Haskins,Haskins,0.824999988079071,8,6500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-52451,RB,Samaje,Samaje Perine,Perine,4.066666603088379,12,6500,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-103966,TE,Stone,Stone Smartt,Smartt,1.9666666984558105,3,6000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-71352,WR,Mecole,Mecole Hardman,Hardman,2.2666667302449546,12,6000,LAC@KC,KC,LAC,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
110543-94621,WR,Derius,Derius Davis,Davis,1.355555534362793,9,5500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-94625,WR,Jalen,Jalen Reagor,Reagor,1.7166666984558105,6,5500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-52917,WR,DJ,DJ Chark,Chark,6.533333333333333,15,5500,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-156523,RB,Carson,Carson Steele,Steele,1.5181818875399502,11,5500,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,5000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-89220,WR,Tyquan,Tyquan Thornton,Thornton,1.6749999523162842,4,5000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-89613,WR,Simi,Simi Fehoko,Fehoko,2.720000076293945,5,5000,LAC@KC,LAC,KC,IR,Elbow,,,,MVP - 1.5X Points/AnyFLEX
110543-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,5000,LAC@KC,KC,LAC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
110543-112657,TE,Isaac,Isaac Rex,Rex,,0,5000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-103824,QB,Easton,Easton Stick,Stick,9.794285365513392,7,5000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-111888,TE,Luke,Luke Benson,Benson,,0,5000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-160278,TE,Zach,Zach Heins,Heins,,0,5000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-184599,WR,Leon,Leon Johnson,Johnson,,0,5000,LAC@KC,LAC,KC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-103192,TE,Jared,Jared Wiley,Wiley,1.2000000476837158,1,5000,LAC@KC,KC,LAC,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
110543-86687,WR,Hollywood,Hollywood Brown,Brown,8.3999997652494,13,5000,LAC@KC,KC,LAC,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
110543-64031,TE,Hayden,Hayden Hurst,Hurst,1.6666666666666667,6,5000,LAC@KC,LAC,KC,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
110543-73118,QB,Ian,Ian Book,Book,,0,5000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-91431,RB,Ben,Ben Mason,Mason,,0,5000,LAC@KC,LAC,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
110543-80294,TE,Anthony,Anthony Firkser,Firkser,1.2999999523162842,1,5000,LAC@KC,KC,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110543-201508,WR,Jaaron,Jaaron Hayek,Hayek,,0,5000,LAC@KC,KC,LAC,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
110543-41642,K,Harrison,Harrison Butker,Butker,9.11111111111111,9,5000,LAC@KC,KC,LAC,IR,Knee - meniscus,,,,MVP - 1.5X Points/AnyFLEX
