Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110830-136855,RB,Bijan,Bijan Robinson,Robinson,17.63846177321214,13,16000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-151794,TE,Brock,Brock Bowers,Bowers,12.938461303710938,13,15500,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-22038,QB,Kirk,Kirk Cousins,Cousins,14.91076894906851,13,14000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-112745,WR,Drake,Drake London,London,12.523077157827524,13,13000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-63634,WR,Jakobi,Jakobi Meyers,Meyers,11.781818736683238,11,12000,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-86278,QB,Desmond,Desmond Ridder,Ridder,3.4533332188924155,3,11500,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-69777,WR,Darnell,Darnell Mooney,Mooney,11.676923311673677,13,10500,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-104054,RB,Sincere,Sincere McCormick,McCormick,6.900000254313151,3,10000,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.538461538461538,13,9500,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-72776,RB,Alexander,Alexander Mattison,Mattison,8.636363636363637,11,9500,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-53212,K,Younghoe,Younghoe Koo,Koo,8.538461538461538,13,9000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-12525,D,Atlanta,Atlanta Falcons,Falcons,3.8461538461538463,13,9000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-27229,RB,Ameer,Ameer Abdullah,Abdullah,5.081818320534446,11,8500,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,7.046153728778545,13,8500,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-40856,K,Daniel,Daniel Carlson,Carlson,8.23076923076923,13,8000,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-12537,D,Las Vegas,Las Vegas Raiders,Raiders,3.3846153846153846,13,8000,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-86080,TE,Kyle,Kyle Pitts,Pitts,6.6769233116736775,13,7500,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-103619,WR,Tre,Tre Tucker,Tucker,6.530769348144531,13,7500,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,0.550000011920929,2,7000,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-138998,TE,Michael,Michael Mayer,Mayer,2.642857142857143,7,7000,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-102922,WR,Ramel,Ramel Keyton,Keyton,0.40000001589457196,3,6500,ATL@LV,LV,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
110830-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,6.099999745686849,3,6500,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-71351,TE,Charlie,Charlie Woerner,Woerner,1.0600000381469727,5,6000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
110830-83138,TE,Ross,Ross Dwelley,Dwelley,1,1,6000,ATL@LV,ATL,LV,,,,,,MVP - 1.5X Points/AnyFLEX
