Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110829-85671,WR,Justin,Justin Jefferson,Jefferson,16.129230205829327,13,17000,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-63589,QB,Sam,Sam Darnold,Darnold,19.796921950120193,13,15500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-152113,QB,Caleb,Caleb Williams,Williams,16.795384333683895,13,14000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-40442,RB,Aaron,Aaron Jones Sr.,Jones Sr.,13.384615384615385,13,13000,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-63043,WR,DJ,DJ Moore,Moore,11.292307927058292,13,12000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-129210,WR,Jordan,Jordan Addison,Addison,13.527273004705256,11,11500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-29253,WR,Keenan,Keenan Allen,Allen,9.145454406738281,11,10500,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-91598,RB,D'Andre,D'Andre Swift,Swift,12.13076899601863,13,10000,CHI@MIN,CHI,MIN,Q,Groin,,,,MVP - 1.5X Points/AnyFLEX
110829-71706,TE,T.J.,T.J. Hockenson,Hockenson,7.733333587646484,6,9500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-120033,WR,Rome,Rome Odunze,Odunze,8.192307692307692,13,9000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-102703,K,Will,Will Reichard,Reichard,9.11111111111111,9,8500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-12540,D,Minnesota,Minnesota Vikings,Vikings,10.615384615384615,13,8500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-33714,K,Cairo,Cairo Santos,Santos,6.615384615384615,13,8000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-12527,D,Chicago,Chicago Bears,Bears,7,13,8000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-89230,RB,Cam,Cam Akers,Akers,4.941666603088379,12,7500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-103187,RB,Roschon,Roschon Johnson,Johnson,7.133332994249132,9,7500,CHI@MIN,CHI,MIN,O,Concussion,,,,MVP - 1.5X Points/AnyFLEX
110829-91047,TE,Cole,Cole Kmet,Kmet,7.800000277432528,11,7000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-92859,WR,Jalen,Jalen Nailor,Nailor,5.781818043101918,11,7000,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-63907,TE,Josh,Josh Oliver,Oliver,5.220000076293945,10,6500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-40371,TE,Johnny,Johnny Mundt,Mundt,3.1363636363636362,11,6500,CHI@MIN,MIN,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
110829-71444,RB,Travis,Travis Homer,Homer,1.0499999523162842,4,6000,CHI@MIN,CHI,MIN,,,,,,MVP - 1.5X Points/AnyFLEX
110829-62628,WR,DeAndre,DeAndre Carter,Carter,0.8083333174387614,12,6000,CHI@MIN,CHI,MIN,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
