Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110806-72731,RB,Josh,Josh Jacobs,Jacobs,17.215384850135216,13,15000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,13.13076899601863,13,14500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-69017,QB,Jordan,Jordan Love,Love,18.369090687144887,11,14000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-26483,QB,Geno,Geno Smith,Smith,17.658461350661057,13,13500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-103342,RB,Kenneth,Kenneth Walker III,Walker III,15.13000030517578,10,12500,GB@SEA,SEA,GB,D,Calf,,,,MVP - 1.5X Points/AnyFLEX
110806-73048,WR,DK,DK Metcalf,Metcalf,11.9272724498402,11,12000,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-103376,RB,Zach,Zach Charbonnet,Charbonnet,10.40769254244291,13,11000,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-89455,WR,Jayden,Jayden Reed,Reed,11.930769700270433,13,10000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-27050,WR,Tyler,Tyler Lockett,Lockett,6.43076911339393,13,9500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-169776,WR,Christian,Christian Watson,Watson,7.94545468417081,11,9500,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-26247,K,Brandon,Brandon McManus,McManus,8.142857142857142,7,9000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-60745,K,Jason,Jason Myers,Myers,8.307692307692308,13,9000,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-12550,D,Seattle,Seattle Seahawks,Seahawks,8.615384615384615,13,8500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-12533,D,Green Bay,Green Bay Packers,Packers,8.307692307692308,13,8500,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-94370,WR,Romeo,Romeo Doubs,Doubs,7.730000305175781,10,8000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-160303,TE,Tucker,Tucker Kraft,Kraft,8.76923076923077,13,8000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-71705,TE,Noah,Noah Fant,Fant,4.490909229625355,11,7500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,5.084615267240084,13,7500,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-185861,RB,Emanuel,Emanuel Wilson,Wilson,4.230769230769231,13,7000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-92606,WR,Bo,Bo Melton,Melton,1.5222222010294597,9,7000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-138786,WR,Malik,Malik Heath,Heath,4.366666793823242,3,6500,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-137953,TE,AJ,AJ Barner,Barner,3.8454544760964136,11,6500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-93150,WR,Jake,Jake Bobo,Bobo,1.7374999523162842,8,6000,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-91488,RB,Chris,Chris Brooks,Brooks,2.4749999046325684,8,6000,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
110806-92890,WR,Cody,Cody White,White,2.700000047683716,2,5500,GB@SEA,SEA,GB,,,,,,MVP - 1.5X Points/AnyFLEX
110806-89185,TE,Ben,Ben Sims,Sims,1.2399999618530273,5,5500,GB@SEA,GB,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
