Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110677-103020,WR,Puka,Puka Nacua,Nacua,17.162500381469727,8,15000,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110677-104433,RB,Kyren,Kyren Williams,Williams,16.523077157827522,13,14500,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110677-85607,QB,Brock,Brock Purdy,Purdy,17.575384286733772,13,14000,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-79970,WR,Cooper,Cooper Kupp,Kupp,15.911110772026909,9,13500,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110677-6654,QB,Matthew,Matthew Stafford,Stafford,15.70923086313101,13,12500,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110677-89644,RB,Isaac,Isaac Guerendo,Guerendo,5.400000254313151,12,12000,LAR@SF,SF,LAR,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
110677-39793,TE,George,George Kittle,Kittle,14.727272727272727,11,11000,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-61593,WR,Jauan,Jauan Jennings,Jennings,13.172726717862217,11,10500,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-72627,RB,Patrick,Patrick Taylor Jr.,Taylor Jr.,4.233333269755046,3,10000,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,9.136363636363637,11,9500,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-38264,WR,Demarcus,Demarcus Robinson,Robinson,7.638461773212139,13,9000,LAR@SF,LAR,SF,Q,Shoulder - ac joint,,,,MVP - 1.5X Points/AnyFLEX
110677-12549,D,San Francisco,San Francisco 49ers,49ers,6.615384615384615,13,8500,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-91372,K,Jake,Jake Moody,Moody,9.2,10,8500,LAR@SF,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
110677-133172,K,Joshua,Joshua Karty,Karty,6.769230769230769,13,8000,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110677-12538,D,Los Angeles,Los Angeles Rams,Rams,6.3076923076923075,13,8000,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
110677-92976,WR,Tutu,Tutu Atwell,Atwell,5.741666793823242,12,7500,LAR@SF,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
