Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
110933-102965,QB,Bo,Bo Nix,Nix,18.162857055664062,14,15500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-69189,QB,Justin,Justin Herbert,Herbert,15.41142817905971,14,15000,DEN@LAC,LAC,DEN,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
110933-57403,WR,Courtland,Courtland Sutton,Sutton,13,13,14000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-133472,WR,Ladd,Ladd McConkey,McConkey,12.13846177321214,13,13500,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-40167,RB,Gus,Gus Edwards,Edwards,4.3,10,12500,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-120639,WR,Quentin,Quentin Johnston,Johnston,9.541666666666666,12,11500,DEN@LAC,LAC,DEN,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
110933-93541,RB,Javonte,Javonte Williams,Williams,8.057143075125557,14,11000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-87418,WR,Joshua,Joshua Palmer,Palmer,5.707692072941707,13,10000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-103511,WR,Devaughn,Devaughn Vele,Vele,6.020000076293945,10,9500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-12548,D,Los Angeles,Los Angeles Chargers,Chargers,8.071428571428571,14,9000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-12531,D,Denver,Denver Broncos,Broncos,11.071428571428571,14,9000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-92496,K,Cameron,Cameron Dicker,Dicker,9.785714285714286,14,8500,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-48380,K,Wil,Wil Lutz,Lutz,9.571428571428571,14,8500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-157150,RB,Audric,Audric Estime,Estime,2.1799999237060548,10,8000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-147051,RB,Jaleel,Jaleel McLaughlin,McLaughlin,5.057143075125558,14,8000,DEN@LAC,DEN,LAC,Q,Quadriceps,,,,MVP - 1.5X Points/AnyFLEX
110933-56708,TE,Will,Will Dissly,Dissly,5.330769465519832,13,7500,DEN@LAC,LAC,DEN,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
110933-120093,WR,Marvin,Marvin Mims Jr.,Mims Jr.,4.228571483067104,14,7500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-103966,TE,Stone,Stone Smartt,Smartt,3.6599998474121094,5,7500,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-151903,WR,Troy,Troy Franklin,Franklin,3.6153846153846154,13,7000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-128633,RB,Kimani,Kimani Vidal,Vidal,3.6285713740757535,7,7000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-173626,TE,Nate,Nate Adkins,Adkins,2.85,10,6500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-130270,TE,Adam,Adam Trautman,Trautman,3.209090839732777,11,6500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-52917,WR,DJ,DJ Chark,Chark,2,2,6000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-71031,WR,Lil'Jordan,Lil'Jordan Humphrey,Humphrey,3.4769231356107273,13,6000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-94621,WR,Derius,Derius Davis,Davis,1.2090909264304421,11,5500,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-94625,WR,Jalen,Jalen Reagor,Reagor,1.5999999727521623,7,5500,DEN@LAC,LAC,DEN,IR,Finger,,,,MVP - 1.5X Points/AnyFLEX
110933-86075,TE,Lucas,Lucas Krull,Krull,2.2555554707845054,9,5500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-26057,RB,Michael,Michael Burton,Burton,1.6222222646077473,9,5500,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-91361,RB,Hassan,Hassan Haskins,Haskins,0.824999988079071,8,5500,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-87179,TE,Thomas,Thomas Yassmin,Yassmin,,0,5000,DEN@LAC,DEN,LAC,,,,,,MVP - 1.5X Points/AnyFLEX
110933-89613,WR,Simi,Simi Fehoko,Fehoko,2.720000076293945,5,5000,DEN@LAC,LAC,DEN,IR,Elbow,,,,MVP - 1.5X Points/AnyFLEX
110933-112657,TE,Isaac,Isaac Rex,Rex,,0,5000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-103824,QB,Easton,Easton Stick,Stick,9.794285365513392,7,5000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
110933-111888,TE,Luke,Luke Benson,Benson,,0,5000,DEN@LAC,LAC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
