Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111201-72731,RB,Josh,Josh Jacobs,Jacobs,17.385713849748885,14,15500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-69017,QB,Jordan,Jordan Love,Love,18.301666259765625,12,14000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-89455,WR,Jayden,Jayden Reed,Reed,11.692856924874443,14,12500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-111557,QB,Spencer,Spencer Rattler,Rattler,9.085000038146973,4,12000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-94370,WR,Romeo,Romeo Doubs,Doubs,8.618182095614346,11,11500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-120657,RB,Kendre,Kendre Miller,Miller,5.025000095367432,4,11000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-160303,TE,Tucker,Tucker Kraft,Kraft,8.457142966134208,14,10000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-169776,WR,Christian,Christian Watson,Watson,7.875,12,9500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,6.654545177112926,11,9500,NO@GB,NO,GB,Q,Illness,,,,MVP - 1.5X Points/AnyFLEX
111201-64808,TE,Juwan,Juwan Johnson,Johnson,6.125,12,9000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-12533,D,Green Bay,Green Bay Packers,Packers,8.785714285714286,14,9000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-89348,K,Blake,Blake Grupe,Grupe,8.071428571428571,14,8500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-26247,K,Brandon,Brandon McManus,McManus,8.625,8,8500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-60712,TE,Foster,Foster Moreau,Moreau,5.474999745686849,12,8000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-12542,D,New Orleans,New Orleans Saints,Saints,6.642857142857143,14,8000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-45631,RB,Jamaal,Jamaal Williams,Williams,2.381818251176314,11,7500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-110457,WR,Dontayvion,Dontayvion Wicks,Wicks,4.892857142857143,14,7500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-185861,RB,Emanuel,Emanuel Wilson,Wilson,3.9928572518484935,14,7000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-91055,WR,Kevin,Kevin Austin Jr.,Austin Jr.,2.9399999618530273,5,7000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-138786,WR,Malik,Malik Heath,Heath,4.366666793823242,3,6500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-92606,WR,Bo,Bo Melton,Melton,1.5222222010294597,9,6500,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-69581,WR,Cedrick,Cedrick Wilson Jr.,Wilson Jr.,3.9049999713897705,8,6500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-113228,TE,Luke,Luke Musgrave,Musgrave,1.1749999523162842,4,6000,NO@GB,GB,NO,IR,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111201-91488,RB,Chris,Chris Brooks,Brooks,2.422222137451172,9,6000,NO@GB,GB,NO,,,,,,MVP - 1.5X Points/AnyFLEX
111201-85741,RB,Clyde,Clyde Edwards-Helaire,Edwards-Helaire,0,1,6000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-56698,WR,Dante,Dante Pettis,Pettis,1.8200000762939452,5,6000,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-90390,TE,Dallin,Dallin Holker,Holker,1.5,1,5500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
111201-201260,WR,Mason,Mason Tipton,Tipton,2.112499952316284,8,5500,NO@GB,NO,GB,,,,,,MVP - 1.5X Points/AnyFLEX
