MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX
111201-69017:Jordan Love,111201-72731:Josh Jacobs,111201-89455:Jayden Reed,111201-12533:Green Bay Packers,111201-89348:Blake Grupe
111201-69017:Jordan Love,111201-72731:Josh Jacobs,111201-111557:Spencer Rattler,111201-169776:Christian Watson,111201-64808:Juwan Johnson
111201-72731:Josh Jacobs,111201-89455:Jayden Reed,111201-111557:Spencer Rattler,111201-160303:Tucker Kraft,111201-169776:Christian Watson
111201-72731:Josh Jacobs,111201-89455:Jayden Reed,111201-111557:Spencer Rattler,111201-160303:Tucker Kraft,111201-40647:Marquez Valdes-Scantling
111201-72731:Josh Jacobs,111201-111557:Spencer Rattler,111201-94370:Romeo Doubs,111201-160303:Tucker Kraft,111201-169776:Christian Watson
111201-72731:Josh Jacobs,111201-111557:Spencer Rattler,111201-94370:Romeo Doubs,111201-120657:Kendre Miller,111201-160303:Tucker Kraft
111201-69017:Jordan Love,111201-89455:Jayden Reed,111201-111557:Spencer Rattler,111201-120657:Kendre Miller,111201-40647:Marquez Valdes-Scantling
111201-69017:Jordan Love,111201-89455:Jayden Reed,111201-120657:Kendre Miller,111201-40647:Marquez Valdes-Scantling,111201-26247:Brandon McManus
111201-69017:Jordan Love,111201-111557:Spencer Rattler,111201-94370:Romeo Doubs,111201-160303:Tucker Kraft,111201-169776:Christian Watson
111201-69017:Jordan Love,111201-111557:Spencer Rattler,111201-94370:Romeo Doubs,111201-160303:Tucker Kraft,111201-40647:Marquez Valdes-Scantling
