Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111066-39280,RB,Derrick,Derrick Henry,Henry,19.457142421177455,14,15500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-63115,QB,Lamar,Lamar Jackson,Jackson,26.392857142857142,14,15000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-22015,QB,Russell,Russell Wilson,Wilson,16.772499084472656,8,14000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-110246,WR,George,George Pickens,Pickens,11.158332824707031,12,13000,PIT@BAL,PIT,BAL,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
111066-112295,WR,Zay,Zay Flowers,Flowers,11.785714285714286,14,12000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-90575,RB,Najee,Najee Harris,Harris,12.049999782017299,14,11500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-85845,WR,Rashod,Rashod Bateman,Bateman,9.953845684344952,13,11000,PIT@BAL,BAL,PIT,Q,Foot,,,,MVP - 1.5X Points/AnyFLEX
111066-52436,TE,Mark,Mark Andrews,Andrews,8.735714503696986,14,10500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-32058,K,Chris,Chris Boswell,Boswell,12.357142857142858,14,10000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.621428353445871,14,9500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,9.714285714285714,14,9000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-12555,D,Baltimore,Baltimore Ravens,Ravens,5.214285714285714,14,9000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-23045,K,Justin,Justin Tucker,Tucker,8.357142857142858,14,8500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-90870,WR,Calvin,Calvin Austin III,Austin III,6.371428353445871,14,8500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-112057,RB,Jaylen,Jaylen Warren,Warren,6.466666539510091,12,8000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-71521,RB,Justice,Justice Hill,Hill,7.364285605294364,14,8000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-39829,WR,Mike,Mike Williams,Williams,3.581818320534446,11,7500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-87260,TE,Isaiah,Isaiah Likely,Likely,6.353846036470854,13,7500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-66008,WR,Diontae,Diontae Johnson,Johnson,7.340000152587891,10,7000,PIT@BAL,BAL,PIT,O,Personal,,,,MVP - 1.5X Points/AnyFLEX
111066-29683,WR,Nelson,Nelson Agholor,Agholor,3.238461421086238,13,7000,PIT@BAL,BAL,PIT,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
111066-64581,WR,Van,Van Jefferson,Jefferson,3.7166665395100913,12,6500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-87515,WR,Tylan,Tylan Wallace,Wallace,4.137499809265137,8,6500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,2.35,10,6000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-133477,TE,Darnell,Darnell Washington,Washington,2.8500000635782876,12,6000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-137488,RB,Rasheen,Rasheen Ali,Ali,1.600000023841858,2,5500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.0666666825612385,6,5500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-80299,RB,Patrick,Patrick Ricard,Ricard,2.7600000381469725,5,5500,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-92882,TE,Connor,Connor Heyward,Heyward,2.1799999237060548,5,5500,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-110721,WR,Dayton,Dayton Wade,Wade,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-85635,TE,Charlie,Charlie Kolar,Kolar,3.3999998910086497,7,5000,PIT@BAL,BAL,PIT,IR,Forearm,,,,MVP - 1.5X Points/AnyFLEX
111066-115971,WR,Shaquan,Shaquan Davis,Davis,,0,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-201345,TE,Mike,Mike Rigerman,Rigerman,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-201344,WR,DeAngelo,DeAngelo Hardy,Hardy,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-134023,RB,Keaton,Keaton Mitchell,Mitchell,0,2,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-96269,RB,Owen,Owen Wright,Wright,0,1,5000,PIT@BAL,BAL,PIT,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
111066-185639,WR,Keilahn,Keilahn Harris,Harris,,0,5000,PIT@BAL,PIT,BAL,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
111066-43433,RB,Boston,Boston Scott,Scott,0.9857142993382045,14,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-45997,WR,Keith,Keith Kirkwood,Kirkwood,1.524999976158142,8,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-92975,QB,Malik,Malik Cunningham,Cunningham,0,1,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-92465,WR,Sean,Sean Ryan,Ryan,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-86068,WR,Jacob,Jacob Copeland,Copeland,,0,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-93878,QB,Devin,Devin Leary,Leary,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-138037,WR,Roman,Roman Wilson,Wilson,,0,5000,PIT@BAL,PIT,BAL,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
111066-63419,WR,Andy,Andy Isabella,Isabella,0,2,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-71105,WR,Ben,Ben Skowronek,Skowronek,1.475000023841858,4,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-86081,QB,Emory,Emory Jones,Jones,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-71367,RB,La'Mical,La'Mical Perine,Perine,6.25,2,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-91591,QB,Justin,Justin Fields,Fields,12.313999938964844,10,5000,PIT@BAL,PIT,BAL,O,Abdomen,,,,MVP - 1.5X Points/AnyFLEX
111066-71241,WR,Brandon,Brandon Johnson,Johnson,1.399999976158142,1,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-173518,WR,Qadir,Qadir Ismail,Ismail,,0,5000,PIT@BAL,BAL,PIT,O,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
111066-69068,RB,Jonathan,Jonathan Ward,Ward,0.7333333492279053,3,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-41936,WR,Anthony,Anthony Miller,Miller,,0,5000,PIT@BAL,BAL,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111066-169937,WR,Lance,Lance McCutcheon,McCutcheon,,0,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111066-73687,WR,Quez,Quez Watkins,Watkins,5.066666603088379,6,5000,PIT@BAL,PIT,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
