Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111129-32384,WR,Mike,Mike Evans,Evans,14.62727217240767,11,15500,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.635713849748884,14,15000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-41535,QB,Baker,Baker Mayfield,Mayfield,22.377142769949778,14,14500,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-72297,RB,Rico,Rico Dowdle,Dowdle,12,13,13000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-152664,RB,Bucky,Bucky Irving,Irving,12.414285932268415,14,12500,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-44715,QB,Cooper,Cooper Rush,Rush,9.419999694824218,10,12000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-137902,RB,Rachaad,Rachaad White,White,12.515384380634014,13,11000,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-120042,WR,Jalen,Jalen McMillan,McMillan,6.569999694824219,10,10000,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-86811,TE,Cade,Cade Otton,Otton,8.14999989100865,14,9500,TB@DAL,TB,DAL,O,Knee,,,,MVP - 1.5X Points/AnyFLEX
111129-29501,WR,Brandin,Brandin Cooks,Cooks,5.7999997820172995,7,9500,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-189471,K,Brandon,Brandon Aubrey,Aubrey,11.142857142857142,14,9000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-60479,K,Chase,Chase McLaughlin,McLaughlin,9.571428571428571,14,9000,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-12551,D,Tampa Bay,Tampa Bay Buccaneers,Buccaneers,6.142857142857143,14,8500,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-12530,D,Dallas,Dallas Cowboys,Cowboys,7.071428571428571,14,8500,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-89680,TE,Jake,Jake Ferguson,Ferguson,5.366666793823242,12,8000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-88548,WR,Jalen,Jalen Tolbert,Tolbert,6.871428353445871,14,8000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-27477,WR,Sterling,Sterling Shepard,Shepard,5.345454476096413,11,7500,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-137059,RB,Sean,Sean Tucker,Tucker,5.058333396911621,12,7500,TB@DAL,TB,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
111129-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,3.4769231356107273,13,7000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
111129-60957,WR,KaVontae,KaVontae Turpin,Turpin,5.784615149864783,13,7000,TB@DAL,DAL,TB,,,,,,MVP - 1.5X Points/AnyFLEX
