Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111283-39280,RB,Derrick,Derrick Henry,Henry,19.686665852864582,15,15500,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111283-63115,QB,Lamar,Lamar Jackson,Jackson,26.06533406575521,15,15000,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111283-91419,WR,Nico,Nico Collins,Collins,16.889999389648438,10,13500,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111283-52442,RB,Joe,Joe Mixon,Mixon,19.608333587646484,12,13000,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111283-129471,QB,C.J.,C.J. Stroud,Stroud,15.018666585286459,15,12500,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111283-112295,WR,Zay,Zay Flowers,Flowers,12.053333536783855,15,11500,BAL@HOU,BAL,HOU,Q,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
111283-85845,WR,Rashod,Rashod Bateman,Bateman,9.807143075125557,14,11000,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111283-52436,TE,Mark,Mark Andrews,Andrews,8.940000406901042,15,10500,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111283-55042,TE,Dalton,Dalton Schultz,Schultz,5.613333129882813,15,10000,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111283-87260,TE,Isaiah,Isaiah Likely,Likely,6.642857142857143,14,9500,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111283-23045,K,Justin,Justin Tucker,Tucker,8.6,15,9000,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
111283-29932,K,Ka'imi,Ka'imi Fairbairn,Fairbairn,11.133333333333333,15,9000,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
