entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3471090571,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-63115:Lamar Jackson,111283-39280:Derrick Henry,111283-52442:Joe Mixon,111283-29932:Ka'imi Fairbairn,111283-87515:Tylan Wallace,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3471090579,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-39280:Derrick Henry,111283-63115:Lamar Jackson,111283-91419:Nico Collins,111283-23045:Justin Tucker,111283-87515:Tylan Wallace,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3471090585,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-63115:Lamar Jackson,111283-39280:Derrick Henry,111283-52442:Joe Mixon,111283-12555:Baltimore Ravens,111283-87515:Tylan Wallace,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3471090590,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-52442:Joe Mixon,111283-91419:Nico Collins,111283-39280:Derrick Henry,111283-29932:Ka'imi Fairbairn,111283-12556:Houston Texans,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3471090597,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-91419:Nico Collins,111283-39280:Derrick Henry,111283-129471:C.J. Stroud,111283-112295:Zay Flowers,111283-87515:Tylan Wallace,,,,,,,,,,,,,,,,,,,
3471090603,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-39280:Derrick Henry,111283-91419:Nico Collins,111283-129471:C.J. Stroud,111283-85845:Rashod Bateman,111283-87515:Tylan Wallace,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3471090606,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-39280:Derrick Henry,111283-52442:Joe Mixon,111283-129471:C.J. Stroud,111283-52436:Mark Andrews,111283-87515:Tylan Wallace,,111283-39280:Derrick Henry,111283-39280,RB,Derrick,Derrick Henry,Henry,19.68666585,15,15500,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
3471090609,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-39280:Derrick Henry,111283-52442:Joe Mixon,111283-129471:C.J. Stroud,111283-55042:Dalton Schultz,111283-87515:Tylan Wallace,,111283-63115:Lamar Jackson,111283-63115,QB,Lamar,Lamar Jackson,Jackson,26.06533407,15,15000,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
3471090610,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-52442:Joe Mixon,111283-91419:Nico Collins,111283-63115:Lamar Jackson,111283-112295:Zay Flowers,111283-87515:Tylan Wallace,,111283-91419:Nico Collins,111283-91419,WR,Nico,Nico Collins,Collins,16.88999939,10,13500,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
3471090615,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-129471:C.J. Stroud,111283-91419:Nico Collins,111283-63115:Lamar Jackson,111283-112295:Zay Flowers,111283-102696:John Metchie III,,111283-52442:Joe Mixon,111283-52442,RB,Joe,Joe Mixon,Mixon,19.60833359,12,13000,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
3471090620,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-52442:Joe Mixon,111283-63115:Lamar Jackson,111283-129471:C.J. Stroud,111283-112295:Zay Flowers,111283-87515:Tylan Wallace,,111283-129471:C.J. Stroud,111283-129471,QB,C.J.,C.J. Stroud,Stroud,15.01866659,15,12500,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
3471090624,111283-273581319,$3K Wed NFL Hail Mary (Only $0.25 to Enter),111283-129471:C.J. Stroud,111283-52442:Joe Mixon,111283-63115:Lamar Jackson,111283-112295:Zay Flowers,111283-29685:Robert Woods,,111283-112295:Zay Flowers,111283-112295,WR,Zay,Zay Flowers,Flowers,12.05333354,15,11500,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111283-85845:Rashod Bateman,111283-85845,WR,Rashod,Rashod Bateman,Bateman,9.807143075,14,11000,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111283-52436:Mark Andrews,111283-52436,TE,Mark,Mark Andrews,Andrews,8.940000407,15,10500,BAL@HOU,BAL,HOU,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111283-55042:Dalton Schultz,111283-55042,TE,Dalton,Dalton Schultz,Schultz,5.61333313,15,10000,BAL@HOU,HOU,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
