Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111282-57439,QB,Patrick,Patrick Mahomes,Mahomes,18.23466593424479,15,16000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-22015,QB,Russell,Russell Wilson,Wilson,16.72888861762153,9,14500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-110246,WR,George,George Pickens,Pickens,11.158332824707031,12,13500,KC@PIT,PIT,KC,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
111282-158974,WR,Xavier,Xavier Worthy,Worthy,9.253333536783854,15,12500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-33076,TE,Travis,Travis Kelce,Kelce,8.766666666666667,15,12000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-90575,RB,Najee,Najee Harris,Harris,11.526666259765625,15,11500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-86687,WR,Hollywood,Hollywood Brown,Brown,7,1,11000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-45229,RB,Kareem,Kareem Hunt,Hunt,11.824999491373697,12,10500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-92575,RB,Isiah,Isiah Pacheco,Pacheco,8.183333079020182,6,10000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,7.820000203450521,15,9500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-90870,WR,Calvin,Calvin Austin III,Austin III,6.513333129882812,15,9500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-41642,K,Harrison,Harrison Butker,Butker,8.636363636363637,11,9000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-32058,K,Chris,Chris Boswell,Boswell,12,15,9000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-12547,D,Pittsburgh,Pittsburgh Steelers,Steelers,9.2,15,8500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-12536,D,Kansas City,Kansas City Chiefs,Chiefs,6.466666666666667,15,8500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-112057,RB,Jaylen,Jaylen Warren,Warren,6.86923100398137,13,8000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-86244,TE,Pat,Pat Freiermuth,Freiermuth,7.320000203450521,15,8000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-39829,WR,Mike,Mike Williams,Williams,3.6083332697550454,12,7500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-93143,TE,Noah,Noah Gray,Gray,6.571428571428571,14,7500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-55987,WR,JuJu,JuJu Smith-Schuster,Smith-Schuster,4.822222391764323,9,7000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-64581,WR,Van,Van Jefferson,Jefferson,3.715384556696965,13,7000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,2.8363637057217685,11,6500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-52451,RB,Samaje,Samaje Perine,Perine,4.106666564941406,15,6500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-83083,WR,Justin,Justin Watson,Watson,2.915384732759916,13,6000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-133477,TE,Darnell,Darnell Washington,Washington,2.8500000635782876,12,6000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-62505,TE,MyCole,MyCole Pruitt,Pruitt,1.8571428571428572,7,5500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-71105,WR,Ben,Ben Skowronek,Skowronek,1.8799999237060547,5,5500,KC@PIT,PIT,KC,Q,Hip,,,,MVP - 1.5X Points/AnyFLEX
111282-92882,TE,Connor,Connor Heyward,Heyward,1.9499999682108562,6,5500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-61273,WR,Scotty,Scotty Miller,Miller,1.8799999237060547,5,5500,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-156523,RB,Carson,Carson Steele,Steele,1.5181818875399502,11,5500,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-92545,RB,Keaontay,Keaontay Ingram,Ingram,1.7142857142857142,7,5000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-115971,WR,Shaquan,Shaquan Davis,Davis,,0,5000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
111282-89220,WR,Tyquan,Tyquan Thornton,Thornton,1.6749999523162842,4,5000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-155790,TE,Izaiah,Izaiah Gathings,Gathings,,0,5000,KC@PIT,KC,PIT,Q,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
111282-103192,TE,Jared,Jared Wiley,Wiley,1.2000000476837158,1,5000,KC@PIT,KC,PIT,IR,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
111282-73118,QB,Ian,Ian Book,Book,,0,5000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-185639,WR,Keilahn,Keilahn Harris,Harris,,0,5000,KC@PIT,PIT,KC,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
111282-80294,TE,Anthony,Anthony Firkser,Firkser,1.2999999523162842,1,5000,KC@PIT,KC,PIT,,,,,,MVP - 1.5X Points/AnyFLEX
111282-201508,WR,Jaaron,Jaaron Hayek,Hayek,,0,5000,KC@PIT,KC,PIT,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
111282-43433,RB,Boston,Boston Scott,Scott,0.9857142993382045,14,5000,KC@PIT,PIT,KC,,,,,,MVP - 1.5X Points/AnyFLEX
