Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111288-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,13.6,15,15000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-26483,QB,Geno,Geno Smith,Smith,17.425333658854168,15,14500,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-152113,QB,Caleb,Caleb Williams,Williams,16.935999552408855,15,14000,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-73048,WR,DK,DK Metcalf,Metcalf,11.438461303710938,13,13000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-103342,RB,Kenneth,Kenneth Walker III,Walker III,14.654545177112926,11,12500,SEA@CHI,SEA,CHI,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111288-29253,WR,Keenan,Keenan Allen,Allen,11.184614915114183,13,12000,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-103376,RB,Zach,Zach Charbonnet,Charbonnet,10.046666463216146,15,11000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-63043,WR,DJ,DJ Moore,Moore,11.220000203450521,15,10500,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-91598,RB,D'Andre,D'Andre Swift,Swift,11.593332926432291,15,10000,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-120033,WR,Rome,Rome Odunze,Odunze,7.939999898274739,15,9500,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-12550,D,Seattle,Seattle Seahawks,Seahawks,7.733333333333333,15,9000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-60745,K,Jason,Jason Myers,Myers,8.266666666666667,15,9000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-33714,K,Cairo,Cairo Santos,Santos,6.466666666666667,15,8500,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-12527,D,Chicago,Chicago Bears,Bears,6.4,15,8500,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-91047,TE,Cole,Cole Kmet,Kmet,7.353846036470854,13,8000,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-27050,WR,Tyler,Tyler Lockett,Lockett,5.946666463216146,15,8000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-103187,RB,Roschon,Roschon Johnson,Johnson,6.45,10,7500,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
111288-71705,TE,Noah,Noah Fant,Fant,4.530769348144531,13,7500,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-110230,RB,Kenny,Kenny McIntosh,McIntosh,1.6285713740757533,7,7000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-137953,TE,AJ,AJ Barner,Barner,3.9692306518554688,13,7000,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-71444,RB,Travis,Travis Homer,Homer,0.9800000190734863,5,6500,SEA@CHI,CHI,SEA,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
111288-93150,WR,Jake,Jake Bobo,Bobo,1.6299999237060547,10,6500,SEA@CHI,SEA,CHI,,,,,,MVP - 1.5X Points/AnyFLEX
111288-57299,TE,Gerald,Gerald Everett,Everett,0.8444444338480631,9,6000,SEA@CHI,CHI,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
