Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111435-136855,RB,Bijan,Bijan Robinson,Robinson,17.973333740234374,15,16000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-102785,QB,Jayden,Jayden Daniels,Daniels,22.054667154947918,15,15500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
111435-56250,WR,Terry,Terry McLaurin,McLaurin,14.973333740234375,15,14000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
111435-112745,WR,Drake,Drake London,London,12.266666666666667,15,13000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,2.9666665395100913,3,12500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,12.40000025431315,12,12000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
111435-69777,WR,Darnell,Darnell Mooney,Mooney,10.833333333333334,15,11000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,6.513333129882812,15,10000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.193333435058594,15,9500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-12552,D,Washington,Washington Commanders,Commanders,5.6,15,9000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
111435-39369,K,Zane,Zane Gonzalez,Gonzalez,6.5,4,9000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
111435-60914,K,Austin,Austin Seibert,Seibert,12.777777777777779,9,9000,ATL@WAS,WAS,ATL,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
111435-90949,K,Riley,Riley Patterson,Patterson,5.333333333333333,3,8500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-12525,D,Atlanta,Atlanta Falcons,Falcons,6.333333333333333,15,8500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
111435-86080,TE,Kyle,Kyle Pitts,Pitts,6.186666870117188,15,8000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
