entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
3474043073,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-102785,111435-136855,111435-90562,111435-29780,111435-24755,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
3474043079,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-102785,111435-136855,111435-112745,111435-29780,111435-24755,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
3474043082,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-136855,111435-56250,111435-88797,111435-86080,111435-64496,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,,,,
3474043087,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-56250,111435-136855,111435-88797,111435-90949,111435-64496,,4) You can not use this form to create new entries,,,,,,,,,,,,,,,,,
3474043092,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-112745,111435-136855,111435-88797,111435-29780,111435-24755,,,,,,,,,,,,,,,,,,,
3474043096,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-136855,111435-112745,111435-88797,111435-39369,111435-29780,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
3474043101,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-90562,111435-56250,111435-102785,111435-12552,111435-86080,,111435-136855:Bijan Robinson,111435-136855,RB,Bijan,Bijan Robinson,Robinson,17.97333374,15,16000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
3474043105,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-56250,111435-102785,111435-90562,111435-62055,111435-64496,,111435-102785:Jayden Daniels,111435-102785,QB,Jayden,Jayden Daniels,Daniels,22.05466715,15,15500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3474043109,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-102785,111435-112745,111435-90562,111435-69777,111435-29780,,111435-56250:Terry McLaurin,111435-56250,WR,Terry,Terry McLaurin,McLaurin,14.97333374,15,14000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
3474043115,111435-273696864,$3K Sun NFL Pooch Punt (150 Entries Max),111435-102785,111435-112745,111435-88797,111435-90562,111435-185878,,111435-112745:Drake London,111435-112745,WR,Drake,Drake London,London,12.26666667,15,13000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-88797:Michael Penix Jr.,111435-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,2.96666654,3,12500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-90562:Brian Robinson Jr.,111435-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,12.40000025,12,12000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-69777:Darnell Mooney,111435-69777,WR,Darnell,Darnell Mooney,Mooney,10.83333333,15,11000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-62055:Ray-Ray McCloud III,111435-62055,WR,Ray-Ray,Ray-Ray McCloud III,McCloud III,6.51333313,15,10000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-90428:Tyler Allgeier,111435-90428,RB,Tyler,Tyler Allgeier,Allgeier,6.193333435,15,9500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-12552:Washington Commanders,111435-12552,D,Washington,Washington Commanders,Commanders,5.6,15,9000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-39369:Zane Gonzalez,111435-39369,K,Zane,Zane Gonzalez,Gonzalez,6.5,4,9000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-60914:Austin Seibert,111435-60914,K,Austin,Austin Seibert,Seibert,12.77777778,9,9000,ATL@WAS,WAS,ATL,IR,Groin,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-90949:Riley Patterson,111435-90949,K,Riley,Riley Patterson,Patterson,5.333333333,3,8500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-12525:Atlanta Falcons,111435-12525,D,Atlanta,Atlanta Falcons,Falcons,6.333333333,15,8500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-86080:Kyle Pitts,111435-86080,TE,Kyle,Kyle Pitts,Pitts,6.18666687,15,8000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-29780:Zach Ertz,111435-29780,TE,Zach,Zach Ertz,Ertz,7.28666687,15,8000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-24755:Jamison Crowder,111435-24755,WR,Jamison,Jamison Crowder,Crowder,6.566666921,3,7500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-64496:Olamide Zaccheaus,111435-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,4.3,15,7500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-56648:Jeremy McNichols,111435-56648,RB,Jeremy,Jeremy McNichols,McNichols,4.407692249,13,7000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-93538:Dyami Brown,111435-93538,WR,Dyami,Dyami Brown,Brown,3.464285714,14,7000,ATL@WAS,WAS,ATL,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-87127:Chris Rodriguez Jr.,111435-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,4.340000153,5,6500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-103547:Luke McCaffrey,111435-103547,WR,Luke,Luke McCaffrey,McCaffrey,2.149999936,12,6500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-72705:John Bates,111435-72705,TE,John,John Bates,Bates,1.0625,8,6000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-85306:KhaDarel Hodge,111435-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,6.099999746,3,6000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-137265:Ben Sinnott,111435-137265,TE,Ben,Ben Sinnott,Sinnott,2.260000038,5,5500,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-71351:Charlie Woerner,111435-71351,TE,Charlie,Charlie Woerner,Woerner,1,7,5500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-147168:Chris Blair,111435-147168,WR,Chris,Chris Blair,Blair,2.200000048,1,5500,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-80001:Austin Ekeler,111435-80001,RB,Austin,Austin Ekeler,Ekeler,10.05454532,11,5000,ATL@WAS,WAS,ATL,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-170113:Kehinde Oginni,111435-170113,TE,Kehinde,Kehinde Oginni,Oginni,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-94345:Cole Turner,111435-94345,TE,Cole,Cole Turner,Turner,2.1875,8,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-167311:OJ Hiliare,111435-167311,WR,OJ,OJ Hiliare,Hiliare,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-86800:Colson Yankoff,111435-86800,TE,Colson,Colson Yankoff,Yankoff,,0,5000,ATL@WAS,WAS,ATL,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-128912:Mitchell Tinsley,111435-128912,WR,Mitchell,Mitchell Tinsley,Tinsley,0,1,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-91923:Kazmeir Allen,111435-91923,WR,Kazmeir,Kazmeir Allen,Allen,,0,5000,ATL@WAS,WAS,ATL,O,Ankle,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-94099:Robert Burns,111435-94099,RB,Robert,Robert Burns,Burns,,0,5000,ATL@WAS,ATL,WAS,NA,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-185878:Elijah Dotson,111435-185878,RB,Elijah,Elijah Dotson,Dotson,0.966666698,3,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-22038:Kirk Cousins,111435-22038,QB,Kirk,Kirk Cousins,Cousins,14.38000052,14,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-33047:Chris Moore,111435-33047,WR,Chris,Chris Moore,Moore,3.819999949,15,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-89627:Brycen Tremayne,111435-89627,WR,Brycen,Brycen Tremayne,Tremayne,0.300000012,1,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-72863:Armani Rogers,111435-72863,TE,Armani,Armani Rogers,Rogers,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-112037:Casey Washington,111435-112037,WR,Casey,Casey Washington,Washington,0.949999988,2,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-103081:Austin Stogner,111435-103081,TE,Austin,Austin Stogner,Stogner,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-30761:Nathan Peterman,111435-30761,QB,Nathan,Nathan Peterman,Peterman,-0.100000001,4,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-87594:Sam Hartman,111435-87594,QB,Sam,Sam Hartman,Hartman,,0,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-30253:Jeff Driskel,111435-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-29358:Marcus Mariota,111435-29358,QB,Marcus,Marcus Mariota,Mariota,6.573333104,3,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-69295:Byron Pringle,111435-69295,WR,Byron,Byron Pringle,Pringle,1.623076952,13,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-56248:Noah Brown,111435-56248,WR,Noah,Noah Brown,Brown,6.254545732,11,5000,ATL@WAS,WAS,ATL,IR,Torso,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-89785:Spencer Brown,111435-89785,RB,Spencer,Spencer Brown,Brown,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-89147:John Paddock,111435-89147,QB,John,John Paddock,Paddock,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-119610:Jase McClellan,111435-119610,RB,Jase,Jase McClellan,McClellan,1.600000024,2,5000,ATL@WAS,ATL,WAS,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-32703:Jakeem Grant Sr.,111435-32703,WR,Jakeem,Jakeem Grant Sr.,Grant Sr.,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-83138:Ross Dwelley,111435-83138,TE,Ross,Ross Dwelley,Dwelley,1,1,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-55748:James Washington,111435-55748,WR,James,James Washington,Washington,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-45637:Michael Davis,111435-45637,WR,Michael,Michael Davis,Davis,0,1,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-72772:Avery Williams,111435-72772,RB,Avery,Avery Williams,Williams,0,13,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-102980:Austin Jones,111435-102980,RB,Austin,Austin Jones,Jones,,0,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-174148:Carlos Washington Jr.,111435-174148,RB,Carlos,Carlos Washington Jr.,Washington Jr.,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-136517:Tanner Brown,111435-136517,K,Tanner,Tanner Brown,Brown,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-87112:Josh Ali,111435-87112,WR,Josh,Josh Ali,Ali,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-68685:Austin Mack,111435-68685,WR,Austin,Austin Mack,Mack,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-149710:Mike Strachan,111435-149710,WR,Mike,Mike Strachan,Strachan,2.5,2,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-112850:Michael Wiley,111435-112850,RB,Michael,Michael Wiley,Wiley,,0,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-25813:Phillip Dorsett II,111435-25813,WR,Phillip,Phillip Dorsett II,Dorsett II,0,2,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-54746:Tyler Ott,111435-54746,TE,Tyler,Tyler Ott,Ott,0,1,5000,ATL@WAS,WAS,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,,,,111435-86747:Dylan Drummond,111435-86747,WR,Dylan,Dylan Drummond,Drummond,,0,5000,ATL@WAS,ATL,WAS,,,,,,MVP - 1.5X Points/AnyFLEX
