Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111516-38435,QB,Jared,Jared Goff,Goff,20.926666259765625,15,15500,DET@SF,DET,SF,,,,,,MVP - 1.5X Points/AnyFLEX
111516-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,18.54000040690104,15,15000,DET@SF,DET,SF,,,,,,MVP - 1.5X Points/AnyFLEX
111516-85607,QB,Brock,Brock Purdy,Purdy,17.238665771484374,15,14500,DET@SF,SF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111516-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.265333048502605,15,14000,DET@SF,DET,SF,,,,,,MVP - 1.5X Points/AnyFLEX
111516-39793,TE,George,George Kittle,Kittle,14.438461303710938,13,12500,DET@SF,SF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111516-111631,WR,Jameson,Jameson Williams,Williams,12.6000002347506,13,11500,DET@SF,DET,SF,,,,,,MVP - 1.5X Points/AnyFLEX
111516-61593,WR,Jauan,Jauan Jennings,Jennings,12.00769277719351,13,11000,DET@SF,SF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111516-89644,RB,Isaac,Isaac Guerendo,Guerendo,5.715384850135217,13,10500,DET@SF,SF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111516-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,9.653846153846153,13,10000,DET@SF,SF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
111516-105646,TE,Sam,Sam LaPorta,LaPorta,8.742857251848493,14,9500,DET@SF,DET,SF,,,,,,MVP - 1.5X Points/AnyFLEX
111516-140176,K,Jake,Jake Bates,Bates,9.466666666666667,15,9000,DET@SF,DET,SF,,,,,,MVP - 1.5X Points/AnyFLEX
111516-91372,K,Jake,Jake Moody,Moody,8.833333333333334,12,9000,DET@SF,SF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
