Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
111589-39280,RB,Derrick,Derrick Henry,Henry,20.112499237060547,16,17000,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-63115,QB,Lamar,Lamar Jackson,Jackson,26.274999618530273,16,16500,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-90561,WR,Jerry,Jerry Jeudy,Jeudy,12.225000381469727,16,13500,CLE@BAL,CLE,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111589-91898,QB,Dorian,Dorian Thompson-Robinson,Thompson-Robinson,3.496666590372721,6,12500,CLE@BAL,CLE,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111589-90533,RB,Jerome,Jerome Ford,Ford,8.25,14,11500,CLE@BAL,CLE,BAL,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
111589-112295,WR,Zay,Zay Flowers,Flowers,11.556249618530273,16,11000,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-52436,TE,Mark,Mark Andrews,Andrews,9.243749618530273,16,10500,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-55335,TE,David,David Njoku,Njoku,10.590909090909092,11,10000,CLE@BAL,CLE,BAL,Q,Knee,,,,MVP - 1.5X Points/AnyFLEX
111589-55830,RB,D'Onta,D'Onta Foreman,Foreman,2.5600000381469727,10,9500,CLE@BAL,CLE,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111589-85845,WR,Rashod,Rashod Bateman,Bateman,9.266666666666667,15,9500,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-23045,K,Justin,Justin Tucker,Tucker,8.625,16,9000,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-12555,D,Baltimore,Baltimore Ravens,Ravens,6.5,16,9000,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-24912,K,Dustin,Dustin Hopkins,Hopkins,5.333333333333333,15,8500,CLE@BAL,CLE,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111589-87260,TE,Isaiah,Isaiah Likely,Likely,6.693333435058594,15,8500,CLE@BAL,BAL,CLE,,,,,,MVP - 1.5X Points/AnyFLEX
111589-12529,D,Cleveland,Cleveland Browns,Browns,5.25,16,8500,CLE@BAL,CLE,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111589-160306,RB,Pierre,Pierre Strong Jr.,Strong Jr.,2.3500000635782876,12,8000,CLE@BAL,CLE,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
111589-71521,RB,Justice,Justice Hill,Hill,7.073333231608073,15,8000,CLE@BAL,BAL,CLE,Q,Concussion,,,,MVP - 1.5X Points/AnyFLEX
