Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
106989-69531,QB,Jalen,Jalen Hurts,Hurts,18.420000076293945,1,17500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
106989-136855,RB,Bijan,Bijan Robinson,Robinson,13.600000381469727,1,16000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106989-22038,QB,Kirk,Kirk Cousins,Cousins,8.199999809265137,1,14000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106989-64401,RB,Saquon,Saquon Barkley,Barkley,35.20000076293945,1,13500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
106989-72846,WR,A.J.,A.J. Brown,Brown,23.399999618530273,1,13000,ATL@PHI,PHI,ATL,O,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
106989-90576,WR,DeVonta,DeVonta Smith,Smith,11.899999618530273,1,11500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
106989-112745,WR,Drake,Drake London,London,2.5,1,10500,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106989-86080,TE,Kyle,Kyle Pitts,Pitts,10.100000381469727,1,10000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
106989-83074,TE,Dallas,Dallas Goedert,Goedert,5.099999904632568,1,9500,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
106989-12545,D,Philadelphia,Philadelphia Eagles,Eagles,3,1,9000,ATL@PHI,PHI,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
106989-90428,RB,Tyler,Tyler Allgeier,Allgeier,2.0999999046325684,1,9000,ATL@PHI,ATL,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
